"Title","Author(s) / Editor(s)","License","URL"
"6 Traditional medicines, law and the (dis)ordering of temporalities","Cloatre, Emilie","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/8b32919e-47df-40f6-b2c4-822c97e60238"
"A Bird That Flies with Two Wings: Kastom and State Justice Systems in Vanuatu","Forsyth, Miranda","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/8e140b02-ec7f-496c-9de4-ad656c030737"
"Access Controlled: The Shaping of Power, Rights, and Rule in Cyberspace","Deibert, Ronald, John Palfrey, Rafal Rohozinski, and Jonathan Zittrain","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/9c8193de-067b-4dc9-a0b3-f9b21f465625"
"Access to Justice and Legal Empowerment. Making the Poor Central in Legal Development Co-Operation","Rooij, Benjamin van, and Ineke van de Meene","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/b399dc69-f52e-4fbf-b11f-3e5e334773d5"
"Access to Knowledge in the Age of Intellectual Property","Kapczynski, Amy, and Gaëlle Krikorian","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/9446cde9-232b-4992-92e3-3bde4a0a2cee"
"Accountability and the Law: Rights, Authority and Transparency of Public Power","Mikuli, Piotr, and Grzegorz Kuca","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/6e8716dd-c7d3-41d3-ba86-c67a3f27b19f"
"Administrative Decision-Making in Australian Migration Law","Freckelton, Alan","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/c021a1ed-6d9a-456c-9ebc-6577daeff6ce"
"Advancing Equality: How Constitutional Rights Can Make a Difference Worldwide","Moseneke, Dikgang, Jody Heymann, Aleta Sprague, and Amy Raub","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/47a65dab-ca58-4544-9f7e-fa9db7d7da9b"
"Aegis or Achilles Heel: The Dilemma of Homology in Biopatents in The Wake of Novozymes.","Yang, Qinghua","Creative Commons Attribution (CC BY)","https://openresearchlibrary.org/content/cfa45f09-47b6-4f9c-b7f0-da0d4ec9f687"
"Agriculture and Food Security in China: What Effect WTO Accession and Regional Trade Arrangements?","Chen, Chunlai , and Ron Duncan","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/573e4058-3b50-4025-9d66-b8e2edbfe4ad"
"A Kind of Mending: Restorative Justice in the Pacific Islands","Dinnen, Sinclair , Anita Jowitt, and Tess Newton","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/ecda447c-db20-4971-9a2d-75669b73600b"
"Al-Haq: A Global History of the First Palestinian Human Rights Organization","Welchman, Lynn","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/104b88ac-1084-43b5-94cd-95bfb186aea7"
"Amicus Curiae before International Courts and Tribunals","Wiik, Astrid","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/59c60cbd-a31d-4572-b607-86b310ac980b"
"Analogy and Exemplary Reasoning in Legal Discourse","Kaptein, Hendrik , and Bastiaan van der Velden","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/a691dcb0-7229-4b67-ac39-e4200a39fe0a"
"Antitrust Enforcement and Standard Essential Patents: Moving beyond the FRAND Commitment","Tsilikas, Haris","Creative Commons Attribution (CC BY)","https://openresearchlibrary.org/content/2175b9cb-caa1-4733-b132-b076e3600150"
"Applicable Law in Investor-State Arbitration","Kjos, Hege Elisabeth","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/a99118bd-cf48-4d44-869b-65d0bf78c875"
"Applying Shari῾a in the West. Facts, Fears and the Future of Islamic Rules on Family Relations in the West","Maurits S. Berger","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/3ff6ade5-071d-4054-a7e8-4a2074bae7fd"
"Australian Clinical Legal Education: Designing and Operating a Best Practice Clinical Program in an Australian Law School","Evans, Adrian, Anna Cody, Anna Copeland, Jeff Giddings, Peter Joy, Mary Anne Noone, and Simon Rice","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/9a1822cf-a2f1-457a-bf6d-186281ed1830"
"Bank Regulation, Risk Management, and Compliance: Theory, Practice, and Key Problem Areas","Dill, Alexander","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/0dd0ff68-2f41-4f6e-a2e1-de97b369db2f"
"Basic Income Tax: 2016–2017","Kratzke, William","Creative Commons Attribution-ShareAlike (CC BY-SA)","https://openresearchlibrary.org/content/025837d0-67f3-4dcd-b9e7-aa74da70be0f"
"Bioethics and the Patent Eligibility of Human Embryonic Stem Cells-Related Inventions in Europe","Ugurlu, Ali Seyhan","Creative Commons Attribution (CC BY)","https://openresearchlibrary.org/content/2d4c9a4f-4e06-4068-95c0-60884f741b28"
"Boats to Burn: Bajo Fishing Activity in the Australian Fishing Zone","Stacey, Natasha","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/4dfe60ea-19dc-4b69-8c35-26195b2a58d8"
"Border Flows: A Century of the Canadian-American Water Relationship","Macfarlane, Daniel , and Lynne Heasley","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/5909055f-e4a6-493f-9972-d03e8bb3ff91"
"Brexit and the Future of EU Politics: A Constitutional Law Perspective","Pernice, Ingolf, and Ana Maria Guerra Martins","Creative Commons Attribution (CC BY)","https://openresearchlibrary.org/content/045a7c4c-1d64-4f2c-9c59-2f062471e4c0"
"Climate Change and International Shipping: The Regulatory Framework for the Reduction of Greenhouse Gas Emissions","Shi, Yubing","Creative Commons Attribution-NonCommercial (CC BY-NC)","https://openresearchlibrary.org/content/51826765-5cb7-4f69-a045-9b82b1643867"
"Consumer Data Protection in Brazil, China and Germany - a Comparative Study","Metz, Rainer , Pan Haifeng, and Jörg Binding","Creative Commons Attribution-ShareAlike (CC BY-SA)","https://openresearchlibrary.org/content/0c18d09e-83e6-4237-8bbf-191642708c17"
"Employee Participation and Collective Bargaining in Europe and China","Basedow, Jürgen, and Iris Eisenberger","Creative Commons Attribution-ShareAlike (CC BY-SA)","https://openresearchlibrary.org/content/b90cea00-1523-49fb-8eae-4800a219ec85"
"German and Asian Perspectives on Company Law: Law and Policy Perspectives","Fleischer, Holger, and Toshiyuki Kono","Creative Commons Attribution-ShareAlike (CC BY-SA)","https://openresearchlibrary.org/content/fa30ff25-73db-4306-a3a6-638da9a5ed34"
"Industrial Concentration and the Chicago School of Antitrust Analysis","Rittaler, Jan B","Creative Commons Attribution (CC BY)","https://openresearchlibrary.org/content/30298397-1a18-478e-b425-af6b157877b2"
"Intellectual Property in the Global Arena: Jurisdiction, Applicable Law, and the Recognition of Judgments in Europe, Japan and the US","Kono, Toshiyuki, Jürgen Basedow, and Axel Metzger","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/8edcfd5e-e50f-4ec7-8ebb-7a98293ecad4"
"Introduction to Swiss Law","Thommen, Marc","Creative Commons Attribution (CC BY)","https://openresearchlibrary.org/content/e7783488-8e80-453d-a408-1cfc87d68080"
"Necessity or Nuisance?: Recourse to Human Rights in Substantive International Criminal Law","Gebhard, Julia","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/eea31ec4-dfcc-4f9d-a449-eb094d16e288"
"Patents and Public Health: Legalising the Policy Thoughts in the Doha TRIPS Declaration of 14 November 2001","Law, Andrew","Creative Commons Attribution (CC BY)","https://openresearchlibrary.org/content/44d4929b-1a46-409a-b9ba-59c37ccdc2b9"
"Populist Challenges to Constitutional Interpretation in Europe and Beyond","Gárdos-Orosz, Fruzsina, and Zoltán Szente","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/ece0dd62-de4a-4e82-82f9-dbc92ded6ed6"
"Reconsidering Constitutional Formation Ii Decisive Constitutional Normativity: From Old Liberties To New Precedence","Müßig, Ulrike","Creative Commons Attribution (CC BY)","https://openresearchlibrary.org/content/18877213-f2db-4582-8aee-0eb27cbcc91b"
"Reconsidering Constitutional Formation I National Sovereignty: A Comparative Analysis of The Juridification By Constitution","Müßig, Ulrike","Creative Commons Attribution (CC BY)","https://openresearchlibrary.org/content/242061c5-5be3-4cb7-bac7-dd17c2e008e4"
"Refining Child Pornography Law: Crime, Language, and Social Consequences","Hessick, Carissa Byrne","Creative Commons Attribution (CC BY)","https://openresearchlibrary.org/content/3c927e57-be31-428b-bac4-56a4439c0f16"
"Revisiting China’s Competition Law and Its Interaction with Intellectual Property Rights","Li, Guangjie","Creative Commons Attribution (CC BY)","https://openresearchlibrary.org/content/1c6d0b19-601c-4019-9269-45ebe488f653"
"Second Generation Patents in Pharmaceutical Innovation","Ahn, Hyewon","Creative Commons Attribution (CC BY)","https://openresearchlibrary.org/content/90f9ff89-f4b6-47d8-bf6d-3e5bb7922b4e"
"The Constitution and Governance in Cameroon","Enonchong, Laura-Stella E.","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/11190a0e-6620-4b96-8bd3-47762ecb8ddd"
"The Endangered Species Act: History, Implementation, Successes, and Controversies","Doub, J. Peyton","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/167c88fc-1579-46bd-b7e0-a65729f8cb91"
"The Future of the Law of the Sea: Bridging Gaps Between National, Individual and Common Interests","Andreone, Gemma","Creative Commons Attribution-NonCommercial (CC BY-NC)","https://openresearchlibrary.org/content/ddb31115-6757-458d-8d5c-7d2796df92b2"
"The Law Applicable to Security Interests in Intermediated Securities Under OHADA Law","Monsenepwo, Justin","Creative Commons Attribution-ShareAlike (CC BY-SA)","https://openresearchlibrary.org/content/bce10ba4-ed13-4cf8-86dd-0544aeb9b185"
"The Principle of Purpose Limitation in Data Protection Laws: The Risk-Based Approach, Principles, and Private Standards as Elements for Regulating Innovation","Grafenstein, Maximilian von","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/3d69de82-c67c-40ea-91b5-fffb63a3184f"
"The Regulation of Megabanks: Legal Frameworks of the USA and EU","Parchimowicz, Katarzyna","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/10b459ab-e0fa-462d-af53-f6418f8ed9c8"
"The Role of the Patent System in Stimulating Innovation and Technology Transfer for Climate Change: Including Aspects of Licensing and Competition Law","Kim, Hee-Eun","Creative Commons Attribution (CC BY)","https://openresearchlibrary.org/content/f86f82c3-57d1-4477-b67d-ad37216c9ca4"
"UN Human Rights Mechanisms and the Environment : Synergies, Challenges, Trajectories","Atapattu, Sumudu","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/d7fb2a19-a671-4061-9a0a-c513260249db"
"U.S. Federal Income Taxation of Individuals 2016","Geier, Deborah","Creative Commons Attribution-ShareAlike (CC BY-SA)","https://openresearchlibrary.org/content/ff9c564b-81c3-45ee-8bcf-fe0f629fde94"
"Women and the UN: A New History of Women’s International Human Rights","Adami, Rebecca, and Dan Plesch","Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)","https://openresearchlibrary.org/content/878af65d-9a59-4e7b-8789-461551c21cda"
