1,"Law, Governance and Development",1
1,Research & Policy Notes,1
1,Access to Justice and Legal Empowerment,1
2,Making the Poor Central in Legal Development Co-operation,1
3,Ineke van de Meene and Benjamin van Rooij,1
1,Access to Justice and Legal Empowerment,2
1,Access to Justice and Legal Empowerment,4
2,Making the Poor Central in Legal Development Co-operation,4
3,Ineke van de Meene and Benjamin van Rooij,4
1,Outline,6
2,How law can aid development,6
3,Access to justice,6
3,Legal empowerment,6
2,Access to justice and legal empowerment are sensitive areas with political limitations,6
2,Conceptual focus on dispute settlement ignores the prevention of grievances,6
2,Reforms need to address both state and non-state justice systems,6
2,Both state a civil society must play a role,6
2,Access to justice and legal empowerment in criminal cases should include both the victim and the defendant,6
2,"Setting realistic goals, prioritisation and co-ordination prevent disappointment",6
2,Entry points and sequencing reform are context-related,6
2,Measuring outcome and impact is essential,6
1,What are Access to Justice and Legal Empowerment?,7
2,Access to justice,7
2,Legal empowerment,7
1,Box 1: Some definitions used by different organisations and scholars,8
2,"UNDP: Access to Justice is the ability of people to seek and obtain a remedy through formal or informal institutions of justice, and in conformity with human rights standards",8
2,"World Bank: Justice for the Poor is an attempt by the World Bank to grapple with some of the theoretical and practical challenges of promoting justice sector reform in a number of countries in Africa and East Asia. Justice for the Poor reflects an understanding of the need for demand oriented, community driven approach to justice and governance reform, which values the perspectives of the users, particularly the poor and marginalized as women, youth, and ethnic minorities",8
2,"Stephen Golub (based on experience within the Asian Development Bank and the Ford Foundation): Legal empowerment is the use of legal services, often in combination with related development activities, to increase disadvantaged populations' control over their lives. It is both an alternative to the problematic, state-centric rule-of-law orthodoxy and a means for making rights-based development a reality using law to support broader socio-economic development initiatives",8
1,ACCESS TO JUSTICE AND LEGAL EMPOWERMENT,8
2,The Commission for Legal Empowerment of the Poor (CLEP) is dedicated to the fight against poverty by identifying and providing the poor with legal and institutional tools that allow them to benefit from greater security and to create wealth within the rule of law,8
2,CLEP's work is based on the view that poor women and men generally lack effective legal protection and recognition for their economic assets and transactions,8
2,"John W. Bruce et al. in a report for USAID: Legal empowerment of the poor occurs when the poor, their supporters, or governments employing legal and other means create rights, capacities, and/or opportunities for the poor that give them new power to use law and legal tools to escape poverty and marginalization. Empowerment is a process, an end in itself, and a means of escaping poverty",9
1,Why are Access to Justice and Legal Empowerment Important?,10
2,"Research on the functioning of law and legal systems in developing countries has found that legal reforms, even when they aim to benefit the poor, do not always produce the expected results as asymmetric power relations work to their disadvantage.",10
1,What Obstacles do the Poor and Marginalized Meet when Seeking Justice?,11
2,Box 2a: Obstacles to Justice and Empowerment through the Legal System,11
3,"Supply side: Also referred to as justice providers or duty bearers. Includes village elders, chiefs, local village authorities, regional authorities, national legislative and administrative bodies, police, prosecution services and court systems.",11
3,"Legislation and other norms in the formal and informal legal systems: anti-poor and gender bias, excessive number of laws, norms expressed in alien, foreign or formalistic language",11
3,"Courts or other adjudicative and enforcement institutions (state and non-state): anti-poor and gender bias, lack of judicial independence and impartiality, lack of transparency, slowness, costs, lack of adequate information regarding legal norms and legal practice",11
1,What Reforms do Access to Justice and Legal Empowerment Propose?,13
2,Box 3: Frameworks for Programming Reforms,13
3,Conceptual Framework for Access to Justice,13
3,Normative Framework,13
3,Legal Awareness,13
3,Effective Handling of Grievance,13
3,Satisfactory Remedy Obtained,13
3,Access to Appropriate Forum,13
2,Obstacles on the Demand side,12
3,Lack of financial capacity,12
3,Lack of experience in dealing with formal justice institutions,12
3,Limited legal awareness and knowledge of the law and their rights,12
3,"(Economic) dependency prevents the poor and weak from enforcing their rights against employers, husbands or landlords",12
3,Negative perceptions of legal institutions and litigation and social stigma incurred from turning to the law to seek justice,12
3,Distrust of legal institutions and the law. Such distrust often coincides with perceptions that getting justice from the legal system is difficult or impossible,12
3,"Conditions of illegality regarding housing, payment of taxes or registration lead to fear of formal courts",12
2,Box 2b: Obstacles to Justice and Empowerment through the Legal System,12
3,widespread corruption and abuse of power,12
3,lack of effective enforcement of judgements and decisions,12
3,Lack of legal aid systems or the availability of affordable legal representation,12
3,Lack of alternative dispute resolution (ADR) systems,12
3,distance between the courts and in particular the rural poor,11
3,"impunity of law enforcement agents, governments and political parties",11
3,absence of accountability for the legal profession and professional monitoring,11
1,Access to Justice and Legal Empowerment Reform – Eight Policy Considerations,16
2,Legal empowerment and access to justice are sensitive areas with political limitations,16
2,Reforms need to address both state and non-state justice systems,17
3,Comprehensive conceptual frameworks on access to justice and legal empowerment need to focus explicitly on both the prevention of grievances and the obtaining of remedies against them.,17
2,"Research in Indonesia and Ghana has shown that although in most cases people prefer to settle their disputes and claim their rights through non-state and conciliatory means, at times, they prefer to take their cases to a state court to obtain an authoritative or more just decision.",18
1,"Box 4: Village Justice in Indonesia. Case Studies on Access to Justice, Village Democracy and Governance",19
2,Main findings of the case studies on corruption in village development projects.,19
3,"Villagers and village leaders preferred to resolve disputes informally. Several considerations informed this preference. First, they perceived informal mechanisms to be cheaper, quicker and easier to use than",19
1,Both state and civil society must play a role,20
2,Access to justice and legal empowerment in criminal cases should include both the victim and the defendant,21
3,"Setting realistic goals, prioritisation and co-ordination prevent disappointment",22
1,"against crimes and government abuse, and the reform of laws and legal procedures.",22
2,Entry points and sequencing are context-related,22
3,access to justice,22
3,legal empowerment,22
3,ACCESS TO JUSTICE AND LEGAL EMPOWERMENT,22
1,"Limitations of time and resources require strategic decisions regarding points of entry and the approaches to be taken: e.g, the perspective of the justice provider or that of justice seekers.",23
2,Measuring outcome and impact is essential,23
3,INEKE VAN DE MEENE AND BENJAMIN VAN ROOIJ,23
3,access to justice,24
3,legal empowerment,24
2,Box 5: Access to Justice Does Not Always Provide the Solution: the Issue of Child Maintenance in Ghana,24
