1,APPLYING SHARI'A IN THE WEST,1
2,"Facts, Fears and the Future of Islamic Rules on Family Relations in the West",1
3,Edited by Maurits S. Berger,1
1,Applying Shari'a in the West,2
2,lucis series,3
2,debates on islam and society,3
1,Applying Shari'a in the West,4
2,"Facts, Fears and the Future of Islamic Rules on Family Relations in the West",4
3,Edited by Maurits S. Berger,4
2,Leiden University Press,4
1,Contents,6
2,Section i: Country Studies,6
2,Section ii: Law Versus Culture,7
2,Section iii: The Need for Accommodation,7
1,Introduction,8
2,Applying Shari'a in the West,8
3,Maurits S. Berger,8
2,What do Western Muslims Mean by Shari'a?,9
3,Shari'a: a virtuous abstraction,10
3,Shari'a: foreign national laws,11
2,Shari'a: the practices and desires of Western Muslims,11
2,Shari'a Practices in a Western Legal Framework,13
2,Three Western regions,13
2,Shari'a in the West,15
2,Western Responses: Law Versus Culture,17
2,Adaptation in Western or Muslim Legal Systems?,19
1,Conclusion,20
1,Notes,21
1,section i,24
1,country studies,24
2,1  Reasons for the Application of Shari'a in the West,26
2,Introduction,26
2,External Reasons for the Formal or Informal Application of Shari'a in the West,27
2,Private international law,27
2,Introduction of Islamic legal provisions,28
2,Recognition of legal facts created under foreign shari'a laws,29
2,Personal law systems,30
2,Internal Reasons for the Formal or Informal Application of Shari'a in the West,31
2,Technical/Institutional reasons,31
2,Cultural reasons,32
2,Religious reasons,33
2,Alternative Dispute Resolution (adr) and Shari'a,36
2,Preliminary Conclusions,40
1,Notes,42
2,2 America,48
2,Islam and the Problems of Liberal Democracy,48
2,Introduction,48
2,Islam in America: A Historical Summary,51
2,Growing Fears Concerning Islam,53
2,Legal Plurality and the Spread of Shari'a,55
1,American Legal Exceptionalism and Shari'a,57
2,Relevant Research on Muslims,58
1,Conclusion,60
1,Notes,62
1,3 Australia,66
2,The Down-Under Approach and Reaction to Shari'a: An Impasse in Post-Secularism?,66
3,The Socio-Cultural Heterogeneity of Muslims and the Implication for Shari'a,66
2,Shari'a in Australia,68
2,The Relationship Between Shari'a and Australian Law,69
2,Australian Family Law and Islamic Arbitration,71
2,Recent Attempts to Bring Shari'a into the Public Sphere: Two Case Studies,72
3,Case study 1: Australian Federation of Islamic Councils (Ikebal Patel),72
3,Case study 2: Divorce in Australia: from an Islamic law perspective,73
2,The New Australian Conservative Modernity and Its Obstacles to Post-Secularism,74
1,Notes,77
1,4 United Kingdom,80
2,An Early Discussion on Islamic Family Law in the English Jurisdiction,80
2,Background,80
1,Seeking clarification,83
1,Grounds for dissolution of marriage,86
2,England,86
2,Pakistan,86
2,Grounds:,86
2,Irretrievable breakdown of marriage,86
2,Incompatibility,86
2,Facts:,86
2,Grounds,86
2,for,86
2,nullity:,86
1,Conditions for marriage,86
2,England,86
2,Pakistan,86
1,Issues and implications,88
1,The Discussion Continues,92
1,Notes,95
1,5  The Netherlands,98
1,Applying Shari\u1ffea to Family Law Issues in the Netherlands,98
1,Introduction,98
1,Formal application of Shari,98
1,Informal application of Shari,99
1,Applying Shari,100
1,a Under the Dutch Legal System,100
1,Party autonomy,100
1,The favour-principle,101
1,Express provisions and open norms,101
1,Freedom of religion,102
1,The Use of Sharia in Informal Social Settings and the Role of Human Rights,102
2,The example of the ‘chained wife’,103
1,Application of Sharia: Politically Sensitive,105
1,Conclusion,107
1,Notes,108
1,Albania and Kosovo: The Return of Islam in South East Europe: Debating Islam and Islamic Practices of Family Law in Albania and Kosovo,112
2,Introduction,112
1,Under the Gaze of Europe,113
1,Islamic Marriage and Divorce in Secular Albania,116
1,The Reflection of Europe,121
1,Notes,122
1,Greece: Debate and Challenges,126
2,Introduction,126
1,"Geographical, Historical and Legal Overview",127
1,The Mufti and So-Called Neo-Milletism,130
1,Immigration and New Challenges,133
1,Notes,134
1,Greece: The Reflection of Europe,121
1,Introduction,126
1,"Geographical, Historical and Legal Overview",127
1,The Mufti and So-Called Neo-Milletism,130
1,Immigration and New Challenges,133
1,Notes,134
1,Unregistered Islamic Marriages: Anxieties about Sexuality and Islam in the Netherlands,142
2,Introduction,142
1,Muslim Majority Countries: Towards the Registration of Marriages,143
2,Unregistered marriages: new variations,145
1,‘Islamic Marriages’ in the Netherlands: Gender and Securitization,149
2,Dutch Islamic marriages in practice: multiple motivations and meanings,152
2,Obstacles to concluding a civil marriage,154
2,Opting for an Islamic marriage,155
2,Actively desiring an Islamic marriage,157
2,Temporary Shia marriages,158
1,Conclusion,159
1,Notes,161
1,9  Understanding and Use of Islamic Family Law Rules in German Courts,166
2,The Example of the Mahr,166
3,Nadjma Yassari,166
1,Introduction,166
2,Function of the Mahr,167
3,Immaterial functions,167
3,Material functions,168
2,The Mahr in the Classical Works of the Fuqaha,168
2,Evaluation of the Mahr,168
3,The mahr as a counter value for marital cohabitation?,169
3,The mahr as an economic factor,170
1,German Case Law,172
2,Decision of the Supreme Court of 28 January 1987,172
2,Decision of the Supreme Court of 14 October 1998,173
2,Decision of the Supreme Court of 9 December 2009,174
1,Evaluation and Conclusion,180
1,Notes,182
1,Canadian and North American,182
1,European English Spanish,182
1,Belgian Swedish Danish Italian,183
1,10  A Language of Hybridity,190
2,Honour and Otherness in Canadian Law and Shari\u1ffea,190
3,Pascale Fournier and Nathan Reyes,190
1,Introduction,190
2,"Law, a Language of Hybridity?",191
2,Familiar Facts from West to East,192
3,The Other Within: (Dis)Honour in Canadian Law,192
3,Familiarity of the Other: perspectives from Jordan,194
2,Fear and Marginalization of the \u2018Other\u2019 in Canadian Society,195
1,Conclusion,197
1,Notes,199
1,section iii,206
2,the need for accommodation,206
1,11  Accommodating Islamic Family Law(s),208
2,A Critical Analysis of Some Recent Developments and Experiments in Europe,208
3,Marie-Claire Foblets,208
1,Introduction,208
2,Limits to Private International Law in the Face of the Changing Demographic Profile of Europe,208
2,The Close Connection Between Law and Religion in Islam,212
2,Future Perspectives: Three Alternatives,214
3,Incorporating religious rules into civil law: the example of the marriage contract,214
3,The autonomy of the will in family matters,218
3,Recourse to religious arbitration for certain family disputes,219
1,Notes,222
1,"12  Religion, Gender, and Family Law",228
