1,Legal Aspects of Sustainable Development,2
1,Climate Change and International Shipping,3
2,The Regulatory Framework for the Reduction of Greenhouse Gas Emissions,3
1,Contents,5
2,Foreword,5
2,Series Editor Preface,5
2,Acknowledgements,5
2,List of Figures,5
2,List of Tables,5
2,List of Acronyms,5
2,Introduction,5
2,International Environmental Law Responsibility and its Application to the Issue of Greenhouse Gas Emissions from International Shipping,5
2,The Un Response to the Issue of Greenhouse Gas Emissions from International Shipping,5
2,The Imo Response to the Issue of Greenhouse Gas Emissions from International Shipping,6
2,Response from the Shipping Industry to the Issue of Greenhouse Gas,6
1,Emissions from International Shipping,6
2,Response from Flag States and Port States to the Issue of Greenhouse Gas Emissions from International Shipping,6
2,The Future Development of Legal and Institutional Frameworks to Reduce Greenhouse Gas Emissions from International Shipping,6
1,Conclusion,7
1,Bibliography,7
1,Index,7
1,Foreword,9
1,Series Editor Preface,10
1,Acknowledgements,11
1,List of Figures,12
1,List of Tables,13
1,List of Acronyms,14
1,Introduction,19
2,Greenhouse Gas Emissions as a Regulatory Challenge,22
3,Greenhouse Gas Emissions and Climate Change,23
1,Transboundary Nature of Greenhouse Gas Emissions,27
1,Introduction,29
2,Contribution of International Shipping to Greenhouse Gas Emissions,32
3,Introduction to International Shipping,32
2,"Ship Type, Sub-type of Ships and their Definitions",35
3,"Cargo Ships, Crude Carriers: include tankers which are intended for carrying crude oil.",35
3,"Bulk Carriers: ships designed to carry bulk goods such as grain, iron ore, coal and more.",35
3,General Cargo Carriers: include a wide variety of cargo ships from small one-hold vessels to highly advanced multi-purpose vessels. Some of the ships are designed to carry containers as well as break-bulk cargos. Many of these ships are equipped with their own lifting gear.,35
3,Other Dry Carriers: carriers of refrigerated cargo and other special dry cargo ships.,35
3,Products Tankers: carry various types of refined petroleum products.,35
3,Chemical Tankers: carry various types of industrial chemicals.,35
3,"lpg Tankers: specialised tankers for the carriage of liquefied petroleum gas and often also other products, for example ammonia.",35
3,LNG Tankers: specialised tankers for the carriage of liquefied natural gas.,35
3,"Other Tankers: include a large number of bunker tankers and also those that carry a wide range of liquid niche products such as orange juice, bitumen, wine and water.",35
3,"Container Ships: built to carry containerised cargo and nothing else, i.e. fully cellular ships designed to carry containers both on deck and under deck.",35
3,"Vehicle Ships: designed to carry (new) cars, trucks and sometimes other special cargo on wheels.",35
3,Ro-Ro Ships: ships that are loaded and discharged by driving the cargo on board on wheels.,35
2,"Ship Type, Sub-type of Ships and their Definitions",36
3,"Other, Ferries: carry cars and passengers on regular schedules. This also includes overnight ferries.",36
3,Cruise Ships: carry passengers on pleasure voyages.,36
3,Yachts: large pleasure vessels.,36
3,Offshore: encompasses a wide range of platform supply vessels and offshore support vessels. Drilling rigs are not included in this figure.,36
3,"Service: mainly tugs but also work-boats, dredgers, research vessels and more.",36
2,Greenhouse Gas Emissions from International Shipping,38
3,Categories of Emissions from Ships,38
1,Introduction,29
2,Greenhouse Gas Emissions from International Shipping,38
3,Categories of Emissions from Ships,38
1,Total shipping,41
1,International shipping,41
2,(million tonnes),41
2,CO2 equivalent,41
1,Statement of the Problem,44
1,Scope of the Book and Chapter Outline,47
2,Main line of argument,48
3,Introduction,48
3,"Introduction to book topic, an overview of research",48
3,"objective, questions and methods, and main line of",48
3,argument.,48
3,International environmental,48
3,law responsibility and its,48
3,application to the issue of,48
3,GHG emissions from,48
3,international shipping,48
3,This chapter examines the possibility of applying,48
3,international law principles to the reduction of GHG,48
3,emissions from international shipping. These,48
3,"principles are: liability for transboundary harm, the",48
3,"precautionary principle, common but differentiated",48
3,"responsibility, no more favourable treatment, and",48
3,the polluter-pays principle.,48
3,It is argued that these,48
3,principles are applicable to this GHG emissions issue,48
3,UN response to the issue of,48
3,GHG emissions from,48
3,international shipping,48
3,The UN’s legal and institutional response to the GHG,48
3,"emissions issue, in particular its initiatives under the",48
3,"global climate change regime, is analysed.",48
3,It is suggested that the UN needs to make more efforts in,48
3,tackling this GHG emissions issue.,48
3,IMO response to the issue of,49
3,GHG emissions from,49
3,international shipping,49
3,The IMO’s GHG mandate and the IMO GHG,49
3,"emissions regime, in particular the outcomes",49
3,"achieved within the MEPC, are discussed.",49
3,It is argued that the IMO’s regulatory initiatives represent an,49
3,advance in addressing this GHG issue but also create,49
3,challenges for their implementation,49
3,Response from the shipping,49
3,industry to the issue of GHG,49
3,emissions from,49
3,international shipping,49
3,This chapter examines the response from,49
3,international and regional shipping organisations to,49
1,Response from flag States and port States to the issue of GHG emissions from international shipping,49
2,"Based on the analyses of flag State control and port State control, this chapter examines the responses from main flag States and port States, as well as global and regional port State organisations, to this GHG emissions issue.",49
1,The future development of legal and institutional frameworks to reduce GHG emissions from international shipping,49
2,"This chapter identifies the gaps existing in the current regulatory framework for this GHG emissions issue, and explores gap-filling options based on international law principles and responses from main stakeholders as analysed in previous chapters.",49
1,Conclusion,49
2,"The responses from main stakeholders to this GHG emissions issue are synthesised, which combined with the application of relevant international law principles, underpin the recommendations for furthering the reduction of GHG emissions from international shipping. Suggestions for steps forward are also provided.",49
1,International Environmental Law Responsibility and its Application to the Issue of Greenhouse Gas Emissions from International Shipping,50
2,Introduction,50
3,"Customary international law, general principles of law, and normative instruments have shaped and advanced the development of international environmental law, and with its evolution new norms and principles have emerged to meet new challenges.",50
1,International Environmental Law,50
1,"(Transnational Publishers, 3rd ed., 2004) 175.",50
2,2.1.1 The Concept of ‘Pollution’,51
2,2.1.2 ‘Pollution’ and Greenhouse Gas Emissions from International Shipping,55
1,2.2 Jurisdiction over Greenhouse Gas Emissions from International Shipping,62
2,2.2.1 The Concept of ‘Jurisdiction’,62
2,2.2.2 Flag State Jurisdiction,64
2,2.2.3 Coastal State Jurisdiction,67
2,2.2.4 Port State Jurisdiction,71
1,2.3 Environmental Liability for Transboundary Harm Caused by Greenhouse Gas Emissions from International Shipping,74
2,2.3.1 An Overview of Transboundary Harm,75
2,2.3.2 The Application of Transboundary Harm Rules to the Issue of Greenhouse Gas Emissions from International Shipping,83
1,2.4 The Precautionary Principle and Its Application to the Issue of Greenhouse Gas Emissions from International Shipping,88
2,2.4.1 An Overview of the Precautionary Principle,88
2,2.4.2 The Applicability of the Precautionary Principle to the Issue of Greenhouse Gas Emissions from International Shipping,96
1,2.5 ‘Common but Differentiated Responsibility’ and ‘No More Favourable Treatment’,99
2,2.5.1 Common but Differentiated Responsibility,100
2,2.5.2 No More Favourable Treatment,109
2,2.5.3 Application of Both ‘Common but Differentiated Responsibility’ and ‘No More Favourable Treatment’ Principles to the Issue of Greenhouse Gas Emissions from International Shipping,112
1,2.6 The Polluter-Pays Principle and Its Application to the Issue of Greenhouse Gas Emissions from International Shipping,120
2,2.6.1 An Overview of the Polluter-Pays Principle,121
2,2.6.2 The Application of the Polluter-Pays Principle to the Issue of Greenhouse Gas Emissions from International Shipping,130
1,2.7 Conclusion,133
1,CHAPTER 3,136
2,The UN Response to the Issue of Greenhouse Gas Emissions from International Shipping,136
3,Introduction,136
3,The UN and the IPCC,138
3,Other Institutions and Their Interaction,142
3,United Nations,145
3,Climate Change,145
3,WMO at UNFCCC/COP Sessions,145
3,"International Environmental Agreements: Politics, Law and Economics",145
3,International Convention for the Prevention of Pollution from,146
1,Ships,146
1,MARPOL 73/78,146
2,United Nations Convention on the Law of the Sea,146
2,LOSC,146
2,CLTRAP,146
2,International Convention for the Prevention of Pollution from Ships (MARPOL 73/78),146
2,Melbourne Journal of International Law,146
2,"Institutional Dimensions of Environmental Change: Fit, Interplay, and Scale",146
2,"International Environmental Agreements: Politics, Law and Economics",146
2,"Institutions and Environmental Change: Principal Findings, Applications, and Research Frontiers",146
1,International Legal Framework on Climate Change,147
2,CLRTAP,148
2,the 1985 Convention for the Protection of the Ozone Layer,148
2,Vienna Convention,148
2,UNFCCC,148
2,Kyoto Protocol,148
2,UNFCCC-Kyoto Protocol,148
2,Paris Agreement,148
2,The Prevention of Atmospheric Pollution,148
2,1979 Convention on Long-Range Transboundary Air Pollution,148
2,1985 Convention for the Protection of the Ozone Layer,148
2,Kyoto Protocol,148
2,Convention on Long-Range Transboundary Air Pollution,148
2,Vienna Convention for the Protection of the Ozone Layer,148
2,Principles of International Environmental Law,148
2,International Environmental Law,148
2,1979 Convention on Long-Range Transboundary Air Pollution,149
2,Vienna Convention,149
2,The 1979 Geneva Convention,149
2,on Long-rang Transboundary Air Pollution,149
2,CLRTAP,149
2,International Environmental Agreements,151
2,Vienna Convention,152
2,Montreal Protocol on Substances that Deplete the Ozone Layer,152
2,The 1990 Amendment to the Montreal Protocol on Substances that Deplete the Ozone Layer,152
2,The 1992 Amendment to the Montreal Protocol on Substances that Deplete the Ozone Layer,152
2,The 1997 Amendment to the Montreal Protocol on Substances that Deplete the Ozone Layer,152
2,The 1999 Amendment to the Montreal Protocol on Substances that Deplete the Ozone Layer,152
2,CLRTAP,153
2,1985,153
1,Vienna Convention,153
1,1987 Montreal Protocol,153
1,1985,153
1,Montreal Protocol,153
2,Environmental Law,153
1,MARPOL 73/78,155
2,Exemption Information,155
1,the effective implementation of the financial co-operation as provided by,156
1,Article 10 and the transfer of technology,156
1,UNFCCC,156
1,Maritime Countries Agree First Ever Shipping Emissions Regulation,156
1,The 1990 Amendment,156
1,iffs and Trade,158
1,GATT),158
2,Texas International Law Journal,158
2,Energy Policy,158
1,3.2.2 The UNFCCC - Kyoto Protocol Regime,159
1,Stage of Development,160
1,Major Outcomes,160
1,Meeting Date,160
1,unfccc,160
1,Berlin Mandate,160
1,COP/CMP or Organiser,161
1,Key Elements/Contributions,161
1,Included general obligations by all parties to promote,161
1,and cooperate in the reduction of GHG emissions from,161
1,the transport sector. (Art. 4(1)(c)).,161
1,Requested its SBSTA and the SBI to address the,161
1,allocation and control of emissions from international,161
1,aviation and shipping.,161
1,2. SBSTA negotiated allocation and control of,161
1,international bunker fuels.,161
1,Stage of Development,162
1,Major Outcomes,162
1,Meeting Date,162
1,Kyoto Protocol (KP),162
1,Marrakesh Accords,162
1,COP/CMP or Organiser,163
1,Key Elements/Contributions,163
1,launched,163
1,negotiations on the next phase of the KP with the,163
1,establishment of AWG-KP,163
1,"AWG-LCA was established to conduct this process, and",163
1,is responsible for addressing,163
1,hipping emissions’,163
1,reduction under the sub-item 1b(iv) addressing,163
1,cooperative sectoral approaches and sector-specific,163
1,actions.,163
1,Stage of Development,164
1,Major Outcomes,164
1,Meeting Date,164
1,Montreal Action Plan,164
1,Bali Road Map,164
1,Evolution of the International Climate Change Regime,168
1,Stage of Development,168
2,Major Outcomes,168
2,Meeting Date,168
2,Cancun Agreements,166
2,Durban Package,166
2,Doha Climate Gateway,168
2,Paris Agreement,168
1,COP/CMP or Organiser,167
2,Key Elements/Contributions,167
2,"Measurement, reporting and verification (MRV) for both developed and developing States",167
2,Established a second commitment period under the KP,167
2,A new subsidiary body under the Convention (ADP),167
2,"Amended the KP and its Annexes, added the 7th type of GHG—Nitrogen trifluoride",167
1,1985 Vienna Convention,168
1,GAIA: Ecological Perspectives for Science & Society,168
1,Protection of Global Climate for Present and Future Generations of Mankind,168
1,Doha Amendment to the KP,169
2,Terminated the AWG-LCA and AWG-KP,169
2,Elements for a draft negotiating text,169
1,Ratification of the Convention,170
1,COP 1 Report,173
2,International Maritime Organization,173
2,The allocation and control of emissions from international bunker fuels,173
1,The Berlin Mandate,173
1,Methodological Issues,173
1,GHG Emissions,179
1,"Cooperative Sectoral Approaches and Sector-Specific Actions in order to Enhance the Implementation of Article 4, Paragraph 1(c), of the Convention",179
1,BAPA,180
1,Kyoto Protocol,180
1,Paris Agreement,180
1,Buenos Aires Plan of Action,180
1,BAPA,180
1,Bonn Agreements,180
1,Marrakesh Accords,180
2,The Buenos Aires Plan of Action,180
2,The Bonn Agreements on the Implementation of the Buenos Aires Plan of Action,180
2,The Marrakesh Accords,180
2,The Cancun Agreements,182
2,"Report of the Conference of the Parties on Its Seventeenth Session, Held in Durban from 28 November to 11 December 2011",182
2,"Report of the Conference of the Parties Serving as the Meeting of the Parties to the Kyoto Protocol on Its Seventh Session, Held in Durban from 28 November to 11 December 2011",182
2,"Report of the Conference of the Parties on Its Eighteenth Session, Held in Doha from 26 November to 8 December 2012",182
2,"Report of the Conference of the Parties Serving as the Meeting of the Parties to the Kyoto Protocol on Its Eighth Session, Held in Doha from 26 November to 8 December 2012",182
2,"Report of the Conference of the Parties on Its Nineteenth Session, Held in Warsaw from 11 to 23 November 2013",182
2,"Report of the Conference of the Parties Serving as the Meeting of the Parties to the Kyoto Protocol on Its Ninth Session, Held in Warsaw from 11 to 23 November 2013",182
2,Copenhagen Accord,182
2,Climate Change and the Oceans: Gauging the Legal and Policy Currents in the Asia Pacific and Beyond,182
2,INDC FactSheets,185
2,Record Support for Advancing Paris Climate Agreement Entry into Force,185
2,Vienna Convention on the Law of Treaties,185
2,Key Legal Issues in the 2015 Climate Negotiations,185
2,Challenges and Lessons Learned in the Preparation of Intended Nationally Determined Contributions (INDCs),186
2,Decision 1/CP.21 Aoption of the Paris Agreement,186
2,Opinion: Paris Agreement—Opportunities and Challenges for Developing Countries,186
2,International Shipping,190
1,3.4 Conclusion,192
1,CLRTAP,193
1,1985 Vienna Convention,193
1,1987 Montreal Protocol,193
1,Bali Action Plan,193
1,Paris Agreement,193
1,CHAPTER 4,195
2,The IMO Response to the Issue of Greenhouse Gas Emissions from International Shipping,195
2,4.1 Introduction,195
1,"Paris Agreement (CMAs), have contributed to the international tackling of the issue, although the effectiveness of their efforts has been questioned.3",195
2,"United Nations Framework Convention on Climate Change, opened for signature 9 May 1992, 31 ILM 848 (entered into force 21 March 1994) (‘UNFCCC’).",195
2,"Kyoto Protocol to the United Nations Framework Convention on Climate Change, opened for signature 16 March 1998, 37 ILM 22 (entered into force 16 February 2005) (‘Kyoto Protocol’);",195
2,"Paris  Agreement  to  the  United  Nations  Framework  Convention  on  Climate  Change (2015), opened for signature 22 April 2016, FCCC/CP/2015/L.9 (not yet in force) (‘Paris Agreement’).",195
2,IMO Convention,196
2,International Convention for the Prevention of Pollution from Ships,196
2,MARPOL 73/78,196
2,The IMO’s Mandate and Competence to Regulate Greenhouse Gas Emissions from International Shipping,196
2,International Convention for the Prevention of Pollution from Ships (MARPOL 73/78),196
2,IMO Convention,199
2,UNFCCC,199
2,MARPOL 73/78,199
2,IMO Regulation regarding Greenhouse Gas Emissions from International Shipping,199
2,IMO Greenhouse Gas Emissions Regime,200
2,MARPOL 73/78,200
2,Report of the Third Intersessional Meeting of the Working Group on Greenhouse Gas Emissions from Ships,200
