1,Beiträge zum ausländischen und internationalen Privatrecht,2
1,Herausgegeben vom Max-Planck-Institut für ausländisches und internationales Privatrecht,2
1,"Direktoren: Jürgen Basedow, Holger Fleischer und Reinhard Zimmermann",2
1,Mohr Siebeck,4
1,Employee Participation and Collective Bargaining in Europe and China,4
1,"Edited by Jürgen Basedow, Chen Su, Matteo Fornasier and Ulla Liukkunen",4
2,"Jürgen Basedow is Director of the Max Planck Institute for Comparative and International Private Law and Professor of Law, University of Hamburg.",5
2,"Chen Su is Professor of Law and Deputy Director of the Institute of Law, Chinese Academy of Social Sciences (CASS).",5
2,"Matteo Fornasier is Senior Research Fellow at the Max Planck Institute for Comparative and International Private Law, Hamburg, and Instructor at the University of Hamburg.",5
2,Ulla Liukkunen is Professor of Labour Law and Private International Law at the University of Helsinki and Director of the Finnish Center of Chinese Law and Chinese Legal Culture.,5
1,Preface,6
1,Contents,10
1,Part I: Setting the Stage,10
2,A. Collective Bargaining and its Interaction with State Legislation and Individual Employment Contracts,10
1,Part II: Specific Issues of Collective Labour Law,10
2,"B. Collective Organizations, Collective Bargaining and Collective Labour Conflicts",10
2,C. Employee Participation,11
1,Abbreviations,12
1,Part I: Setting the Stage,18
2,A. Collective Bargaining and its Interaction with State Legislation and Individual Employment Contracts,18
1,Collective Labour Law in the Nordic Countries: The Relationship between Individual Employment Contracts and State Legislation,20
2,I. Introduction,20
2,II. Basic features in the development of Nordic labour law,23
2,III. The trade union representative,30
2,IV. Industrial action,31
2,V. Codetermination – information and consultation,32
2,VI. The individual contract and labour law,34
2,VII. Challenges and impact from EU law,38
2,VIII. Collective regulation of working life together with state intervention?,41
2,IX. Final conclusions,44
1,Collective Bargaining in Germany and its Interaction with State Legislation and Individual Employment Contracts,46
2,I. Introduction: Sources of German labour law,46
2,II. Foundations of the German system of collective bargaining,48
2,III. Current trends and developments,53
2,IV. Summary,64
1,Collective Bargaining in the UK and its Interaction with State Legislation and Individual Employment Contracts,66
2,I. Introduction,66
2,II. Overview of collective bargaining in the UK,68
