1,Studies in the History of Law and Justice,1
1,Ulrike Müßig - Editor,1
1,Reconsidering Constitutional Formation II,1
1,Decisive Constitutional Normativity,1
1,From Old Liberties to New Precedence,1
1,Studies in the History of Law and Justice - Volume 12,2
1,Editorial Board,2
1,Ulrike Müßig - Editor,4
1,Reconsidering Constitutional Formation II,4
1,Decisive Constitutional Normativity,4
1,From Old Liberties to New Precedence,4
1,Ulrike Müßig - Editor,5
1,Reconsidering Constitutional Formation II,5
1,Decisive Constitutional Normativity,5
1,From Old Liberties to New Precedence,5
1,Acknowledgements,7
1,Decisive Constitutional Normativity,7
1,Contents,10
2,A New Order of the Ages. Normativity and Precedence,10
3,The Development of Constitutional Precedence and the Constitutionalization of Individual Rights,10
3,To Which Constitution the Further Laws of the Present Sejm Have to Adhere to in All: Constitutional Precedence of the 3 May System,10
3,The Codification of the Polish Substantial Criminal Law in the Sejm Debates 1818,10
3,Constitutional Precedence and the Genesis of the Belgian Constitution of 1831,10
3,Inaugurating a Dutch Napoleon? Conservative Criticism of the 1815 Constitution of the United Kingdom of the Netherlands,10
3,Constituent Power and Constitutionalism in 19th Century Norway,10
2,"Appendix A: Emmanuel Joseph Sieyès, Du Jury Constitutionnaire (an III)",11
2,"Appendix B: Emmanuel Joseph Sieyès, Du Jury Constitutionnaire (an III)",11
2,"Appendix C: Projet de Constitution pour le Royaume de Pologne, 1812",11
2,"Appendix D: Projet de Constitution pour le Royaume de Pologne, 1812",11
2,About the Authors,11
2,Index,11
1,A New Order of the Ages. Normativity and Precedence,12
2,Contents,12
3,Matters of the Empire,35
3,Self-reliance of the British Imperial Constitution,36
3,Legal Force of Custom in the Unsettled Connexion of the Colonies to Britain,41
3,Establishing Constitution as Law,44
4,Emergence of the Constituent American People,44
4,Natural Law Basis and Foundation of Government,44
4,Independence from Being Subjects of the Same King,46
4,Constitutional American People of the United Colonies (1776-8),47
3,Farewell to the Lockean Inter legislatorem et populum nullus in terris est judex,56
3,Constitution as Supreme Legal Codex for Central State Issues,51
4,Focus on the Division of Sovereignty Between Union and Single States,51
4,The Constitution as Guarantee for the Existence of the Union,52
4,Constitutional Silence on Precedence,53
3,Summary of Sections 3 and 4,60
3,Legal Transition of Philosophical Truths,61
4,6.1 Sieyès’s Constitutional Jury (jury constituionnaire),63
4,6.1.1 Constitutional Debates of 2 and 18 Thermidor III (20 July and 5 August 1795),67
4,6.1.2 Communicative Implications of the Jury’s Attributions in the Thermidorian Constitutional Debates,73
1,A New Order of the Ages. Normativity and Precedence,12
2,Contents,12
3,Legal Transition of Philosophical Truths,61
4,6.1.2 Communicative Implications of the Jury’s Attributions in the Thermidorian Constitutional Debates,73
1,Defeat of Sieyès’ Jury Proposal and Its Consequences on the French Constitutional Jurisdiction,79
2,"Avenues of New Constitutional Research: Sketching Germany, 1848",82
3,Juridification Matters in the Public Sphere Around the Constituent St. Paul’s Church Assembly,84
4,7.2 Supremacy Matters in the Public Sphere Around the Constituent St. Paul's Church Assembly,87
4,7.3 Revision Matters in the Public Sphere Around the Constituent St. Paul's Church Assembly,92
3,8 Conclusion,96
3,References,98
1,The Development of Constitutional Precedence and the Constitutionalization of Individual Rights,109
2,Gerald Stourzh,109
2,Contents,109
3,1 Fundamental Laws and Fundamental Rights in the 17th and 18th Centuries and the Invention of the Word Unconstitutional in England,109
3,2 The Dissociation of Constitutional from Legislative Power in North America and the Constitutionalisation of Individual Rights (Colonies and States up to 1787/88),109
3,3 Fundamental or Paramount Law on the Federal Level in the United States: Marbury v. Madison 1803 and Obergefell v. Hodges 2015,109
3,"4 Europe, Constitutional Complaint (Verfassungsbeschwerde) and Individual Complaint (Individualbeschwerde): Roots 1848 and 1867, Beginnings 1919/1920, Breakthrough After World War II",109
2,References,109
2,Abstract,109
1,The Development of Constitutional Precedence and the Constitutionalization of Individual Rights,109
2,Abstract,109
2,Fundamental Laws and Fundamental Rights in the 17th and 18th Centuries and the Invention of the Word “Unconstitutional” in England,110
2,The Dissociation of “Constitutional” from Legislative Power in North America and the “Constitutionalisation” of Individual Rights (Colonies and States up to 1787/88),113
3,The Development of Constitutional Precedence,113
3,The Development of Constitutional Precedence,111
3,The Development of Constitutional Precedence,112
1,The Development of Constitutional Precedence,109
2,The Dissociation of “Constitutional” from Legislative Power in North America and the “Constitutionalisation” of Individual Rights (Colonies and States up to 1787/88),113
3,The Development of Constitutional Precedence,112
1,The Development of Constitutional Precedence,115
2,Fundamental or Paramount Law on the Federal Level in the United States: Marbury v. Madison 1803 and Obergefell v. Hodges 2015,117
3,"Europe, “Constitutional Complaint” (Verfassungsbeschwerde) and “Individual Complaint” (Individualbeschwerde): Roots 1848 and 1867, Beginnings 1919/1920, Breakthrough After World War II",119
1,The Development of Constitutional Precedence,119
4,Grundrechte,120
1,References,121
2,Anonymous [possibly Melancton Smith] (1981 (1787/88)). Letters from the Federal Farmer.,121
2,Blackstone W (1765) Commentaries on the Laws of England. Book the First vol I. Clarendon,122
2,"Commager HS (1963) Documents of American history, vol I, 7th edn. Appleton-Century-Crofts,",122
2,"Cooke JE (ed) (1961(1788)) The federalist. The World Publishing Company, Meridian Books,",122
2,Crawford CC (1915) The suspension of the Habeas Corpus Act and the Revolution of 1689.,122
2,de Vattel E (1863 (1758)) Le Droit des gens ou Principes de la loi naturelle. In Pradier-Fod,122
2,"Habermas J (1967) Naturrecht und Revolution. In: Theorie und Praxis. Luchterhand, Neuwied,",122
2,McIlwain CH (ed) (1935 (1607)) The Political Works of James I. New York,122
2,"McRee GJ (ed) (1858) Life and correspondence of James Iredell, vol II. D. Appleton and",122
2,Pasquino P (1998) Siey,122
1,Introduction,124
2,A Note on Terminology,129
3,Characteristic of the Sources,132
4,French Inspirations of Polish Republicans: Drafts of Mably and Rousseau,134
5,The Extraordinary Procedure for Enactment of the Constitution of 3 May: Oath on the Constitution,123
6,The Problem of the Supreme Law in the Time of the 3 May Debate,123
7,Relation Between the Constitution and the Ordinary Legislation: Nullification of the Law Contravening to the Constitution,123
8,The Procedure of Constitutional Revision,123
9,Summary,123
10,Summary (Polish),123
1,References,123
1,Considerations on the Government of Poland,135
1,Lettres sur la constitution actuelle de la Pologne et la tenue de ses,135
1,liberum veto,135
1,interregnum,135
1,the Polish government,135
1,Social contract,135
1,Considerations sur le gouvernement de la Pologne et sur sa reformation projet,135
1,nation,136
1,Comit,136
1,s censoriaux.,136
1,interregnum,136
1,Rousseau and Polish republicanism,136
1,membres,137
1,actifs de la R,137
1,publique,137
1,Du gouvernement et des lois de,138
1,la Pologne,138
1,liberum veto,138
1,la nation sera,139
1,convoqu,139
1,e extraordinairement,139
1,une des fautes principales des,139
1,l,139
1,"gislateures en faisant leurs lois, c",139
1,est de ne pas donner la facult,139
1,de sa r,139
1,tablir et,139
1,"de se reproduire, pour ainsi dire, par ses propres forces. De l",139
1,une d,139
1,gradations,139
7,Relation Between the Constitution and the Ordinary Legislation: Nullification of the Law Contravening to the Constitution,123
8,The Procedure of Constitutional Revision,123
9,Summary,123
10,Summary (Polish),123
1,Gradations,139
1,De la situation de la Pologne en 1776,140
1,The Extraordinary Procedure for Enactment of the Constitution of 3 May: Oath on the Constitution,141
1,Zasady do poprawy formy rz,142
1,The Problem of the Supreme Law in the Time of the 3 May Debate,152
2,Henrician Articles and Pacta Conventa,152
2,Cardinal Laws in Polish Tradition and Legal System,155
1,Enactment of the Government Statute,144
1,An Oath on the Constitution,147
2,necessitas non habet legem,145
2,Pacta Conventa,146
2,Gazeta Narodowa Y Obca,150
2,id est,150
2,Sejmiki,148
2,necessitas non habet,149
2,legem,149
2,Gazeta Narodowa Y Obca,151
2,absolutum dominium,152
2,expresses verbis,153
2,publicae libertatis,153
2,Pacta Conventa,153
2,Pacta Conventa,154
2,neminem captivabimus,156
2,expressis verbis,156
7,Relation Between the Constitution and the Ordinary Legislation: Nullification of the Law Contravening to the Constitution,163
8,The Procedure of Constitutional Revision,170
2,liberum veto,157
2,palladium libertatis,159
2,id est,159
2,Pacta Conventa,160
2,expressis verbis,160
2,Sejmik,166
2,ius aggratiandi,166
2,Projet de réforme de Constitution in 1791,163
2,partie réglementaire,170
2,inter alia,171
2,in toto,172
2,Pacta Conventa,171
2,Pacta Conventa,172
2,af rmative/negative,172
1,The Codification of the Polish Substantial Criminal Law in the Sejm Debates 1818: A Practical Test of the Precedence of the 1815 Constitution of the Kingdom of Poland,183
2,Marcin Byczyk,183
3,Contents,183
4,Introduction,183
4,The Origins of the 1815 Constitution of the Kingdom of Poland,183
4,General Characteristics of the Constitution of 1815,183
5,Regulations in the 1815 Constitution Concerning the Criminal Law,183
6,The Enactment of the Polish Criminal Code of 1818,183
7,The Evaluation of the Congruity of the Criminal Code of 1818 with the 1815 Constitution of the Kingdom of Poland,183
8,Conclusions,183
9,Summary (Polish),183
10,References,183
1,Introduction,184
2,The Origins of the 1815 Constitution of the Kingdom of Poland,185
3,Projet de Constitution du Royaume de Pologne,189
3,The governmental law of the Grand Duchy of Lithuania,189
3,Ustawa rz dowa Wielkiego Ksi stwa Litewskiego,189
3,habeas corpus,191
4,Government,195
4,Of the national representation,195
4,trias politica,195
4,The government resides in the person of the King. He exercises in all their plenitude the functions of executive power. All executive and administrative authority must emanate from him,195
4,"The legislative power resides in the person of the King and in the two chambers of the Sejm, conformably with the regulations of the article thirty one",195
4,The judicial order is constitutionally independent,195
4,the judges nominated by the King are for life and cannot be removed,195
4,"shall finally determine all civil and criminal cases, state crimes excepted",195
4,"administer the affairs of the kingdom in the King's name, during his absence.",196
4,"The law shall protect every class of citizens alike, without regard to their rank or condition",197
4,Every legitimated foreigner shall enjoy the protection of the laws and the advantages which they secure on the same footing as the other inhabitants,198
4,a contrario,198
5,The Enactment of the Polish Criminal Code of 1818,203
2,nullum crimen sine lege,203
2,All anterior laws and institutions which maybe Contrary to the present charter are hereby abrogated,202
2,against Constitution and the laws,205
2,"against the regulations of the Constitution, organic statutes, laws or the resolutions of the king or king’s representative",205
2,protected in the article 138 and 139 of the Constitution independence of the judiciary,205
2,arbitrariness of the judges,206
