1,"LAW, GOVERNANCE, AND DEVELOPMENT RESEARCH & POLICY NOTES",1
2,"Law, Governance, and Development",3
2,Access to Justice and Legal Empowerment,4
3,Making the Poor Central in Legal Development Co-operation,4
2,Outline,6
2,Why are Access to Justice and Legal Empowerment Important?,10
2,What Obstacles do the Poor and Marginalized Meet when Seeking Justice?,11
3,Box 2a: Obstacles to Justice and Empowerment through the Legal System,11
3,widespread corruption and abuse of power,12
3,Box 2b: Obstacles to Justice and Empowerment through the Legal Sys- tem,12
3,Obstacles on the Demand side,12
2,What Reforms do Access to Justice and Legal Empowerment Propose?,13
3,collective litigation and public interest law,14
3,share general principles (Golub 2006; UNDP 2004; Golub 2001; ADB,15
3,"patience, avoiding tight project cycles and a too large portfolio of programmes",15
2,Legal empowerment and access to justice are sensitive areas with political limitations,16
2,Conceptual focus on dispute settlement ignores the prevention of grievances,16
2,Reforms need to address both state and non-state justice systems,17
2,Both state and civil society must play a role,20
2,"Setting realistic goals, prioritisation and co-ordination prevent disappointment",22
2,Entry points and sequencing are context-related,22
2,Measuring outcome and impact is essential,23
3,Further Reading,26
2,Obstacles to Access to Justice and Legal Empowerment,27
2,State and non-state justice institutions,27
2,Programming Access to Justice and Legal Empowerment,28
2,Measuring Access to Justice and Legal Empowerment,28
3,Case studies,28
3,References,30
3,About the Authors and Acknowledgements,32
