1,Accountability and the Law,2
2,Comparative Constitutional Change,3
2,Illiberal Constitutionalism in Poland and Hungary,3
2,"The Deterioration of Democracy, Misuse of Human Rights and Abuse of the Rule of Law",3
3,Timea Drinoczi and Agnieszka Bien-Kacala,3
1,"Rights, Authority and Transparency of Public Power",4
2,List of contributors,6
2,PART I Law,6
2,PART II Fairness and rights,6
3,Transparency and accountability versus secrecy in intelligence operations: an Italian case study ARIANNA VEDASCHI,7
3,Presidents\u2019 (mis)use of public accountability: going-public tactics in European semi-presidential regimes THOMAS SEDELIUS,7
1,Contributors,8
2,1 Introduction,12
3,Piotr Mikuli and Grzegorz Kuca,12
2,Introduction 3,14
1,References,16
3,Kyriaki Topidi,20
2,2.1 Introduction: a new accountability environment,20
2,14 Kyriaki Topidi,25
2,2.3 Content moderation instruments and accountability,26
3,2.3.1 Automated social media content moderation tools and accountability,28
3,2.3.2 Appeals system,29
2,2.4 Online platforms\u2019 accountability in a European context,30
1,3. Economic crises and transformation to the theoretical model of budget process,39
2,3.1 Introduction,39
2,"3.2 The notion, phases, and course of budget process in the EU Member States",40
2,3.3 Economic crisis and budget process,44
2,3.4 Final remarks,53
1,References,36
1,References,54
1,4 Financial accountability and transparency of public sector institutions in the Republic of Serbia,57
2,4.1 Introduction,57
2,2.5 Concluding remarks,35
2,4.1 Introduction,57
3,rT,57
2,4.2 The role of internal financial control in the public sector,59
2,4.4 The role of the State Audit Institution and Budget Inspection,64
2,4.5 Conclusion,67
1,References,69
1,5 Disciplinary liability of judges The Polish case,74
3,Piotr Mikuli and Maciej Pach,74
2,5.1 Introduction,74
2,5.2 Models of disciplinary liability of judges and the Polish solutions,76
3,"(Art. 107, § 1)",77
3,"(Art. 107, § 2)",77
2,5.4 Current jurisdiction of disciplinary courts and of disciplinary commissioners,82
2,5.5 Final remarks,88
1,References,88
1,6 ‘Transparency and accountability versus secrecy in intelligence operations,91
3,Arianna Vedaschi,91
2,6.1 Introduction,91
2,6.2 The history of intelligence: a brief overview,92
3,6.2.1 Intelligence from early history to the Restoration: a comparative perspective,93
3,6.2.2 Intelligence from the 19th century onwaras: focus on Italy,94
3,6.3.1 Law no. 124/2007: main features,98
2,6.4 The Italian intelligence system and its interactions with state powers,102
3,6.4.1 Political oversight of secret services’ activities,102
3,6.4.2 Judicial oversight and the use of state secrecy in criminal proceedings,104
2,6.5 Intelligence agencies ‘in action’ in times of international terrorism,105
3,6.5.1 International terrorism and the metamorphosis of security threats,106
3,"6.5.2 Extraordinary renditions, state secrecy, and the Italian Constitutional Court",107
2,6.6 Concluding remarks,109
1,References,110
1,7 Non-judicial legal accountability,113
3,Guillermo Jiménez,113
2,7.1 Introduction,113
2,7.2 Constitutional and legal framework,116
3,7.2.1 Constitutional regulation,116
3,7.2.2 Organisational structure,116
4,7.2.2.1 Hierarchical arrangements,116
4,7.2.2.2 The office head,118
2,7.3 Mandate and powers,120
3,7.3.1 Multitasking,120
3,7.3.2 Ex-ante legality review,120
4,7.3.2.1 Basic provisions,120
4,7.3.2.2 Types of administrative actions under review,121
4,7.3.2.3 Participants,123
4,7.3.2.4 Standard of review,124
4,7.3.2.5 The insistence mechanism—the presidential override,124
3,7.3.3 The power of dispute resolution,127
4,7.3.3.1 Basic provisions,127
4,7.3.3.2 Aims and functions,128
4,7.3.3.3 Access,129
4,7.3.3.4 Legal authority and limits,130
2,7.4 Conclusion,131
1,References,132
1,8 Presidents’ (mis)use of public accountability,140
2,8.1 Introduction,140
2,8.2 Research design and data,142
2,8.3 Theory and definitions,143
2,"8.4 Semi-presidentialism in Finland, Lithuania, and Romania",145
3,Table 8.1 Level of democracy and formal presidential powers in European semi-presidential (premier-presidential) regimes,146
3,Table 8.2 Shugart and Carey’s presidential power scores for European semi-presidential (premier-presidential) regimes,147
2,8.5 Analysis,149
3,"8.5.1 Presidents, cabinets, and intra-executive conflicts",149
3,8.5.2 A strictly constrained but highly popular presidency in post-2000 Finland,149
3,"Table 8.3 Intra-executive conflicts and periods of cohabitation: Finland, Lithuania, and Romania",150
3,"Figure 8.1 Public evaluation of the powers of the president in Finland, 1990-2017, in percentage",153
