1,A GLOBAL HISTORY OF THE FIRST,1
2,NEW DIRECTIONS IN PALESTINIAN STUDIES Series Editorial Committee,3
2,"Beshara Doumani, Series Editor Samera Esmeir Rema Hammami Rashid Khalidi Sherene Seikaly",3
2,"1. Palestinian Chicago: Identity in Exile, Loren D. Lybarger",3
2,Lynn Welchman,6
2,A,6
3,ACKNOWLEDGMENTS,14
3,xii ACKNOWLEDGMENTS,15
1,Introduction,18
2,WRITING AL-HAQ,18
2,INTRODUCTION 3,20
1,SCHOLARSHIP: AL-HAQ AND HUMAN RIGHTS,21
1,FRAMING THE WORK,23
1,AL-HAQ CONTRIBUTIONS,25
2,Context,30
2,"THE OCCUPIED TERRITORIES, ISRAEL, AND THE PLO",30
3,14 CONTEXT,31
3,CONTEXT 15,32
2,WEST BANK LEGAL PROFESSION,33
2,CAMP DAVID,35
2,HUMAN RIGHTS ORGANIZATIONS,37
2,INTERNATIONAL LAW,40
2,HUMAN RIGHTS IN THE REGION,42
1,Beginnings,45
2,Founders,64
3,RAJA SHEHADEH,64
2,JONATHAN KUTTAB,76
2,CHARLES SHAMMAS,83
2,LSM STEERING COMMITTEE,89
2,Organization,90
3,WHO ARE WE? IN 1983,91
2,THE POLITICS OF LSM,96
2,"PARTICIPATION, VOLUNTARISM, AND WEDNESDAY EVENING MEETINGS",107
3,ORGANIZATION,112
3,MEMBERS AND STAFFERS,115
2,INTO THE INTIFADA: TWENTY YEARS OF OCCUPATION,118
3,AL-HAQ’S GOALS,122
3,THE OCCUPIER’S USE OF THE LAW,122
3,RESPONSE TO ISRAELI ARGUMENTS,122
3,ROLE OF AL-HAQ UNDER OCCUPATION,123
2,Interventions and Allies,125
2,THE ICRC,148
3,THE ENFORCEMENT PROJECT,152
3,Field and Legal Research,164
3,FIELDWORK METHODOLOGY,164
3,THE RISKS OF FIELDWORK,169
3,INTIFADA EXPANSION,172
3,FROM AFFIDAVITS TO PUBLICATIONS AND CAMPAIGNS,173
3,AFFIDAVITS AND THE PALESTINIAN AUDIENCE,176
3,Palestinians killed by Israeli security forces or settlers in Hebron during the year,177
3,FIELDWORK AND THE DATABASE,177
3,PUBLISHING ON PRISONS,178
1,STRUCTURAL WORK,182
2,LEGAL ADVICE AND KNOW YOUR RIGHTS,187
2,INVOKING THE LAW,195
1,Fallouts,200
1,Epilogue,228
2,NOTES,246
1,INTRODUCTION,246
1,CHAPTER 1. CONTEXT,250
1,CHAPTER 2. BEGINNINGS,256
1,CHAPTER 3. FOUNDERS,260
1,CHAPTER 4. ORGANISATION,266
1,CHAPTER 5. INTERVENTIONS AND ALLIES,270
1,CHAPTER 6. FIELD AND LEGAL RESEARCH,278
1,CHAPTER 7. FALLOUTS,286
1,EPILOGUE,291
1,BIBLIOGRAPHY,300
2,LSM/AL-HAQ PUBLICATIONS AND SOURCES,300
3,Al-Hag Publications Referred To in Text,300
2,Al-Hag Annual Reports and Anniversary Publications,301
2,"Punishing a Nation: Human Rights during the Palestinian Uprising, December 1987-December",301
2,Al-Hagq Published / Al-Haq Originated,302
2,"Nashashibi, Shukri, and James Fine. \u201cPreliminary Report on the Future of Al-Haq.\u2019 August",304
2,"Playfair, Emma. \u201cAdministrative Detention in the Israeli-Occupied West Bank\u201d IC] Review",304
1,OTHER SOURCES,305
2,"Alston, Philip. “The Populist Challenge to Human Rights.” Journal of Human Rights Practice",305
2,"Crystal, Jill. “The Human Rights Movement in the Arab World.” Human Rights Quarterly",308
2,"Gready, Paul. “Introduction—Responsibility to the Story.’ Journal of Human Rights Practice",309
2,ment Concerning the Legality of General Security Services Interrogation Methods.”,310
2,"the International Day of Solidarity with the Palestinian People, 29 November 1979.” ICJ",312
2,"Norton-Taylor, Richard. “Official MI5 History Sheds Little Light” The Guardian, October",313
2,"Reisman, Michael. “International Law and the Israeli Occupation.” The Nation, December",313
2,"Richardson, John. “When the US Gets to Monitoring Human Rights.” Al-Fajr, December",313
2,"Roberts, Adam. “Prolonged Military Occupation: The Israeli-Occupied Territories 1967-",314
2,"Legal Language.” In The Arab-Israeli Accords: Legal Perspectives, edited by Eugene",315
1,INDEX,318
3,HISTORY | MIDDLE EASTERN STUDIES,331
3,"MOUIN RABBANI, coeditor of Jadaliyya and former Senior Analyst and Special Advisor on",331
3,"Palestine, International Crisis Group",331
