1,B. Theories of Post-Adoption Harm,22
2,Part II. Standards-Setting and Antitrust Enforcement in the US,31
2,A. The Nature of the FRAND Commitment,31
2,Part III. Standards-Setting and Antitrust Enforcement in the US,32
2,B. Injunctive Relief Post-eBay,33
2,Part IV. Standards-Setting and EU Competition Law,41
2,A. Case-Law in Member States — The Orange Book Standard,41
2,B. Enforcement Action by the Commission,44
2,C. Huawei V. ZTE,46
2,Part V. Patent Assertion Entities and Privateers: Moving Beyond the FRAND Commitment,49
3,ii. Implications of PAE Activities for Social Welfare and Efficiency,53
2,B. PAEs and Privateers in the Context of Cooperative Standards-Setting,55
2,C. PAEs and Opportunistic Assertion of SEPs: A Competition Law Problem?,58
3,ii. An Effects-Based Approach to Opportunism with SEPs: Anticompetitive Foreclosure and Article 102 TFEU,65
3,ili. Privateering Arrangements and Article 101 TFEU,68
2,Part VI. Conclusion,71
1,Bibliography,73
2,Books,73
2,Articles,73
2,Articles,75
2,"Hovenkamp Herbert, \u201cAntitrust and the Patent System: A Reexamination\u201d. Available at http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2486633 (2014)",75
2,Cases,77
