1,"BANK REGULATION, RISK MANAGEMENT, AND COMPLIANCE",2
2,"THEORY, PRACTICE, AND KEY PROBLEM AREAS",4
1,CONTENTS,8
2,Conclusion,11
3,COMPLIANCE IN MICRO-PRUDENTIAL OVERSIGHT Introductory overview General overview of Pillar II bank supervision,11
3,IN MACRO-PRUDENTIAL REGULATION OF SYSTEMIC RISK,12
2,CHAPTER9 THE ROLE OF RISK MANAGEMENT AND COMPLIANCE IN CONSUMER PROTECTION REGULATION,13
3,Conclusion,14
3,Originate-and-distribute model: MBS securitization Growth in commercial banking assets over time Pyramid of regulatory expectations,16
3,Principal-agent relationship,16
1,LIST OF TABLES,18
2,INTERNATIONAL,26
3,"Guidance and Standards Bank for International Settlements, ‘Countercyclical capital buffer (CCyB)’",26
3,"‘Principles of Corporate Governance’ (2004)... cececessetecseceeceeeeeeeeseeseeseeseeeees 2, 68",27
3,"Bank of England, ‘The Bank of England’s approach to resolution’ (October 2017).....218 EUROPEAN UNION Statutory",27
3,"European Commission, Bank recovery and resolution - Directive 2014/59/EU (2014) eee eceescsectessesnecseecsesssesesesescsesesssesssecsesceessesesesesssesssesesesecseasasessesesesesenents 218",27
1,NOTE ABOUT THE AUTHOR,34
1,ACKNOWLEDGMENTS,36
1,Introduction,40
2,A transformation of governing assumptions,40
2,Themes in bank regulation and banks’ internal governance,41
3,1 Cooptation of corporate governance,41
3,2 Tensions between banks’ business models and regulatory mandates,42
2,UNITED STATES,28
3,"Glass-Steagall Act of 1933, Pub. L. 73–66, 48 Stat. 162 (1933)",28
3,"Truth in Lending Act, 15 USC § 1601 et seq",29
1,3 Flexibility and broad variety of means in conveying regulatory expectations,43
2,Contribution to the literature and intended readership,45
2,Book overview,46
1,Part IT,48
1,CHAPTER 1,54
2,The banking business model and rise of the financial conglomerate,54
1,FOUNDATIONS,55
3,Table 1.1 Adverse selection and moral hazard risks faced by banks and bank regulators,63
3,Adverse selection,63
3,Measures against adverse selection,63
1,The bank regulatory framework and formation and conveyance of regulatory expectations,76
2,BANK REGULATORY FRAMEWORK AND EXPECTATIONS,78
3,Definition,63
3,Origination parties,69
3,Figure 1.2 Growth in commercial banking assets over time,74
3,Table 2.1 The four supervisory structures of financial regulation: efficiency/effectiveness,82
3,1 CLARITY IN SUPERVISORS’ OWN REGULATORY OBJECTIVES,86
3,2 EFFECTIVENESS IN OVERSEEING FINANCIAL CONGLOMERATES,86
3,3 SUPERVISORY RESOURCES,86
3,4 INDEPENDENCE AND ACCOUNTABILITY,87
1,5 ENFORCEMENT POWERS AND THEIR USE,87
2,Parliament adopted the twin-peaks model in the Financial Services Act of,93
3,Macro-prudential,101
2,A CORPORATE GOVERNANCE FRAMEWORK,108
3,Agency Control,111
3,the FRB’s effort to hold business lines accountable for risk management.,121
3,(3) Monitoring and testing compliance by employees with the P&Ps; and,123
3,ensuring directors were not in violation of their fiduciary duties. In In re Caremark,127
3,"143 BCBS, Corporate governance principles 17",137
2,The role of risk management and compliance in micro-prudential capital regulation,150
2,BANK REGULATION AND INTERNAL GOVERNANCE,151
3,Table 4.1 Regulatory capital ratios of JPMorgan Chase & Co. and Apple Inc.*,152
2,Figure 4.1 Evolution of bank capital ratio in the US,154
3,Table 4.2 RWA sample calculation,160
3,CRC of sovereign Risk weight (in %),164
3,67 12 CFR § 217.41(a)(1)-(4). Separate conditions apply to synthetic securitizations. 12 CFR §,166
2,Banks are required to use the advanced measurement approach’ using the,170
2,The role of risk management and compliance in micro-prudential oversight,180
3,"For all of these reasons, banks require ongoing and intensive supervisory oversight.’",181
