1,European Constitutional Law Network-Series Vol. 10,1
1,Brexit and the Future of EU Politics,3
1,Introduction,5
1,Inhalt,13
1,Abstract,17
2,Tom Exjsbouts,18
2,Sovereignty In The European Way,19
2,Brexit: a miscarriage of democracy,19
2,Sovereignty in general and in the context of EU,19
2,Sovereignty as a notion: more than legal,23
2,"Creation of the Euro-summit and its permanent chair, Brussels, 25 March 2010",24
2,Conclusion: suggestions for reading sovereignty and the EU constitution,25
3,Ana Maria Guerra Martins,29
2,Brexit From The Perspective Of Eu Sovereignty,31
3,2.2 The EU’s challenges to the idea of sovereignty,32
3,2.3 The EU Sovereignty Idea May Cause More Damages than Gains,34
3,2.4 Other difficulties Raised by the Extension of the Concept of Sovereignty,35
3,3 Denial of EU Sovereignty 3.1 The evolution of EMU Governance denies the EU Sovereignty,37
3,3.2 The reversibility of the UK decision of leaving the EU,38
3,4 The Role of Sovereignty within the Negotiations of Brexit,41
3,5 May EU Sovereignty emerge after Brexit?,42
2,I. Introduction,45
3,II. Two Visions of Europe (I): An “Ever Closer Union”,47
4,A. A Union of Peoples,47
4,B. A Community of Destiny,49
4,C. A Unitary Institutional Framework,51
4,D. Flexibility Within Unity,55
4,E. The Difficulties of this Vision of Europe,56
4,B. A ‘Community of Interests’,59
4,C. The Shift from Principles to ‘Values’,61
4,D. From Transitional to Permanent Differences,63
4,E. The Difficulties of this Vision of Europe,64
3,IV. The Institutional Mechanisms of Differentiated Integration within the EU A. Clarity and Coherence,66
4,"C. Enhanced Cooperation: Nature, Rationale and Impact",71
4,D. ‘Internal’ International Agreements: the Fiscal Compact,74
4,E. Two-speed Europe: Concept and Issues,77
4,"F, A Synthesis",80
2,V. Legal Mechanisms of Integration Beyond the EU,81
3,A. A Single Market Beyond the Union: the European Economic Area,81
3,B. Schengen’s Mixed Membership,82
3,C. A Europe of Concentric Circles: a ‘Misleading Simple Idea’,85
3,E. Implications for the post-Brexit Scenario,87
2,VI. Conclusion,89
1,I. Introduction,91
2,II. The position of the EU charter in United Kingdom,94
2,IV. Recent developments,97
2,V. Conclusions,98
1,Abstract,101
1,I. The Brexit Process as an Exercise of Democracy,104
2,A. The Cameron Strategy was democratic,105
2,B. Advisory Referendum and Democracy,106
2,C. The Terms of Article 50 TEU as an Expression of Democracy,107
2,D. Stimulating democratic Processes in the EU,109
1,II. The Brexit Process as a Challenge to Democracy,110
2,A. Union Citizens who have made use of their fundamental Freedoms,110
3,1. Decisions with no Voice for those affected,111
3,2. The Principle of loyal Cooperation as a negotiation Guideline,112
3,3. Exclusion of Nationals in other Member States from the Vote,113
3,4. The European Parliament and the Union Citizens’ Rights,114
3,5. Protection of acquired Rights by the Countries of Residence?,115
2,B. Lies and Democracy,115
3,1. Parliamentary Democracy and Systemic Lying: Trust and Distrust,117
3,2. Direct Democracy: the Risks of irreversible Decisions,118
2,C. ‘Advisory’ Referendum?,119
2,D. Courts and Democracy,122
1,III. Lessons learned: Democracy in the EU,123
2,B. Dynamics of Democracy: What if Brexit loses Support?,124
2,C. Growing Awareness of the Externalities of national Politics,127
2,D. People and Citizens of Member States acting as Citizens of the EU,129
1,Conclusion,129
1,I. Internal Market and the UK,133
2,II. Economic Impacts of Brexit,134
2,III. Legal Framework for UK’S ‘Access to the EU Single Market’,139
2,IV. Financial Contribution,142
1,Conclusive Remarks,143
1,I. Introduction: the current debate on non-national EU citizens soctal rights in a host State,145
2,III. The evolution of the case-law: the UK child benefit or child tax credit case,160
2,V. Critical Analysis,172
1,Immigration after Brexit: Ironies and Challenges,185
2,I. Introduction,185
2,II. Immigration of Third Country Nationals: Reversed Dynamics,186
3,A. Status Quo: Extended Opt-out,186
3,B. Brexit: Loss of the Opt-in Option,187
3,C. The Future: Reversed Dynamics,189
2,III. British-Irish Border: The Search For Pragmatic Solutions,190
3,A. Immigration and Border Controls,191
3,B. Customs Controls and the so-called “Backstop”,192
2,IV. EU Citizenship and Free Movement Of Persons,193
2,A. Securing Citizens’ Rights,193
2,B. Intra-European Mobility and Immigration After Brexit,196
2,V. Conclusion,197
1,I. Introduction,201
2,IV. The economic and social consequences for the UK,214
2,V. The impact on the continental financial markets*,216
2,VI. Some short conclusive remarks,225
3,Introductory Remarks,227
1,I. On the Dynamics of EMU-partictipation and EMU-reform,228
2,II. On the Importance of Commercial Presence on 31 October 2019,230
3,III. On the Systemic Importance of Clearing Houses,233
2,Common Foreign and Security Policy After Brexit,235
2,II. Initiatives addressing CFSP and CSDP after Brexit: the EU and the UK perspectives,247
3,A. The EU Perspective,247
2,A. The Agreement on the Withdrawal and the Common Foreign and Security Policy,264
3,75 Art 127 (7) (a) of the Withdrawal Agreement,265
2,"B. The Political Declaration and Foreign Policy, security and defence",266
2,"IV. Shaping a (possible) differentiated third state status in the field of CFSP, including CSDP",269
3,A. Common grounds as a basis of the future EU-UK relationship,269
3,B. Possible issues and forms of cooperation to be addressed,272
