1,Beitrage zum auslandischen und internationalen Privatrecht 110,2
1,Max-Planck-Institut fiir auslandisches und internationales Privatrecht,2
1,Edited by,4
1,Preface,6
1,Contents,10
2,UAW,15
1,Orjan Edstr\u00e9m,20
2,I. Introduction,20
1,Beitrage zum auslandischen und internationalen Privatrecht 110,2
1,Max-Planck-Institut fiir auslandisches und internationales Privatrecht,2
1,Edited by,4
1,Preface,6
1,Contents,10
2,UAW,15
1,Orjan Edstr\\u00e9m,20
2,I. Introduction,20
3,1. The collective dimension,21
2,Collective Labour Law in the Nordic Countries 5,22
3,2. EU law and some other international legal instruments,22
2,II. Basic features in the development of Nordic labour law,23
3,I. The liberal era \u2014 the beginning of a new order,23
3,"2. Self-regulation, basic agreements and arrangements",24
3,3. Legislation confirming self-regulation,25
3,4. Collective labour law today,26
3,5. Labour market organizations and trends,28
2,III. The trade union representative,30
2,IV. Industrial action,31
2,V. Codetermination \u2014 information and consultation,32
2,VI. The individual contract and labour law,34
3,1. Employment protection,35
3,2. Discrimination law,36
2,VII. Challenges and impact from EU law,38
2,VIII. Collective regulation of working life together with state intervention?,41
3,I. Self-regulation within the framework of law,41
3,2. Self-regulation and the development of a reflexive law,41
3,3. Regulations on the individual employment contract,43
3,4. International influences and enforced individual rights,43
2,IX. Final conclusions,44
1,Collective Bargaining in Germany and its Interaction with State Legislation and Individual Employment Contracts,46
3,I. Legal sources regulating the terms of employment and the two mechanisms of collective bargaining,48
3,a) Tarifvertrag,48
3,b) Betriebsvereinbarung,50
3,2. Hierarchy of legal sources,51
2,III. Current trends and developments,53
3,1. Flexibilisation,53
4,a) Advantages of flexibilisation: the case of working time regulation,54
4,b) Risks of flexibilisation: the case of temporary agency work,55
3,2. Decentralisation,57
4,a) Main aspects of decentralisation,57
4,b) Impact on system of collective bargaining,59
4,c) Legislative responses,60
4,d) Decentralisation of collective bargaining within companies,61
3,3. Europeanisation,63
2,IV. Summary,64
1,Collective Bargaining in the UK and its Interaction with State Legislation and Individual Employment Contracts,66
2,II. Overview of collective bargaining in the UK,68
2,Il. Sources of UK labour law,70
3,I. The contract of employment,70
3,2. Employment legislation,72
4,(2) A sex equality clause is a provision that has the following effect—,73
4,"(a) to exclude or limit the operation of any provision of this Act, or",73
3,Contract of employment,74
3,3. Collective agreements,74
2,IV. The voluntary role of collective agreements in UK labour law,77
3,I. Voluntary incorporation of collective agreements into the contract of employment: the contractual model,77
2,2. Limited role of statutory recognition procedure,80
2,3. Modification of EU imposed standards,81
1,V. Conclusions,84
1,The Collective Contract System in China,86
2,I. Introduction,86
2,II. The significance of the collective contract system in China,87
2,III. Main content of the collective contract system in China,91
3,I. Types of collective contracts,91
3,2. Main provisions in a collective contract,91
3,3. Parties to a collective contract,92
3,4. Concluding a collective contract,92
3,5. Effects of a collective contract,92
3,6. Dispute resolution under a collective contract,93
2,IV. Improving the collective contract system in China,93
