1,Volume 2,4
2,How to Use This Book,8
2,Index of Authors,10
3,Criminal Law,11
3,Criminal Procedure,11
1,Volume 2,4
2,How to Use This Book,8
2,Index of Authors,10
3,Criminal Law,11
3,Criminal Procedure,11
2,Table of Contents,12
3,Private Law,12
2,Table of Contents (Detailed),14
3,1. Official Compilation (BGE),14
3,2. Publication Online,14
3,3. Public Pronouncement,14
2,Table of Contents,15
3,Swiss Legal System,26
4,2 Marc Thommen: Swiss Legal System,27
4,I. Facts and Figures,28
4,Figure 1: Language Regions,28
4,Figure 8: The 26 Cantons of Switzerland?,43
5,V. Communes,46
5,VI. Direct Democracy,47
5,VII. Legislative Process,52
5,VIII. Publication of Federal Laws,56
4,I. Constitutional law,59
4,II. Administrative and public international law,59
4,"III. Civil law, bankruptcy law",59
4,"IV. Criminal law, enforcement of sanctions, and criminal procedure V. Social security law?",59
5,Andreas Thier Legal History,66
6,I. Plurality and the Traditions of Swiss Legal Culture,68
6,"Il. The Old Confederacy (13'\""/14'\"" Century \u2014 1798)",70
6,III. The Rise of Modern Swiss Statehood since 1798,75
7,a) Focusing on Individual Rights: The \u201cBiirgerliche Rechtsstaat\u201d,77
7,b) The (Slow) Rise of the Interventionist State,80
7,c) Towards the Prevention State,81
5,Selected Bibliography,85
5,Elisabetta Fiocchi Malaspina History of International Law,86
6,I. Introduction,88
6,II. Theories of Natural Law and Law of Nations,89
6,III. The Era of International Humanitarian Law,94
7,a) Gustave Moynier (1826 -1910),99
7,b) Johann Caspar Bluntschli (1808-1881),101
6,IV. Conclusion,104
7,"DIETRICH SCHINDLER/JIRi TOMAN, The Laws of Armed Conflicts, Dordrecht 1988",105
7,"BENEDICT VON TSCHARNER, Inter Gentes: Statesmen, Diplomats, Political Thinkers, Geneva 2012",105
6,Matthias Mahlmann,106
6,Legal Philosophy and Legal Theory,106
7,I. The Problems of the Philosophy of Law and Legal Theory,108
7,II. A Map of Philosophy of Law and Legal Theory,110
7,II. The Point of Philosophy of Law and Legal Theory,122
7,IV. Theory of Justice,123
1,V. A Concept of Justice,125
1,VI. The Birth of the Human Rights Idea,126
1,VII. Contemporary Human Rights Theory,128
2,I. What is Legal Sociology?,134
2,I. What is Legal Sociology?,136
2,"II. Law, Society and Direct Democracy",140
3,a) Media Consumption and the Internet,150
3,b) Personalisation Technologies,152
2,III. Summary,156
1,The Swiss Constitution in force today was introduced as recently as the year,162
2,II. Principles,176
3,a) Popular Initiative,176
3,b) Referendum,178
3,c) “Landsgemeinde” as Cantonal Particularity,179
2,III. Landmark Cases,184
2,I. Treaties,190
3,a) Citizenship,165
3,b) Foreign Nationals,167
3,a) General Framework,194
3,b) Bilateral Agreements,194
3,c) Autonomous Adaptation of Swiss Law to EU Law,197
2,II. Constitution,198
3,a) Federation and Cantons,199
3,"b) Federal Council, Federal Assembly, Federal Courts",200
3,c) Direct Democracy,201
2,III. Landmark Cases,206
1,Administrative Law,212
2,I. Codes,214
2,II. Principles of Administrative Action,215
3,a) Legal Basis for Administrative Action,215
3,b) Legality of the Law,216
3,c) Delegated Legislation,217
3,d) Judicial Review,218
2,Administrative Rulemaking,213
3,a) Basis,219
3,b) Legitimacy of Expectations,221
3,c) Private Arrangements,221
3,d) Causality,222
3,e) Balancing Test,222
3,f) Special Doctrines: Administrative Practice and Retroactivity,223
2,III. Forms of Administrative Action,227
3,a) Omnipresence of Administrative Decisions,227
3,b) Definition of Administrative Decisions,228
3,c) Administrative Decisions Determining Rights and Obligations,229
3,d) Administrative Decisions as Individual Acts,230
2,e) Administrative Decisions as Unilateral Acts,231
2,f) Administrative Decisions as Acts Under Public Law,232
3,g) Form,233
2,IV. Landmark Cases,237
3,II. Procedural Rights and Principles,250
2,III. Institutional Framework,257
3,' Federal Administrative Court,259
3,Lower Admin. Authority |  mnm----= > Federal Administrative Court |,259
3,DECISION: [WB #8,263
1,Tax Law,270
2,I. Fiscal Sovereignty and Constitutional Principles,272
3,a) Distribution of Fiscal Sovereignty,272
3,Federal direct tax (Article 128 Constitution),272
3,Value added tax (Article 130 Constitution),272
3,Taxes on gambling houses (Article 106 III Constitution),273
3,b) Federal Tax Harmonisation Act,273
3,a) Principle of Legality,274
3,b) Principle of Universality,274
3,c) Principle of Uniformity and Ability-To-Pay Principle,275
3,d) Prohibition of Inter-Cantonal Double Taxation,275
3,e) Principle of Good Faith,276
2,II. Most Important Taxes and Tax Codes,278
3,aa) Introduction,278
3,bb) Federal Individual Income Tax,279
3,dd) Source Tax Levied on Income of Certain Individuals and,282
3,Legal Entities,282
3,b) Withholding (Anticipatory) Tax,282
3,c) Federal Value Added Tax,283
3,d) Other Taxes,284
3,aa) Individual Income Tax,285
3,bb) Net Wealth Tax for Individuals,286
3,bb) Capital Tax,287
3,aa) Inheritance and Gift Taxes,287
3,cc) Other Property and Expenditure Taxes,288
2,a) Multilateral Conventions,288
2,b) Double Taxation Treaties,289
2,c) Bilateral Agreements with the European Union,289
1,II. Principles,308
2,usufruct; and,317
3,"Firstly, the court held that the malicious act or omission pursuant to Article",323
3,Division Three: Commercial Enterprises and the Cooperative (Articles,332
3,"Division Four: The Commercial Register, Business Names, and Commercial Accounting (Articles 927-964)",332
3,Division Five: Negotiable Securities (Articles 965-1186),332
2,Law of Obligations,330
1,I. Contract and Tort Law,334
3,Extinction of Obligations (Articles 114-142),334
3,Assignment of Claims and Assumption of Debt (Articles 164-183),334
3,Gift (Articles 239-252),335
3,Lease (Articles 253-2748) and usufructuary lease (Articles 275-304),335
3,Loan for use (Articles 305-311) and fixed-term loan (Articles 312-318),335
2,b) Interpretation of a Contract,339
2,c) Defects in the Conclusion of a Contract,340
2,d) Defects in Consent,340
2,e) Unfair Advantage,341
2,f) Claims According to the General Provisions of the Code of Obligations,342
2,g) Quasi-Contractual Claims,344
2,h) Time Limits,345
2,i) Types of Contractual Relationship,346
2,j) Innominate Contracts,347
3,a) Swissair-Case*,348
3,Liability after inspired confidence based on trust,348
3,b) Market Value Estimate-Case**,348
3,Delineation between a contract for work and services and a simple agency contract,348
3,c) Revocability of Simple Agency Contracts-Case,349
3,Revocability at any time of simple agency contract is compulsory,349
1,II. Company Law,350
1,II. Company Law,350
2,a) Company Forms,350
3,b) Sole Proprietorship,351
3,Liability of dominating shareholder for company limited by shares,355
3,b) Breakthrough-Case II°,355
3,Liability of company limited by shares for dominating shareholder,355
1,III. Institutions and Procedure,382
2,Principle of Party Representation,381
3,Option 3,384
1,Criminal Law,394
2,I. Criminal Code,396
3,Swiss Criminal Code,400
3,General Part Specific Part Introduction of Code Articles 1-110 Articles 111-332 Articles 333-392,400
3,Criminal Liability Sanctions Articles 1-33 Articles 34-73,400
3,Figure 2: Structure of the Swiss Criminal Code,400
1,Criminal Liability,412
2,Elements of Crime Objective Elements Subjective Elements - Offender - Direct Intent - Object of the Crime - Conditional Intent,412
2,Unlawfulness Justification - Self-Defence - Necessity - Consent,412
2,Culpability - Criminal Responsibility Subjective - Error of Law Blame - Unreasonableness,412
1,Criminal Procedure,420
2,I. Criminal Procedure Code,422
2,Figure 1: Criminal Procedure Laws,427
2,No Customary Law  Nulla Poena Praevia No Retro-Activity,411
2,Certainty No Analogous Interpretation Figure 4: Principle of Legality,411
2,Interpretation Figure 4: Principle of Legality,411
2,Aggrieved Persons (Article 115),429
2,Figure 2: Categories of Harmed Persons,429
3,f Preliminary Proceedings Penna roceacings,430
2,Generally inadmissible A (Article 141 II) unless serious crime,432
2,II. Principles,435
3,III. Institutions and Procedure,439
2,is vested in the “compulsory measures courts”.5*,448
