1,Populist Challenges to Constitutional Interpretation in Europe and Beyond,2
2,Comparative Constitutional Change,3
3,6.3 Review of the constitutionality of legislation 102,7
3,6.4 Activism of the Constitutional Court in relation to the general judiciary (constitutional complaints) 105,7
2,"Popular initiatives, populism and the Croatian constitutional court 109 DJORDJE GARDASEVIC",8
2,Constitutional identity as a populist notion?,8
3,constitutional identity through the crisis 126 APOSTOLOS VLACHOGIANNIS,8
2,Constitutional interpretation under the new Fundamental Law of Hungary 143 FRUZSINA GARDOS-OROSZ,8
3,Constitutional interpretation: What can Europeans learn from US debates? 274 MARTIN LOUGHLIN,10
2,PART IV Summary 311,11
2,Introduction and Acknowledgements,14
3,Populism and populist constitutionalism 5,22
2,Zoltan Szente,20
2,Fruzsina Gardos-Orosz and Zoltan Szente,46
3,or ‘Instrument of Courts’?,60
2,Anna Gamper,60
1,An ‘Instrument of Government’ or Instrument of Courts’? 45,62
1,Mark Tushnet,79
2,Can there be autochthonous methods of constitutional interpretation? 63,80
1,Konrad Lachmayer,92
2,Formalism and judicial self-restraint 77,94
1,(1) Courts could behave in an activist way to stop further anti-constitutional developments;*,104
2,From judicial activism to judicial self-restraint,112
1,Zaenék Kiihn,112
1,Dyordje Gardasevic,126
1,"Popular initiatives, populism and the Croatian Constitutional Court 111",128
2,transforms discontent into action’.!*,129
1,Apostolos Vilachogiannis,143
2,The first two judgments on nationality invalidated sections of law,149
2,"ric’,*® all the while staying faithful to a romantic approach to the Nation",149
2,"Immediately after this, it pointed to the fact that the Greek State",150
2,notion of constitutional identity turns into a populist notion and shows its inherently explosive content.**,157
1,Fruzsina Gardos-Orosz,160
1,Gianmario Demuro and Riccardo Montaldo*,177
1,Wojciech Brzozowskt,191
1,Alexandra Mercescu,211
2,12.1 Introduction,211
1,Francisco Balaguer Callejon,234
2,13.1 Introduction,234
2,The jurisprudential lines of the Constitutional Court were maintained in,242
1,John McEldowney,250
2,14.1 Introduction,250
1,"The Trump administration, the courts and the Constitution of the United States",270
1,Mark A. Graber,270
2,15.1 Introduction,270
1,Martin Loughlin,291
2,16.1 Introduction,291
1,Pablo Riberi,308
2,17.1 Foreword,308
2,system of rules’.?,319
2,"17.4.2 Textualism, constructivism, hermeneutics revisited",319
2,the Venezuelan Supreme Court decided to temporarily take on the legislative powers of Congress.*8,327
2,17.6 Epilogue,327
1,Fruzsina Gardos-Orosz and Zoltan Szente,330
2,18.1 Introduction,330
2,Populist challenges to constitutional interpretation 315,332
1,Index,343
