1,Formation II Decisive Constitutional Normativity,1
2,From Old Liberties to New Precedence,4
3,Contents,10
4,"Appendix A: Emmanuel Joseph Sieyés, Du Jury Constitutionnaire (an TD......................00.2.. 363",11
5,"Appendix B: Emmanuel Joseph Sieyés, Du Jury Constitutionnaire (an TID)........................... 367",11
6,"Appendix C: Projet de Constitution pour le Royaume  de Pologne, 1812............ 0.0.00... c eee eee 371",11
7,Ulrike MiiBig,12
8,ERC Advanced Grantee (ReConFort),12
9,"U. MiiBig (RX) University of Passau, Passau, Germany e-mail: Ulrike.Muessig @uni-passau.de",12
1,Reconsidering Constitutional Formation II Decisive Constitutional Normativity,12
2,U. Miibig,13
3,Novus Ordo Seclorum,15
4,Definitions of Normativity and Precedence,16
5,The British-American Discursive Common Law Community,22
6,Customary Old Liberties Against Parliamentary Absoluteness,23
7,American Sympathies for the Supremacy of Common Law,25
8,Liberty Defending Common Law Versus Discretion Granting Executive from an American Perspective,30
9,No Westminster Legislation on the Internal Colonial Polities,32
10,Systematic Distinction of 'Internal' and 'External' Spheres of Colonial Government,33
1,Reconsidering Constitutional Formation II Decisive Constitutional Normativity,12
2,U. Miibig,13
3,Novus Ordo Seclorum,15
4,Definitions of Normativity and Precedence,16
5,The British-American Discursive Common Law Community,22
6,Customary Old Liberties Against Parliamentary Absoluteness,23
7,American Sympathies for the Supremacy of Common Law,25
8,Liberty Defending Common Law Versus Discretion Granting Executive from an American Perspective,30
9,No Westminster Legislation on the Internal Colonial Polities,32
10,Systematic Distinction of 'Internal' and 'External' Spheres of Colonial Government,33
10,3.3.1 Systematic Distinction of ‘Internal’ and ‘External’ Spheres of Colonial Government,33
10,3.3.2 Specific Matters of the Colonies’ Own Nature Versus General Matters of the Empire,35
9,3.4 Self-reliance of the British Imperial ‘Constitution’,36
8,3.5 Legal Force of Custom in the Unsettled Connexion of the Colonies to Britain,41
7,4 Establishing Constitution as Law,44
8,4.1 Emergence of the Constituent American People,44
9,4.1.1 Natural Law ‘Basis and Foundation of Government’,44
9,4.1.2 Independence from Being Subjects of the ‘Same’ King,46
8,4.2 Constitution as Supreme Legal Codex for Central State Issues,51
1,4.2.3 Constitutional Silence on Precedence,53
2,4.3 Farewell to the Lockean \u2018Inter legislatorem et populum nullus in terris est judex\u2019,56
1,5 Summary of Sections 3 and 4,60
1,6 Legal Transition of Philosophical Truths,61
2,6.1.1 Constitutional Debates of 2 and 18 Thermidor III (20 July and 5 August 1795),67
3,\u2018Jury de Cassation\u2019,69
3,\u2018Jury de Proposition\u2019,70
3,\u2018Jury of Natural Equity\u2019,73
3,\u2018Jury de Proposition\u2019,75
2,\u2018Jury of Natural Equity\u2019,76
3,"After rejecting the idea of the appeal to the people (l\u2019appel au peuple),\u00b0\""*",78
2,6.2 Defeat of Siey\u00e9s\u2019 Jury Proposal and Its Consequences on the French Constitutional Jurisdiction,79
1,"7 Avenues of New Constitutional Research: Sketching Germany, 1848-9",82
2,7.1 Juridification Matters in the Public Sphere Around the Constituent St. Paul\u2019s Church Assembly,84
3,7.2 Supremacy Matters in the Public Sphere Around the Constituent St. Paul\u2019s Church Assembly,87
3,7.3 Revision Matters in the Public Sphere Around the Constituent St. Paul\u2019s Church Assembly,92
1,8 Conclusion,96
1,"Only do thou, at the boy’s birth in whom",97
1,"The iron shall cease, the golden age arise.*°!",97
1,References,98
1,Gerald Stourzh,109
1,and the “Constitutionalisation” of Individual Rights,109
1,"G. Stourzh (DX) University of Vienna, Vienna, Austria e-mail: gerald.stourzh @univie.ac.at",109
1,References,121
1,"A. Tarnowska (DX) Nicolaus Copernicus University Torun, Torun, Poland e-mail: atarnowska@tlen.pl; atarn@law.umk.pl",123
1,1 Introduction,124
2,2 A Note on Terminology,129
3,3 Characteristic of the Sources,132
4,4 French Inspirations of Polish Republicans: Drafts of Mably and Rousseau,134
5,5.1 First Constitutional Works,141
5,5.2. Enactment of the Government Statute,144
5,5.3 An Oath on the Constitution,147
1,6 The Problem of the Supreme Law in the Time of the 3 May Debate,152
1,6.1 Henrician Articles and Pacta Conventa,152
2,6.2 Cardinal Laws in Polish Tradition and Legal System,155
1,8 The Procedure of Constitutional Revision,170
1,9 Summary,173
1,10 Summary (Polish),176
1,References,178
1,The Codification of the Polish Substantial Criminal Law in the Sejm Debates 1818,183
2,1 Introduction,184
2,2 The Origins of the 1815 Constitution of the Kingdom of Poland,185
2,3 General Characteristics of the Constitution of 1815,194
2,4 Regulations in the 1815 Constitution Concerning the Criminal Law,201
2,5 The Enactment of the Polish Criminal Code of 1818,203
3,corporal punishments with “the nature of the constitutional government”.'®?,210
2,7 Conclusions,215
1,8 Summary (Polish),216
3,"Askenazy S (1907) Rosja—Polska 1815-1830. Lwow, Warszawa",217
3,4 Epilogue: Constitutional Discourse After 1831... eee ceeeceecseeseeseeeceesseeseeseeeeeeeeeseeeee 248,220
1,References 0... ce eeecceesscseeseeseescescsecseeseeseeseeeesecsecseesecseeaeacaeeseeaseseaesessessesasesssasaesaesaeeaeeaeaseeeaees 252,220
3,"B. Deseure (DX) Vrije Universiteit Brussel (VUB), Brussels, Belgium e-mail: brecht.deseure @ vub.ac.be",220
2,212 B. Deseure,221
2,1 Introduction,221
3,Constitutional Precedence in Belgium 213,222
1,2 From Fundamental Law to Belgian Constitution,223
2,2.1 The Fundamental Law and the Question of Royal Sovereignty,223
2,2.2. ‘Constitutionals’ Versus ‘Ministerials’: Belgian Constitutional Opposition,229
2,2.3. Towards a New Legal Order,239
2,2.4 Constituent Power,245
2,2.5 The Question of Constitutionality,247
1,3 Precedence in the Belgian Constitution,251
2,Art. 130: The Constitution cannot be wholly or partially suspended.'°',252
1,2 From Fundamental Law to Belgian Constitution,223
2,2.1 The Fundamental Law and the Question of Royal Sovereignty,223
2,2.2. ‘Constitutionals’ Versus ‘Ministerials’: Belgian Constitutional Opposition,229
2,2.3. Towards a New Legal Order,239
2,2.4 Constituent Power,245
2,2.5 The Question of Constitutionality,247
1,3 Precedence in the Belgian Constitution,251
2,Art. 130: The Constitution cannot be wholly or partially suspended.'°',252
