1,"Law, Meaning, and Violence",4
2,Introduction Carissa Byrne Hessick,9
3,B. Child Pornography Definitions at Work,10
2,Introduction,11
3,NOTES,24
3,t | The Context and Content of New York v. Ferber,29
3,Doctrinal Context,29
1,The Child Pornography Problem,34
2,The Ferber Decision,35
2,Osborne v. Ohio and Possession of Child Pornography,43
2,The Limits of the Child Pornography Exception,46
3,Definitional Limits,47
3,"Justificatory Limits: Harm in the Production, “Virtual” Child Pornography, and Ashcroft v. Free Speech Coalition",49
3,Justificatory Limits: The Uncertain Status of the “Harm-in-the-Circulation” Rationale,53
2,Conclusion,55
3,NOTES,56
1,2 | Setting Definitional Limits for the Child Pornography Exception,67
2,Setting Definitional Limits for the Child Pornography Exception | 59,69
2,"Child Pornography’s Harm to Children, As Viewed by the Supreme Court",69
3,Osborne v. Ohio,70
3,Ashcroft v. Free Speech Coalition,71
3,Paroline v. United States,72
2,Proposing a New Definition of Child Pornography,73
3,My Proposed Definition,74
3,Comparing the Harm of Creation to the Harm of Circulation,76
2,The Practical Effect of a Limited Definition,80
3,NOTES,83
1,Part 1 (B) | Defining Child Pornography Crimes,89
2,3 | The “Dost Test” in Child Pornography Law “Trial by Rorschach Test”!,91
2,III. The Damage Done by Dost,103
3,A. First Amendment Harms 1. Vagueness and Overbreadth,104
3,2. Dost May Be Unconstitutional Under the First Amendment as Interpreted by Ferber and Ashcroft,104
3,B. Practical Concerns: Dilution of the Category of Child Pornography,105
3,C. The Final Cost of Dost Is Cultural Not Constitutional,106
2,Conclusion,109
3,NOTES,109
2,4 | The Language of Child Sexual Abuse and Exploitation,119
2,I. The Value of Precise Language,120
3,A. Labels Provide Insight,122
2,B. Legal Insight,123
2,II. Labels in Criminal Victimization Discourse,124
3,A. Criminal Victimization Has a Particular Need for Sufficiently Descriptive Language,124
3,B. The Fair Labeling Principle,126
2,III. The Language of Child Abuse and Exploitation,127
3,A. Causes of Mislabeling,129
4,1. Social Silences,129
4,2. Social Forces,133
3,B. Effects of Mislabeling 1. Confusion,134
4,"2, Alarmism or Underreaction",135
4,3. Legal Implications,136
2,IV. Fair Labeling in Child Sexual Abuse and Exploitation,138
3,A. “Child”,139
3,B. “Sexually Abusive Images of Children”,141
3,C. “Child Sex Trafficking”,143
3,D. “Sexting”—“Child-Produced Child Pornography’— “Sexualized Images of Children”,146
2,Conclusion,148
1,Part II (A) | Refining Child Pornography Law,155
2,5 | Questioning the Modern Criminal Justice Focus on Child Pornography Possession,157
3,A. The High Number of Prosecutions and Penalties for Possession,158
3,1. The Market Theory,162
3,2. Possessors Have Molested or Will Molest Children,162
3,3. Possession Is as Bad As or Worse Than Abuse,164
3,C. Unintended Consequences of Targeting Possessors,166
4,1. Ease of Enforcement and Prosecution,166
4,2. The Role of Public Opinion,167
3,D. Conclusion,168
2,6 | The Dignitary Harm of Child Pornography—From Producers to Possessors,175
3,A. Categorizing Pornographers,176
2,B. The Harm of Child Pornography 1. Producers,180
3,1. Producers,180
3,2. Nonproduction Offenders,184
3,3. Harm Inherent in the Images,187
2,Conclusion,189
1,7 | Not Just “Kiddie Porn”,197
2,The Significant Harms from Child Pornography Possession,197
2,I. The Harms Victims of Child Pornography Possession Endure,198
3,A. The Harms Suffered By “Amy”*,201
3,B. The Harms Suffered By “Vicky”*,202
2,II. Allocating the Harms Caused by Child Pornography Crimes,205
3,A. The Problems from Disaggregation,206
3,B. Child Pornography Possessors Contribute to All of a Victim’s Losses,208
2,Conclusion,213
1,Not Just “Kiddie Porn”,215
1,Part II (B) | Refining Child Pornography Law,223
1,8 | Challenges in Investigations and Prosecctions of Child Pornography Crimes,225
3,National Juvenile Online Victimization (N-JOV) Study,226
2,Growth and Complexity of Child Pornography Crimes,227
2,Law Enforcement Response,228
2,Definitions of Child Pornography,229
2,Dual Offenders,230
2,Assets for Law Enforcement Investigations,231
2,Prosecution Response,232
3,Computer Forensics,233
3,Timeliness of the forensic exam (33 percent),234
3,P2P investigations (5 percent),234
3,Credentials of forensic examination or lab (5 percent),234
2,Trial Cases,235
3,Still images that were passed to the jury or described by experts (18 percent),236
2,Deciding to Refer for Federal Investigation for Prosecotion,237
2,Prosecuting Sexting Cases,239
1,Conclusion,240
2,A Critical Evaluation of the Federal Sentencing Guidelines for Child Pornography Offenses,245
3,The Facts of Mr. Smith’s Case,245
3,The Guideline in Theory,248
3,Guideline 2G2.2 in Practice,250
3,Applying Enhancements,254
4,The “Use of a Computer” Enhancement,254
4,The “Number of Images” Enhancement,256
4,Enhancements for Sadistic or Masochistic Conduct and Depiction of a Prepubescent Child,260
4,Intermediate Tally,261
4,Enhancements for Intended Distribution,262
3,g. Adding a Term of Supervised Release,264
3,Can Variances from the Guidelines Correct for Empirical Failures?,264
3,A Final Word on Failures in the System,266
3,A Way Forward,268
2,NOTES,269
1,10 | Political and Empirical Controversies Threaten the Federal Child Pornography Guidelines,271
3,Federal Sentencing Basics,272
3,Challenges to the Child Pornography Guideline,276
3,Institutional Conflicts,282
3,Comparative Perspectives,284
3,Ideological Perspectives,287
3,Conclusions,289
2,NOTES,290
1,Contributors,295
1,Index,301
