1,Revisiting China’s Competition Law and Its Interaction with Intellectual Property Rights,3
2,Abstract Acronyms and Abbreviations,7
3,C. Possible Ways Ahead VI. Conclusions,9
2,Abstract,11
3,Anti-Monopoly Commission,13
2,A. China’s Socio-Economic Progress,15
2,B. Origins of China’s Anti-Monopoly Law,16
3,B. Origins of China’s Anti-Monopoly Law,17
2,C. Origins of China’s Patent Law,19
3,"19 Watchdata System v. Hengbao Company, Ltd. (2015) Jing Zhi Min Chu Zi No.441",21
1,Revisiting China’s Competition Law and Its Interaction with Intellectual Property Rights,3
2,Abstract Acronyms and Abbreviations,7
3,C. Possible Ways Ahead VI. Conclusions,9
2,Abstract,11
3,Anti-Monopoly Commission,13
2,A. China’s Socio-Economic Progress,15
2,B. Origins of China’s Anti-Monopoly Law,16
3,B. Origins of China’s Anti-Monopoly Law,17
2,C. Origins of China’s Patent Law,19
3,"19 Watchdata System v. Hengbao Company, Ltd. (2015) Jing Zhi Min Chu Zi No.441",21
3,2. Possible conflicts between the two systems,22
2,E. Main Themes Covered in This Thesis,24
3,A. Important Milestones,25
3,B. China’s Competition Regime Prior to the AML,26
4,1. The Anti-Unfair Competition Law of 1993,26
4,2. The Price Law of 1997,28
4,Monopoly agreements between business operators (Chapter IT),29
4,Abuse of dominant market position by business operators (Chapter HT),29
4,Abuse of administrative powers for elimination of competition (Chap- ter V),29
3,Main Topics of Each Chapter Article numbers,30
4,Chapter 7 | Liability and penalties for violating the | Articles 46 \u2014 54 AML,30
4,"Chapter 8 | Supplementary provisions Articles 55 \u2014 57 IPR is not per se unlawful monopoly, but abuse of such rights is subject to the",30
3,D. Institutional Design of Competition Agencies under the AML,31
3,Antitrust Division of the Department of Justice (DOJ) and the Federal,32
3,"ily the best option, as evidenced by Japan\u2019s Fair Trade Commission",32
3,Responsibilities of NDRC and SAIC,33
4,2. Judicial enforcement,33
3,E. Future Challenges,34
2,II. EU Competition Policy \u2014 Main Reference for China\u2019s Anti- Monopoly Law,36
3,A. Background Information,36
3,B. Why the US Competition Law Did Not Serve As the Main Model?,37
4,2. Institutional design and enforcement 2.1. Significance of administrative route for both jurisdictions,41
4,2.2. Growing importance of private actions in both jurisdictions,42
3,3. Legal framework and comparison of stipulations,43
3,D. Dynamics of Competition Policy,46
2,IV. China\u2019s 2017 IP Guidelines,47
3,A. China at the Crossroads between Competition Enforcement and Intellectual Property Rights,47
3,B. Characteristics and Main Principles of the IP Guidelines,48
4,3.4 Compulsory license under TRIPs Agreement,55
4,3.5 Inevitable legal uncertainty of the essential facility doctrine,55
4,4. SEP licensing,56
2,V. Competition Policy and IPRs: Well-Functioning Symbiosis \u2014 A Case Study,59
3,A. Brief Introduction to SEP and Related Issues,59
3,B. Judicial Decision on Huawei v. InterDigital,61
4,2. Substantial rulings of the Chinese courts,62
5,2.1 IDC holds a dominant position,62
5,2.2 Abuse of dominant position in licensing SEP technology,63
5,FRAND commitment — requiring Huawei to pay much higher royalties than those paid by Ap-,63
4,3.1 Definition of market dominance by Guangdong High Court,64
4,3.2 Abuse of dominant position,65
4,3.3 Chinese court sets the royalty rate,66
4,3.4 SEP-related controversies,67
2,VI. Conclusions,73
1,List of Works Cited,75
1,"Cases China Huawei v. InterDigital, Guangdong High People’s Court, (2013)Yue Gao Fa Min San",77
