1,Social Statistics and Ethnic Diversity,4
2,1.5 Conclusion,18
2,References,19
1,2.1 Introduction,23
3,"1. How widespread is census enumeration by ethnicity, in global terms?",23
3,"3. What geographic patterns, if any, do ethnic enumeration practices follow?",23
2,18 A. Morning 2.2 Classification by Ethnicity,24
3,1. Enumeration for political control (compter pour dominer),24
3,3. Discourse of national hybridity (compter ou ne pas compter au nom de la mixit\u00e9),24
2,2 Ethnic Classification in Global Perspective: A Cross-National Survey... 19,25
2,2.3 Data and Methodology,25
1,2.4 Findings 2.4.1 Frequency of Ethnic Enumeration,27
2,"Table 2.2 Share of countries studied using ethnic enumeration, by region",28
2,2.4.2 Census Ethnicity Questions 2.4.2.1 Terminology and Geographic Distribution,28
2,Table 2.3. Terminology of census ethnicity questions,29
2,2.4.2.2 The Language of Census Ethnicity Questions: The Subjectivity of Identity,31
2,2.4.3 Answering the Ethnicity Question 2.4.3.1 Response Formats,32
3,"1. Closed-ended responses (e.g., category checkboxes; code lists)",32
2,Table 2.6 Census ethnicity response formats by question type,35
3,2.4.3.2 Response Options,35
2,2.5 Conclusions,37
3,2.5.1 Summary of Findings,37
3,2.5.2 Evaluating Ethnic Enumeration,37
1,Appendix: Countries Included in Regional Groupings,40
1,Tahu Kukutai and Victor Thompson,44
2,3.1 Introduction,44
1,References,65
2,"Bank, P. R. E. D. (2006). The population, resources, environment and development databank: The",65
1,"Morning, A. (2008). Ethnic classification in global perspective: A cross-national survey of the",66
1,Patrick Simon,68
2,4.1 Introduction,68
1,Victor Piché,91
2,5.1 Introduction,91
1,References,88
1,References,99
2,José Luis Petruccelli,103
2,6.1 Introduction,103
1,Jos\u00e9 Luis Petruccelli,103
2,6.1 Introduction,103
1,References,111
1,Debra Thompson,112
2,7.1 Introduction,112
1,Appendices,135
2,Appendix 7.1: 1991 Census,135
2,Appendix 7.2: 2001 Census,136
1,"Morning, A. (2008). Ethnic classification in global perspective: A cross-national survey of the",138
2,"Shyamala Nagaraj, Tey Nai-Peng, Ng Chiu-Wan, Lee Kiong-Hock, and Jean Pala",142
3,8.1 Introduction,142
3,Non-Malaysian citizens,144
3,"Table 8.3 Ethnic classifications, selected censuses and regions",146
3,Pakistani,146
3,Other European,146
3,Others (not European or Asian),146
3,"Table 8.4 Proportion of population by nationality, Straits Settlements, 1881 and 1891",147
3,"Table 8.5 Ethnic classification, 2000 census, Malaysia",153
3,Percentage of total,154
3,classifications for employment,156
3,Sarawak: ‘If both of the parent are indigenous native of Sarawak as stated in Article,157
3,"Table 8.8 Ethnic classifications for utilisation of public health care services, 2005",158
3,Article 160,169
3,Article 161,169
3,(6) In this Article ‘native’ means-,169
3,Appendix 8.3: Areas in Which Special Privileges May be Provided,170
3,Article 153 of the Constitution,170
3,References,170
3,"Morning, A. (2008). Ethnic classification in global perspective: A cross-national survey of the",171
2,Wanda Cabella and Rafael Porzecanski,173
3,classification in Uruguay belong to? % %o*,177
3,Table 9.2 Ethnic — racial identification of Uruguayan Mestizos (1996-1997),177
3,"Table 9.3, Main descent Descent %",178
3,Table 9.4 Racial classification in Uruguay (2006),178
3,Table 9.6 Racial 1996 2006 identification in Uruguay in,180
3,Table 9.7 Percentage of Uruguayan Non-whites in 1996-1997 and 2006,181
3,Table 9.8 Basic socioeconomic indicators of the Uruguayan population by race (1996 and 2006),185
3,Instituto Nacional de Estadistica (INE). (1998). Encuesta Continua de Hogares. Módulo de Raza,186
2,The Objective Approaches of Ethnic Origins in Belgium: Methodological Alternatives and Statistical Implications,188
3,Total population,201
3,Belges par acquisition,203
3,"Fig. 10.7 Change in the foreigner and foreign-born populations according to the definition, 199 1\u2014",203
3,References,204
2,Olivier Barbary,206
3,Ethno-linguistic type of household,211
3,"Total non-indigenous | 84,418,993 87.02 97,014,867 100.00 households",212
3,"Total indigenous 12,664,476 13.05 population",212
3,Aguascalientes,222
3,Fig. 11.3 Place of residence of zapoteco speakers at municipal (Municipes) level (Source: INEGI,222
3,Maya (Nb of speakers),223
2,from 1986 to 2006,226
2,m “Unaffiliated” Unions (Entries),236
3,References,240
3,"Goldmann, G. (1993). The aboriginal population and the census. 120 years of information-1871 to",240
3,"Guimond, E. (2009a). L’explosion démographique des populations autochtones du Canada de",240
3,"Guimond, E. (2009b). Intragenerational ethnic mobility of aboriginal identity populations, 1996—",240
3,Statistics Canada. (2009a). 2006 census questionnaires and guides. Industry Canada. http:// www 12.statcan.ca/census-recensement/2006/ref/question-guide-eng.cfm,241
