1,The Future of the Law of the Sea,1
2,"Bridging Gaps Between National, Individual and Common Interests",1
3,vi Foreword,6
3,Scope and Aim of the Volume,7
3,Chair of the Cost Action IS1105 Gemma Andreone Marsafenet,9
3,Institute for International Legal Studies of the Italian,9
3,National Research Council,9
1,The Future of the Law of the Sea,1
2,"Bridging Gaps Between National, Individual and Common Interests",1
3,Peer Review Process,10
3,COST is supported by EU Framework Programme Horizon 2020,11
3,COST Action IS 1105,12
3,Contents,14
3,Part II The National and International Response to Maritime Crimes,15
3,The Right of Innocent Passage: The Challenge of the Proliferation,15
3,List of Contributors,16
3,XX List of Contributors,17
3,"Enrique J. Martinez P\u00e9rez Faculty of Law, University of Valladolid, Valladolid, Spain",17
3,"Marta Chantal Ribeiro Faculty of Law, University of Porto, Porto, Portugal",17
3,"Sarra Sefrioui Faculty of Law, Abdel Malek Essaadi University, Tangier, Morocco",17
2,Part I,18
3,Sarra Sefrioui,19
3,1 Introduction,19
3,"S. Sefrioui (|) Faculty of Law, Abdel Malek Essaadi University, Tangier, Morocco e-mail: sarra.sefrioui@ gmail.com",19
3,2.2 Each Maritime Zone Is Measured from Lines Joining Appropriate Points on Land: Baselines,21
3,2.2.1 The Establishment of Baselines Under UNCLOS: Relevant Provisions,21
3,Normal Baselines,22
3,Straight Baselines,23
3,2.2.2 Baselines in Establishing Maritime Limits and in Drawing Maritime Boundary,24
3,Maritime Limits,24
3,Maritime Delimitation,25
3,2.3 Baselines Would Naturally Change Because of Sea Level Rise,26
3,2.3.1 When Baselines Shift Landward,26
3,2.3.2. When Base Points Are Situated on Disappeared Island and Low-Tide Elevation,27
3,3 Potential Responses to Baseline Alteration and Base Point Disappearance,29
3,3.1 The Practical Implications of the Use of Shifting Baselines,29
3,3.2 Toward the Preservation of Baselines and Its Practical Implications,32
2,4 Conclusion,36
2,References,37
2,2 Origin and Enshrining of Relative Stability,40
2,2.1 Origin of Relative Stability,41
2,2.2 Enshrining Relative Stability,43
2,3 The Nature of Relative Stability,45
3,3.1 Future Predictability,45
3,3.2 The States as Beneficiaries of Relative Stability,46
3,3.3. Allocation Formula Contained in the Derived Legislation,47
2,4 The Discard Ban,49
3,4.2 The Landing Obligation,51
3,4.3 Use of National Quotas,53
2,5 Final Considerations,56
2,References,58
3,Borges L (2015) The evolution of a discard policy in Europe. Fish Fisheries 16(3):534–540,58
2,Some Recent Questions Regarding the European Union’s Public Access Fisheries Agreements,60
3,Gabriela A. Oanta,60
3,1 Introduction,60
2,2 The European Commission’s Competence to Represent the EU Before the ITLOS,63
2,5 Final Remarks,75
2,References,76
3,The Protection of Biodiversity in the Framework of the Common Fisheries,79
1,2.3.1 The Prescriptive Competence of the Coastal Member State: Fishing Vessels Flying Its Flag,86
1,3 Beyond Art. 11: The Contribution of Other Provisions for the Protection of Marine Biodiversity,91
2,3.1.1 Twelve Nautical Mile Zone: Fishing Vessels Flying the Flag of the Coastal Member State,92
2,3.1.2 Twelve Nautical Mile Zone: Fishing Vessels Flying the Flag of Other Member States,93
1,4 Concluding Remarks: Balance and Tension Between Exclusive and Shared Competences,98
1,References,99
3,"Churchill R, Owen D (2010) The EC Common Fisheries Policy. OUP, Oxford",99
3,Rosas A (2015) EU External Relations: Exclusive Competence Revisited. Fordham Int Law J 38 (4):1073–1096,100
1,Emmanuella Doussis,101
2,1 Introduction,101
1,2 The MSR Legal Regime,103
2,2.1 From Geneva to Montego Bay: A Brief Legislative History,103
1,3 From Theory to Practice: Implementing the MSR Regime,108
2,3.1 Where? The Spatial Dimension,108
2,3.2. Which Activities Fall Under MSR? The Functional Dimension,111
2,3.3. Who Is Involved? The Unexplored Duty of Cooperation,113
1,4 Conclusion,115
1,References,116
1,Protecting Arctic Ocean Marine Biodiversity in the Area Beyond National Jurisdiction,118
1,2 The Arctic Ocean: A Critical Intersection of Competing and Common Interests,121
1,2.2. Changing Tides: The Inclusion of Non-Arctic States as Arctic Council Observers,123
2,2.3. Heightened Industry-Caused Pressure on Marine Species,124
1,3 Need for Arctic Marine Protected Areas,125
1,4 The Arctic Council’s State-Led Pathway for MPA Creation,127
1,5 Arctic Sanctuary: Demand for an Antarctic Model Treaty,128
1,6 Looking to the High Arctic: Legal Obligation for MPAs in ABNJs,130
2,6.1 United Nations Convention on the Law of the Sea (UNCLOS) Implementing Agreement,131
2,6.2 United Nations Convention on Biological Diversity (UNCBD) Additional Protocol,133
1,7 Conclusion: A Regional Arrangement in Wait of a Formal Legal Framework,136
1,References,136
1,The Environmental Legal Framework for the Development of Blue Energy in Europe,140
2,1 Introduction,140
2,2 The Impact of the Law of the Sea: Maritime Safety Issues,141
2,3 The Integration of Ocean Energy in Maritime Spatial Plans,145
3,4.1 Atthe EU Level,146
3,4.2. Ina Cross-Border Context: The Obligation of Due Diligence,149
3,6 Marine Environmental Protection,153
3,7 Final Remarks,155
1,References,156
