1,Max-Planck-Institut fiir auslandisches und internationales Privatrecht,2
2,Justin Monsenepwo,4
3,Preface,8
3,Foreword,12
3,Summary of Contents,14
1,Part I— The Intermediary System in the OHADA Region,16
2,Chapter 1: The Organisation for the Harmonisation of Business Law,16
2,Chapter 2: Basic Structure and Functioning of the Indirect Holding,17
2,Chapter 2: Security Interests in Intermediated Securities under the,20
3,Convention into Force (Article 19(1))...... ce eeeeeees 283,26
3,(2) For Subsequent States and REIOs (Regional Economic Integration Organizations) under,26
3,3. Interaction of the Hague Securities Convention with,28
3,Second Variation: Collateral Provider and Collateral Taker Hold through Different Intermediaries and Collateral Is,29
2,General Conclusion... eecceeceessseseseeseseseeeeseseseeeseeneaeensneeeeeeeeess 365 Appendix,30
3,A. Indicative List of the Travaux Pr\u00e9paratoires for the,30
3,Financial Collateral Directive 0.0.0... ceceeeeesceceeeeeneceeeceeneeecesseaeeeeesaees 371 B. Indicative List of the Travaux Pr\u00e9paratoires for Directive,30
3,Rights in Respect of Securities held with an Intermediary .................. 374 Bibliography... eeeceseceseceneeseeceeeeseeceeesneceeesaeceseceseceseeeeeceeecaeceeeeeseeeneenaes 391,30
2,Tables and Figures,32
1,Part I,48
2,The Intermediary System in the OHADA Region,48
3,Chapter 1: The Organisation for the Harmonisation of Business Law in Africa,48
4,A. Historical Perspective,48
2,Table 1: Chronological Table of the Ratifications of the OHADA,32
2,Intermediaries 0.00... cece eeccesceseeseceeeeeecseeaececesecsecsseeseceeesaseseeeaeseeesseeneeeaees 49 Figure 3: Global Dematerialisation of Securities in Cameroon under,32
2,Are Identified in an Intermediary Account with the CSD... eee 61,32
2,XXXII Tables and Figures,33
2,Hold through the Same Intermediary and Collateral Is Provided by,33
2,WAY Of Pledge oo... eee ecccccceseccenseceseeeeeceeseeeeeecceeeceuecesaeecaeecsseeeseeeeneeeenegs Figure 32: Second Variation: Collateral Provider and Collateral Taker,33
2,CAA CAEMC CCJA CJEU CCP CFA,34
2,"3 See also Jiirgen Basedow, \u2018The Effects of Globalization on Private International",41
1,Table 1: Chronological Table of the Ratifications of the OHADA Treaty,52
3,B. Purpose of OHADA I. Contribution to Regional Integration in Africa,53
4,II. Facilitating Investments and Improving the Economies of Its Members,54
4,III. Unification in lieu of Harmonisation,56
3,C. OHADA’s Institutional Framework,57
4,I. The Conference of Heads of State and Government,58
4,II. The Council of Ministers I. Composition,58
5,2. Functioning,59
5,3. Duties,60
4,Il. The Permanent Secretariat 1. Organisation,60
5,2. Duties,60
4,IV. The Common Court of Justice and Arbitration (CCJA),61
5,I. Composition,61
5,2. Functions,62
3,b) Geographical Origins of the Appeals lodged before the CCJA,65
2,Table 2: Geographical Origins of the Appeals Lodged before the CCJA\u2122,65
4,V. The Regional School for Magistrates,67
4,D. Instruments of OHADA,67
5,I. Uniform Acts 1. Object of the Uniform Acts,67
5,2. The Process of Adopting Uniform Acts a) Drafting,68
5,b) Advisory Opinion of the CCJA,69
5,c) Final Adoption,69
5,d) Exclusion of Legislative Authorities,69
5,b) Interpretation of Article 10 by the CCJA,72
5,II. Regulations,77
1,Chapter 2: Basic Structure and Functioning of the Indirect Holding System in the OHADA Region,80
2,A. Development of Commercial Practices in the OHADA Region regarding the Holding of Securities I. Traditional Direct Holding of Securities under OHADA Law,80
3,Figure 1: Non-intermediated Securities Holding — Physical Certificates,80
2,II. The Intermediated System under OHADA Law,83
3,(3) Dematerialisation of Securities,89
3,b) The New Act on the Dematerialisation of Securities under the Law of Cameroon,89
4,(1) Presentation of the New Act on the Dematerialisation of Securities,89
4,(2) Modalities for the Dematerialisation of Securities,90
3,The global dematerialisation of securities in Cameroon under Act n°2014/,91
2,B. Basic Structure of OHADA’s Indirect Holding System Compared to Existing Models of Intermediated Systems,91
3,I. Introduction,91
2,I. Introduction,91
3,V. The Security Entitlement Model,94
3,VI. The Contractual Model,95
3,proprietary interests rights attached to securities account rights,99
1,Chapter 1: The Pledge of Securities Accounts under the OHADA Uniform Act on Security Interests,102
2,A. Introduction: Relevance of the 2010 Revision of the Uniform Act on Security Interests,102
3,I. Definition of the Pledge of Securities Accounts,103
2,C. Summary and Evaluation,99
3,II. The Requirement of a Prior Contract,114
4,D. Basis of the Pledge,114
5,I. The Contents of the Securities Account,114
6,a) Financial Instruments recorded in the Pledged Securities Account,114
6,b) Inalienable Securities,115
7,c) Securities Whose Transfer is Subject to an Approval Clause,116
7,II. Proof of the Content of the Pledged Securities Account,117
5,E. Evolution of the Pledged Securities Account,118
6,I. Introduction,118
6,IT. Inclusion of Products and Benefits deriving from the Pledged Securities Account,119
7,I. Substituted Securities,120
5,F. Right to Use the Intermediated Securities recorded in the Pledged Securities Account,122
6,I. Right of Use,122
6,II. Right of Retention,125
5,G. Realisation of the Pledge I. Introduction,127
6,II. Formal Notice,127
6,III. Enforcement,129
7,HT. Summary and Evaluation,131
1,Chapter 2: Security Interests in Intermediated Securities under the Geneva Securities Convention,134
2,A. Presentation of the Geneva Securities Convention I. The Geneva Securities Convention,134
3,IT. Objectives and Guiding Principles of the Geneva Securities Convention,135
3,III. Current Status of the Geneva Securities Convention,138
2,B. Scope of Application of Chapter V of the Geneva Securities Convention I. Introduction,139
3,II. Personal Scope,139
3,III. Material Scope,140
2,C. Recognition of Title Transfer Collateral Agreements,142
3,I. History of the Provision in Article 32 of the Geneva Securities Convention,142
3,II. Analysis of Article 32 of the Geneva Securities Convention,142
3,II. Analysis of the Enforcement Provision in the Geneva Securities Convention,144
2,E. Right to Use Collateral Securities under Article 34 of the Geneva Securities Convention,147
3,I. History of Article 34 of the Geneva Securities Convention,147
3,II. Analysis of Article 34 of the Geneva Securities Convention,148
2,F. Top-Up or Substitution of Collateral,151
3,I. General Overview and History of the Top-Up Rule in Article 36 of the Geneva Securities Convention,151
3,II. Analysis of Top-Up Rule in Article 36 of the Geneva Securities Convention,151
4,I. Rule Number 1: Top-Up a) Introduction,151
4,b) The Situation provided in Article 36(1)(a)(i) of the Geneva Securities Convention,152
4,c) The Situation provided in Article 36(1)(a)(ii) of the Geneva Securities Convention,153
4,d) The Situation provided in Article 36(1)(a)(iti) of the Geneva Securities Convention,154
3,III. Certain Insolvency Provisions Disapplied,157
2,G. Summary and Evaluation,159
1,Chapter 3: The EU Legislation on the Collateralisation of Intermediated Securities,160
2,A. A Bird’s Eye View of the EU Legislative Framework on Intermediated Securities,160
2,B. The Collateralisation of Intermediated Securities under the Settlement Finality Directive,161
3,I. History of the Settlement Finality Directive,161
3,II. System and Participants,163
4,(vi) Not entered between interoperable systems.,164
3,II. Collateral Transaction,166
3,IV. Insolvency Proceedings and Collateral Security,166
3,C. Collateral Agreements on Intermediated Securities under the Financial Collateral Directive,167
4,I. Objectives of the Financial Collateral Directive,167
4,II. History of the Financial Collateral Directive,168
3,III. Scope of Application,174
3,IV. Formal Requirements and Enforcement,182
3,V. Right of Use,185
3,VI. Recognition of Title Transfer Financial Collateral Arrangements,187
3,VII. Recognition of Close-Out Netting Provisions,188
3,VII. Certain Insolvency Provisions Disapplied,189
3,IX. Top-Up and Substitutions,190
3,D. Summary and Evaluation,192
2,Chapter 4: Collateralisation of Intermediated Securities under the Law in the United States,193
4,A. General Overview I. Introduction,193
4,I. Historical Evolution,194
5,a) The 1962 Version of UCC Article §,194
5,b) The 1977 Version of UCC Article §,195
5,c) The 1994 Version of UCC Article §,204
5,b) The 1962 Version of UCC Article 9,207
5,c) The Pre-1972 Official Text and the 1977 Amendments,208
5,d) The 1994 Amendments to UCC Article 9,209
5,e) The 1999 Official Text,209
4,II. Key Features of the US Indirect Holding System,215
5,III. Concept of Security Entitlements,218
1,C. Perfection of Security Interests in Investment Property I. Introduction,225
2,II. Attachment and Perfection,226
3,(ii) The debtor has rights in the collateral; and,226
3,"(i) Become the entitlement holder, or",228
1,D. Priorities,232
2,Does SP-2 have control?,233
3,b) Enforcement of Property Rights against Third Parties,219
1,Conflict of Laws Analysis,236
2,Chapter 1: The /ex rei sitae (lex cartae sitae) Rule in the OHADA Region,236
3,A. General Overview of OHADA\u2019s Private International Law,236
4,I. Lesser Importance of Conflict of Laws Issues in OHADA\u2019s Legislative Agenda,236
4,II. Scarce Conflict of Laws Rules under OHADA Law\u00ae,238
4,III. Lack of Conflict of Laws Provisions regarding Intermediated Securities at the OHADA Level,240
3,I. The lex rei sitae Rule under the Laws of the OHADA Member States,241
3,II. Rejection of the lex rei sitae Rule and the \u201cLook-Through Approach\u201d,245
1,E. Summary and Evaluation,233
2,Is the debtor an intermediary?,233
2,Figure 16: Priority of Security Interests in Investment Property!,233
1,Chapter 2: The Place of the Relevant Intermediary Approach (PRIMA) under European Law,250
2,A. Analysis of the EU PRIMA Rule I. Contents of the EU PRIMA Rule,250
3,(iii) Article 24 of the Winding-up Directive,251
3,II. Illustrations of How PRIMA Operates,253
3,II. Unclear Location of Securities Accounts under PRIMA,263
3,III. Uncertainty as to the Relevant Account under PRIMA,266
3,(iii) The account of the collateral provider.*\u2019,267
3,IV. Uncertainty as to How Many Laws Apply in the Holding Chain under PRIMA,267
3,V. Renvoi,267
3,VI. The Location of the Securities Account and European Discussions regarding the Hague Securities Convention,268
2,"In light of the above, the European Parliament\u2019s resolution of 14 December",273
2,C. Summary and Evaluation,276
1,Chapter 3: Conflict of Laws Rules for Intermediated Securities under the Uniform Commercial Code,278
2,A. Conflict of Laws Issues under UCC Article 8 I. Introduction,278
3,II. Issues governed by the Applicable Law,278
3,III. Determination of the “Securities Intermediary’s Jurisdiction’,280
3,IV. Choice of Law Rules for Adverse Claim Issues,282
3,V. Example illustrating the Provisions in UCC § 8-110,282
3,VI. Application of General Choice of Law Rules,283
2,B. Choice of Law Provisions concerning Security Interests in Security Entitlements,284
3,I. General Rules,284
3,II. Exceptions,284
3,IIT. Change in Law Governing Perfection,286
3,II. Scope of Application of the Hague Securities Convention,288
3,III. Comparison of Hague Securities Convention and UCC Choice of Law Rules,290
2,Summary and Evaluation,292
3,The intermediary’s jurisdiction is defined in subsection (e) of UCC § 8-,292
1,Chapter 4: The Hague Securities Convention,294
2,A. History of the Negotiations leading to the Hague Securities Convention,294
3,II. Issues to Which the Hague Securities Convention Applies,300
3,a) The Nature of the List,300
3,(2) Legal Nature and Effects of a Disposition,305
3,(3) Perfection Requirements,307
3,(4) Priority Issues,308
3,(5) Duties of an Intermediary Against a Person Asserting a Competing Interest,308
3,(6) Realisation,309
3,"(7) Entitlements to Dividends, Income, or Other Distributions, or to Redemption, Sale, or Other Proceeds",309
3,III. Limitations of the Scope of the Convention Solely to Intermediated Securities,309
3,b) Disposition of an Interest in Securities in case of Contractual Claims against the Intermediary,313
3,IV. Internationality,315
3,V. Temporal Scope of Application of the Hague Securities Convention,317
3,V. Temporal Scope of Application of the Hague Securities Convention,317
4,1. Entry into Force a) Entry into Force on the International Plane (Article 19(1)),317
4,b) Entry into Force for a State and for a REIO,320
4,(1) For the States Bringing the Hague Securities Convention into Force (Article 19(1)),320
4,(2) For Subsequent States and REIOs (Regional Economic Integration Organizations) under Article 19(2),320
4,a) Article 16(1),321
4,b) Article 16(2) (1) Guidelines as to the Application of Articles 16(3) and (4),321
4,(2) Declaration Mechanism,322
4,c) Article 16(3) (1) Interpretative Rule,322
4,d) Article 16(4),323
4,e) When the Applicable Law Is Not Determined using Article 16(3) or Article 16(4),323
3,C. Applicable Law under the Hague Securities Convention I. Introduction: Determining the Applicable Law,324
4,b) The Conditions for a Qualifying Office,332
4,c) Definition of the Term “Office”,336
4,d) The Time Factor,336
4,e) The Qualifying Activity,337
3,II. Fall-Back Rules under Article 5 of the Hague Securities Convention,339
4,a) “Written” Agreement,340
4,b) Express and Unambiguous Statement in the Account Agreement as to a Particular Office,340
4,b) Transfers involving Two or More Intermediaries,343
4,c) The Unitary Solution,345
4,d) The Problem of “Double-Interests”’,347
3,Il. “Old” and “New” Law,350
3,III. Applicability of the “New” Law under Article 7(3),350
1,IV. Exceptional Application of the \u201cOld\u201d Law under Article 7(4) I. Scope,351
2,Cc) priority as between parties whose interests arose before the change of law.\u201d,351
1,V. Priority Issues: Article 7(5),353
1,F. Insolvency I. Scope of Article 8 of the Hague Securities Convention,353
2,II. Recognition of Interests Acquired prior to an Insolvency Proceeding,355
2,III. Effects in an Insolvency Proceeding of Previously Acquired Interests,356
1,G. Exclusion of Choice of Laws Rules (Renvoi),357
1,H. Public Policy and Mandatory Rules,358
2,I. Public Policy Exception under Article 11(1) of the Hague Securities Convention,358
2,II. Mandatory Rules of the Forum,359
2,III. An Important Limitation under Article 11(3) of the Hague Securities Convention,360
1,I. Evaluation of the Hague Securities Convention I. Protection of Third-Party Rights,360
2,I. Transparency,361
2,II. Interaction with Substantive Law,363
2,III. Relationship with Public Law,366
2,IV. Diversity of Laws in the Securities Settlement System,367
1,J. Summary,367
1,Chapter 5: Alternative Conflict of Laws Rules and Connecting Factors,369
2,The \u201cSubstantive Law Solution\u201d to the Choice of Law Problem,369
2,Regional Unification of Substantive Law in Respect of the,369
