1,ABBREVIATIONS,14
1,PREFACE,18
1,0 Achieving food security in China Implications of WTO accession,21
2,Agriculture and Food Security in China,22
3,China’s agricultural development and policies,22
3,Food self-sufficiency and food security,23
3,"Commodity, regional and household impacts of WTO accession",28
4,Surplus agricultural labour,31
4,Restrictions on migration,32
3,Macroeconomic implications of WTO accession,33
4,Simulations of short-run effects,34
4,Macroeconomic impacts on migration,37
3,China’s agricultural trade after WTO accession,38
3,Implications of the ASEAN-China Free Trade Agreement,38
4,Agricultural trade between China and ASEAN: complementary or competitive?,39
4,Economic effects of the ASEAN-China Free Trade Agreement,40
3,Summary and discussion,41
3,Notes,44
3,References,45
1,Agricultural development and policy before and after China’s WTO accession,47
2,Agricultural performance and policy before China’s WTO accession,48
2,China’s commitments to WTO accession and provisions related to agriculture,59
2,Policy shifts since China’s WTO accession,63
3,Legal and legislative changes,64
3,Agricultural trade reforms,66
3,Domestic market reform and infrastructure development,67
3,Land-use policy,68
3,Farm organisations,69
3,Export subsidies and agricultural support policies,69
3,New agricultural and rural development policies,70
2,Conclusions,71
3,References,72
1,China’s WTO accession,75
2,The impact on its agricultural sector and grain policy,75
2,China’s WTO entry commitments in the agricultural sector,75
3,Tariff binding and tariff reduction,76
3,Tariff rate quota system,76
3,Reduction of market distortion measures,77
2,Trade pattern and comparative advantage in China’s agriculture,83
2,Opportunities and benefits of agricultural liberalisation,86
2,Adjustment costs of WTO entry and their income implications,88
2,Food security and WTO accession,89
2,The regional pattern of the agricultural impact of WTO accession,91
3,‘Export promoting effects’ and ‘substitution effects from imports’,92
3,Regional production concentration indices for major agricultural products,92
3,Regional pattern of the agricultural impact: scenario two,98
2,Summary and policy implications,101
2,Notes,103
2,References,104
1,Rural-urban income disparity and WTO impact on China’s agricultural sector Policy considerations,105
2,Agriculture and rural-urban income disparity in China,105
2,The impact of WTO accession on agriculture and rural incomes,108
2,The grain pricing system in China and its inconsistencies with WTO accession,110
2,Policy considerations in liberalising the grain market,113
2,Relationship between rural industrialisation and urbanisation and rural incomes,115
2,Conclusion,121
2,Notes,122
2,References,122
1,The impact of WTO accession on China’s agricultural sector,124
2,"Grain outputs, yields and inputs",125
2,Transfer of the agricultural labour force,126
2,"Imports, exports and prices of grain",129
3,Grain trade,129
3,Grain prices,129
2,Major changes after WTO accession,134
3,The size of the domestic grain market,136
3,The impact on domestic grain prices,137
3,The impact on domestic production,138
3,Producer losses,138
3,Consumer gains,140
3,The impact on employment,140
3,The direct impact of grain imports,140
3,Industrialisation and urbanisation,143
2,Notes,144
2,References,145
2,Appendix,147
1,The impact of China’s WTO accession on regional economies,155
2,Impact of WTO accession on China’s regional economies,156
3,Closures of the model for the simulations,157
3,Simulating with no change in the trade balance,161
3,Why does WTO accession worsen regional disparity?,162
3,Additional protection to agricultural sectors,165
3,Domestic market reform,165
3,Transfer payments,169
2,Conclusions,174
2,Notes,175
2,References,176
2,Appendix,178
1,WTO accession and food security in China,203
2,China’s achievements in food security and food self sufficiency policies,205
3,Food security policies in China,206
2,The impact on agricultural production and food security of WTO accession,211
3,Overall impacts of WTO accession,211
2,Notes,220
2,References,220
1,Revisiting the economic costs of food self-sufficiency in China,223
2,"Modelling the Chinese and world economies, 2001-2010",225
3,Data and parameters,227
3,Constructing the 2010 world economy,229
2,Trends in Chinese agricultural self-sufficiency,229
2,Achieving agricultural self-sufficiency through protection,230
3,Sensitivity analysis,233
2,Conclusion,234
2,References,236
2,Appendix,239
1,Trade reform in the short run,249
2,The model,251
3,The representation of capital controls,255
3,Data and parameters,256
2,China’s trade policies and reforms,257
2,Simulated long-run effects of accession policy reforms,259
2,Simulated short-run effects of trade policy reforms,262
3,The effects of capital controls and the choice of monetary policy target,263
3,Fiscal policies,267
3,Sectoral impacts in the short run,268
2,Conclusions,269
2,Notes,270
2,References,272
2,Acknowledgments,274
2,Appendix,275
1,Urban-rural inequality and worker relocation in China,290
2,Urban-rural inequality in China,291
2,Internal migration,291
3,Sectoral relocation of workers,293
2,Performance since the Asian crisis,294
2,Modeling the effects of China’s trade policy reforms,296
3,Simulated effects of accession policy reforms,296
4,Simulated short-run effects,299
4,The effects of capital controls and the choice of the monetary policy target,300
4,Short run sectoral impacts,302
4,Worker relocation demand in the short run,303
2,Conclusions,305
2,Notes,306
2,References,307
2,Appendix,311
6,Table A10.4 Short-run closure,314
6,"Figure 10A.5 Official growth rate of average real manufacturing wage, 1996-2000 (per cent/year)",322
6,Figure 10A.6 Trade reform with capital controls,323
6,Figure 10A.7 Trade reform with no capital controls,324
3,Classification of agricultural commodities and sources of data,326
3,Aggregate trends in agricultural trade,328
3,"Trends in agricultural trade, by commodity grouping",329
4,Animal products,330
4,Horticultural products,331
4,"Cereals, edible vegetable oilseeds and vegetable oils",331
4,Raw materials for textiles,332
4,"Agricultural imports, by commodity grouping",332
5,"Cereals, edible vegetable oilseeds and vegetable oils",332
6,"Figure 11.3 China’s agricultural imports by category, 1992-2005 (at constant 2000 USS prices)",333
5,Raw materials for textiles,334
5,Animal products,335
5,Processed agricultural products,336
5,Horticultural products,336
4,Changes in the pattern of China’s agricultural trade after WTO accession,338
5,"Changes in the pattern of China’s agricultural trade, by commodity group",339
6,"Figure 11.5 Shares of China’s agricultural exports by commodity groupings, 1992-2001 and 2002-2005 (per cent)",339
6,"Figure 11.6 Share of China’s agricultural imports by commodity grouping, 1992-2001 and 2002-2005 (per cent)",340
5,"Changes in the pattern of China’s agricultural trade, by factor intensity of production",340
4,Changes in revealed comparative advantage in China’s agriculture following WTO accession,342
5,Revealed comparative advantage in China’s agriculture,343
5,Changes in the revealed comparative advantage of agriculture,344
6,"Figure 11.10 China’s revealed comparative advantage indices (NER) of agricultural products by commodity group, 1992-2005",346
5,Factors driving the changes in revealed comparative advantage in China’s agriculture,347
6,Economic factors,348
6,Trade barriers,349
4,Conclusions,350
4,Notes,351
4,References,352
5,Classification of agricultural commodities,367
5,Shares of bilateral agricultural trade between China and ASEAN,368
5,"Changes in China’s imports, exports and net exports with ASEAN",368
5,China-ASEAN import and export structure,369
6,"Figure 12.2 Shares of bilateral agricultural trade in total agricultural trade, 1992-2005 (per cent)",370
6,Figure 12.3 China-ASEAN agricultural trade structure in 2005,372
5,China-ASEAN agricultural trade patterns,374
4,Notes,389
4,References,389
4,Appendix,391
4,Trade liberalisation in China and ASEAN,393
5,China’s WTO commitments,394
5,AFTA’s tariff reduction schedule,395
6,Table 13.1. China’s market access commitments on farm products subject to TRQs,396
4,The free trade agreement between ASEAN and China (ACFTA),397
4,Methodology and policy scenarios,397
6,Figure 13.1 Percentage of tariff lines at 0-5 per cent in the tentative,398
5,Data improvement,400
5,Assumptions for the different scenarios,402
4,Simulation results and explanations,404
5,The economic impacts of the EHP,404
6,Table 13.3. The macro impacts of the EHP,405
6,Table 13.4 The impact of the EHP on imports and exports,406
6,Table 13.6 Changes in supply price and output by the EHP (per cent),408
5,The economic impacts of the full implementation of the ACFTA,409
6,"Table 13.10 Changes in bilateral trade after the implementation of the ACFTA, up to 2010",413
4,Conclusions,417
4,References,420
4,Appendix,423
6,Table A13.2 Regional aggregations,424
