1,Table of Contents,8
1,6. The Primary Applicability of International Law and the Role of National Law,8
1,7. Concurrent Application of and Reference to National and International Law in Case of Consistency,9
1,Table of Cases,10
2,ARBITRAL AWARDS,10
2,NATIONAL COURTS,18
1,Table of Legislation,22
1,Territorialized and Internationalized Arbitration Tribunals,48
2,Territorialized Tribunals,52
1,Claims and Counterclaims of a National and/or International Nature,134
1,The Primary Applicability of International Law and the Role of National Law,242
1,Concurrent Application of and Reference to National and International Law in Case of Consistency,300
2,Concluding Observations,324
1,Index,332
2,Introductory Note,332
