3,SHARI'A: FOREIGN NATIONAL LAWS,11
3,SHARI'A: THE PRACTICES AND DESIRES OF WESTERN MUSLIMS,11
2,Shari‘a Practices in a Western Legal Framework,13
3,THREE WESTERN REGIONS,13
2,Western Responses: Law Versus Culture,17
2,Adaptation in Western or Muslim Legal Systems?,19
2,Conclusion,20
2,Notes,21
3,PRIVATE INTERNATIONAL LAW,27
3,INTRODUCTION OF ISLAMIC LEGAL PROVISIONS,28
3,RECOGNITION OF LEGAL FACTS CREATED UNDER FOREIGN SHARI‘A LAWS,29
3,PERSONAL LAW SYSTEMS,30
2,Internal Reasons for the Formal or Informal Application of Shari'a in the West,31
3,TECHNICAL/INSTITUTIONAL REASONS,31
3,CULTURAL REASONS,32
3,RELIGIOUS REASONS,33
2,Alternative Dispute Resolution (apr) and Shari‘a,36
2,Preliminary Conclusions,40
2,Notes,42
2,Islam and the Problems of Liberal Democracy,48
3,Islam in America: A Historical Summary,51
3,Growing Fears Concerning Islam,53
3,Legal Plurality and the Spread of Shari'a,55
3,American Legal Exceptionalism and Shari'a,57
3,Relevant Research on Muslims,58
3,Conclusion,60
2,Notes,62
2,The Down-Under Approach and Reaction to Shari‘a: An Impasse in Post-Secularism?,66
3,The Socio-Cultural Heterogeneity of Muslims and the Implication for Shari'a,66
3,Shari‘a in Australia,68
3,The Relationship Between Shari'a and Australian Law,69
3,Australian Family Law and Islamic Arbitration,71
3,Recent Attempts to Bring Shari'a into the Public Sphere: Two Case Studies,72
4,CASE STUDY 1: AUSTRALIAN FEDERATION OF ISLAMIC COUNCILS (IKEBAL PATEL),72
4,CASE STUDY 2: DIVORCE IN AUSTRALIA: FROM AN ISLAMIC LAW PERSPECTIVE?,73
3,The New Australian Conservative Modernity and Its Obstacles to Post-Secularism,74
2,Notes,77
1,APPLYING SHARI‘A IN THE WEST,79
3,Background,80
3,Seeking clarification,83
3,Issues and implications,88
3,The Discussion Continues,92
2,Notes,95
4,FORMAL APPLICATION OF SHARI‘A,98
4,INFORMAL APPLICATION OF SHARI‘A,99
3,Applying Shari'a Under the Dutch Legal System,100
4,PARTY AUTONOMY,100
4,THE FAVOUR-PRINCIPLE,101
4,EXPRESS PROVISIONS AND OPEN NORMS,101
4,FREEDOM OF RELIGION,102
3,The Use of Shari‘a in Informal Social Settings and the Role of Human Rights,102
4,THE EXAMPLE OF THE ‘CHAINED WIFE’,103
3,Application of Shari‘a: Politically Sensitive,105
3,Conclusion,107
3,Under the Gaze of Europe,113
3,Islamic Marriage and Divorce in Secular Albania,116
3,The Reflection of Europe,121
3,Notes,122
3,"Geographical, Historical and Legal Overview",127
3,The Mufti and So-Called Neo-Milletism,130
3,Immigration and New Challenges,133
3,Notes,134
3,Muslim Majority Countries: Towards the Registration of Marriages,143
4,UNREGISTERED MARRIAGES: NEW VARIATIONS,145
3,‘Islamic Marriages’ in the Netherlands: Gender and Securitization,149
4,DUTCH ISLAMIC MARRIAGES IN PRACTICE: MULTIPLE MOTIVATIONS AND MEANINGS,152
4,OBSTACLES TO CONCLUDING A CIVIL MARRIAGE,154
4,OPTING FOR AN ISLAMIC MARRIAGE,155
4,ACTIVELY DESIRING AN ISLAMIC MARRIAGE,157
4,TEMPORARY SHIA MARRIAGES,158
4,Conclusion,159
3,Function of the Mahr,167
4,IMMATERIAL FUNCTIONS,167
4,MATERIAL FUNCTIONS,168
3,The Mahr in the Classical Works of the Fugaha’,168
3,Evaluation of the Mahr,168
4,THE MAHR AS A COUNTER VALUE FOR MARITAL COHABITATION?,169
4,THE MAHR AS AN ECONOMIC FACTOR,170
3,German Case Law,172
4,DECISION OF THE SUPREME COURT OF 28 JANUARY 1987,172
4,DECISION OF THE SUPREME COURT OF 14 OCTOBER 1998,173
4,DECISION OF THE SUPREME COURT OF 9 DECEMBER 2009,174
3,Evaluation of the Cases,176
4,THE ARGUMENTS OF THE PARTIES,176
4,THE ARGUMENTS OF THE SUPREME COURT,178
4,CAN THE MAHR BE INTERPRETED AS AN AGREEMENT ON MAINTENANCE?,179
4,CAN THE MAHR BE INTERPRETED AS AN AGREEMENT ON THE MATRIMONIAL PROPERTY REGIME?,179
3,Evaluation and Conclusion,180
3,Notes,182
2,Honour and Otherness in Canadian Law and Shari‘a,190
3,"Law, a Language of Hybridity?",191
3,Familiar Facts from West to East,192
4,THE OTHER WITHIN: (DIS)HONOUR IN CANADIAN LAW,192
4,FAMILIARITY OF THE OTHER: PERSPECTIVES FROM JORDAN,194
3,Fear and Marginalization of the ‘Other’ in Canadian Society,195
3,Conclusion,197
3,Limits to Private International Law in the Face of the Changing Demographic Profile of Europe,208
3,The Close Connection Between Law and Religion in Islam,212
3,Future Perspectives: Three Alternatives,214
4,INCORPORATING RELIGIOUS RULES INTO CIVIL LAW: THE EXAMPLE OF THE MARRIAGE CONTRACT,214
4,THE AUTONOMY OF THE WILL IN FAMILY MATTERS,218
