1,About the Author,3
1,Notices,4
1,Preface,7
1,Table of Contents,9
2,I. Introduction to Some Basic Concepts,12
2,II. Taxing Income,17
2,III. Some Definitions,21
2,V. Not All Income Is Taxed Alike,29
2,VII. Sources of Tax Law and the Role of Courts,34
2,IX. What Is Income?,38
3,If Algebra or Economics Scare You —,39
3,Some Obvious or Not-so-Obvious Implications of the SHS Definition of “Income”,40
4,a. Taxing Income Is Taxing Consumption Plus Increments to the Power to Consume,41
4,"b. Income, Consumption, and Value",42
3,Basis — Or Keeping Score with the Government,45
3,SHS Accounting for Spending Savings,48
3,Borrowing Money,48
2,Wrap-up Questions for Chapter 1,49
3,What have you learned?,49
1,Chapter 2: What Is Gross Income: Section 61 and the Sixteenth Amendment,51
2,"Commissioner v. Glenshaw Glass Co., 348 U.S. 426 (1955)",68
3,I. Background,72
3,II. Analysis,73
4,B. Section 104(a)(2) of the IRC,73
4,C. Section 61 of the IRC,74
4,D. The Congress’s Power to Tax,77
5,2. Uniformity,82
2,II. The Constitutional and Statutory Definitions of “Gross In- come:” Accessions to Wealth,86
3,A. Some Recurring Themes,86
4,"Old Colony Trust Co. v. Commissioner, 279 U.S. 716 (1929)",86
4,"Cesarini v. United States, 296 F. Supp. 3 (N.D. Ohio 1969)",98
3,B. Section 61(a)(3): Gains Derived from Dealings in Property,102
4,"Hort v. CIR, 313 U.S. 28 (1941)",103
5,DISCUSSION,108
4,Rev. Rul. 79-24 GROSS INCOME; BARTER TRANSACTIONS,112
5,FACTS,112
3,D. Improvements to Leaseholds and the Time Value of Money,113
3,E. Imputed Income,126
2,III. The Constitutional and Statutory Definitions of “Gross In- come:” Realization,129
3,"Can a taxpayer realize income if he never receives it, but someone else does?",129
2,IV. The Constitutional and Statutory Definitions of “Gross In- come:” Dominion and Control,145
4,"Gilbert v. Commissioner, 552 F.2d 478 (CA2 1977)",145
3,What have you learned?,152
1,Chapter 3: Exclusions from Gross Income,154
2,I. The Society and Government that We Want,155
3,"A. Gifts and Inheritances, § 102, and Related Basis Rules, §§ 1014, 1015",155
4,Diedrich v. Commissioner of Internal Revenue,171
3,B. Exclusion of Gain from Sale of Principal Residence: § 121,178
3,C. Interest on State and Local Bonds: § 103,179
2,II. Social Benefits,182
3,A. Life Insurance Death Benefits: § 101,183
4,FACTS Situation 1,185
4,LAW AND ANALYSIS SITUATION 1,186
5,Amount of income recognized upon surrender of the life insurance contract,186
4,SITUATION 2,186
4,SITUATION 3,188
4,HOLDINGS,188
3,"B. Compensation for Injuries or Sickness: §§ 104, 105, 106",192
3,C. Social Security: § 86,193
3,D. Unemployment Benefits: § 85,197
2,III. Employment-Based Exclusions from Gross Income,197
3,A. Group Term Life Insurance: § 79,197
3,B. Educational Assistance Programs: § 127,198
3,C. Dependent Care Assistance Programs: § 129,198
3,E. Meals or Lodging Furnished for the Convenience of the Employer: § 119,199
3,F. Employee Fringe Benefits: § 132,212
4,C. Explanation of Provisions,214
3,"G. Cafeteria Plans, § 125",219
1,Chapter 4: Loans and Cancellation of Indebtedness,221
2,III. Is It a Loan? Is There an Accession to Wealth?,228
3,Income From the Discharge of Indebtedness,232
3,Enforceability,233
3,Disputed Debt,235
3,Deductibility of Gambling Losses,235
3,Purchase Money Debt Reduction,235
3,I. [The court recounts the facts.],245
2,IV. Section 108(a)'s Other Provisions,253
2,V. Transactions Involving Property Subject to a Loan,255
3,Rev. Rul. 90-16,270
4,FACTS,270
4,HOLDING,272
4,FACTS,273
4,HOLDING,275
2,VI. Transactions Treated as Loans,276
2,Wrap-up Questions for Chapter 4,280
3,What have you learned?,280
1,Chapter 5: Progressivity and Assignment of Income,282
2,I. Compensation for Services,284
2,II. Income Splitting and the Joint Return,292
3,Present Law In general,292
4,Marriage penalties due to rate brackets and the standard deduction,292
4,Marriage penalties and bonuses due to income-based phaseins and phaseouts,293
4,Marriage penalties for low-income individuals,294
3,Legislative Background,294
3,Analysis Data relating to marriage penalty under present law,296
4,Marriage neutrality versus equal taxation of married couples with equal incomes,296
4,"Marriage penalty, labor supply, and economic efficiency",298
3,Eliminating or reducing the marriage penalty,300
2,III. Income Derived from Property,301
3,What have you learned?,317
1,Chapter 6: Deductions: Business Expenses,319
2,I. Expense or Capital,322
