1,Bioethics and the Patent Eligibility of Human Embryonic Stem Cells-Related Inventions in Europe,4
2,Introduction,8
2,Il. Background to the Science,14
3,A. What Are Stem Cells?,14
3,B. Source of stem cells,14
4,1. Adult Stem Cells,15
4,2. ESCs,15
4,3. iPSCs,16
2,III. Legal Provisions Applicable to the Patent Eligibility of hESC-Related Inventions,18
3,A. EPC,18
3,B. TRIPS,19
2,IV. Ethics and Stem Cell Related Patents,22
3,A. Ethics and Patent Law,22
4,1. Patent Law Isolated from Morality Based Provisions? A Look into the Legislative Discretion,23
5,a) A Closer Look at the EPC,26
5,b) Specific Examples of Immorality in the Biotech Directive,29
4,1. Moral Status of Human Embryos and Its Implications for the hESC Research,31
5,a) Debate on whether Human Embryo Has Human Dignity,32
5,b) Double-Edged Sword: A Need of Compromise Considering Different Methods of Obtaining hESCs,33
6,(1) Research on Embryos Within 14 days After Fertilisation,33
6,(2) Research with Supernumerous Embryos,34
6,(3) Research with Embryos from SCNT,35
2,V. The Panorama in Europe,36
3,2. The Patent Eligibility of hESC-related Inventions,37
4,E. Implications of the CJEU’s Judgment to the Future of hESC-Related Inventions,67
5,1. Germany,67
5,3. The EPO,71
2,VII. Conclusion,73
2,ANNEX III,78
2,ANNEX V,80
2,List of Works Cited,82
3,Articles,82
3,Monographies,84
3,International Treaties,85
3,MIPLC Class Materials,87
