1,Climate Change and International Shipping,3
2,Contents,5
2,Foreword,9
2,Series Editor Preface,10
2,Acknowledgements,11
2,Introduction,19
3,1.1 Greenhouse Gas Emissions as a Regulatory Challenge,22
4,1.1.1 An Overview of Climate Change,23
4,1.1.2 Transboundary Nature of Greenhouse Gas Emissions,27
3,1.2 Contribution of International Shipping to Greenhouse Gas Emissions,32
4,1.2.1 Introduction to International Shipping,32
4,1.2.2 Greenhouse Gas Emissions from International Shipping,38
5,1.2.2.2 General Emissions Statistics from International Shipping,40
3,1.3 Statement of the Problem,44
3,1.4 Scope of the Book and Chapter Outline,47
4,2.1.1 The Concept of ‘Pollution’,51
4,2.1.2 ‘Pollution’ and Greenhouse Gas Emissions from International Shipping,55
5,2.1.2.1 Legal Analysis of Treaty Definition of Pollution,55
5,2.1.2.2 National Legislation on the Legal Nature of GHG Emissions,58
3,2.2 Jurisdiction over Greenhouse Gas Emissions from International Shipping,62
4,2.2.1 The Concept of Jurisdiction,62
4,2.2.3 Coastal State Jurisdiction,67
4,2.2.4 Port State Jurisdiction,71
3,2.3 Environmental Liability for Transboundary Harm Caused by Greenhouse Gas Emissions from International Shipping,74
4,2.3.1 An Overview of Transboundary Harm,75
5,2.5.1.3 Legal Status and Application,108
5,2.5.2.2 Legal Status and Application,110
6,TABLE 2.1 Different categories of polluters,125
6,TABLE 2.2 Different cost bearing arrangements by regional or international instruments,126
2,The UN Response to the Issue of Greenhouse Gas Emissions from International Shipping,136
6,TABLE 3.1 Evolution of the international climate change regime,160
6,TABLE 3.1 Evolution of the International Climate Change Regime (cont.),166
2,The IMO Response to the Issue of Greenhouse Gas Emissions from International Shipping,195
6,TABLE 4.1 Main events of IMO’s work on GHG emissions from international shipping,203
6,TABLE 4.1 Main events of IMO’s work on GHG emissions from international shipping (cont.),206
6,TABLE 4.2 Technologies for EEDI reduction,217
6,SEEMP-related measures,221
6,FIGURE 4.2 Annual emission reduction by 2050 and new emissions levels (scenario A1B-4),227
6,TABLE 4.4 Seven types of MBM proposals submitted to the IMO (as of May 2013),234
2,Response from Flag & Port States to the Issue of GHG Emissions,307
6,FIGURE 6.1 GHG emissions scopes relating to port operations.,360
6,TABLE 7.1 Grouping of the MBM proposals based on the reduction sectors,407
2,Conclusion,441
1,Bibliography,451
1,Index,494
