1,Preface,6
1,Contents,8
1,I. Introduction,16
2,1. Organization Forms,16
2,2. Company Law,17
2,3. Securities Regulation,18
2,4. Stock Exchange Rules,19
1,II. Board Structure,20
1,III. Groups of Companies,22
1,IV. Recent Issues and Empirical Studies,23
2,1. Defensive Measures against Hostile Takeovers,23
2,2. Outside Directors,26
2,3. Listing of Subsidiaries,28
2,4. Shareholder Activism,30
1,A Guide to German Company Law for International Lawyers,32
2,I. Legal Sources and Types of Business Organisations in Germany,33
3,"1. No Code Unique, no Comprehensive Company Code, no Unitary Capital Company",33
3,2. Multitude of Company Law Acts,35
3,3. No Single Dominant Organisational Form,36
4,a) Statistical Data,36
2,II. Main Players in Company Law,41
3,1. The Legislator,41
4,a) Stock Corporation Act,41
4,b) Limited Liability Companies Act,43
3,2. Specialised Courts,44
3,3. Company Law Scholarship,45
2,III. Distinctive Features of German Stock Corporation Law,48
3,1. Interest of the Enterprise (“Unternehmensinteresse”),48
3,2. Two-tier Board (“duale Fiihrungsstruktur”) and Codetermination (“Mitbestimmung”),49
3,3. Mandatory Nature of the Stock Corporation Act (“aktienrechtliche Satzungsstrenge”),50
3,4. Fiduciary Duties of Shareholders (“mitgliedschaftliche Treuepflichten”),51
3,5. Rescission Suits (“Beschlussmdngelklagen”) as the Most Important Enforcement Mechanism,53
3,6. Codified Law of Corporate Groups (“Konzernrecht”),54
2,IV. Gradual Erosion of German Particularities in Company Law,55
1,Directors’ Liability and Enforcement Mechanisms in Japan,60
2,II. Brief Introduction to Japanese Laws and Practices,61
2,III. How Derivative Suits Operate: A Rough Comparison between the US and Japan,62
3,3. Rough Comparison between the US and Japan,63
2,IV. What Accounts for the Differences between the US and Japan,65
3,1. Entry Cost,65
3,2. Entry Barriers,66
3,3. Involuntary Settlement,67
3,4. Rules on Gathering Evidence,68
3,5. Substantive Law,68
2,V. Why Shareholders Sue,69
2,VI. Other Findings,69
2,VII. Derivative Suits in Japan: Policy Evaluation,74
1,Corporate Opportunity Doctrine as a Basis for Directors’ Liability,76
4,a) Bases of Fiduciary Duties,79
4,b) Duty of Care,79
4,c) Duty of Loyalty,81
3,2. Directors’ Liability,81
4,a) Liability to the Company,81
4,b) Liability to Third Parties,82
4,c) Criminal Liability,82
2,III. Two Cases before the Legislation,83
3,1. Glovis Case,83
3,2. Gwangju Shinsegae Case,85
2,IV. New Legislation,87
3,1. Art. 397-2 of the KCC,87
4,Art. 397-2 of the KCC (Prohibition on Appropriation of Corporate Opportunity and Assets),87
3,2. Notes on Art. 397-2 of the KCC,88
4,a) Scope of the Business Opportunity,88
4,b) Typical Fact Patterns,89
4,c) Approval Requirements,90
4,d) Remedy,91
2,V. Criticisms and Evaluation,91
3,1. Criticisms,91
3,2. Comments on this Criticism,92
1,Ordinary Corporate Conduct Standard vs. Business Judgment Rule: A Review of Case Rulings by Beijing Courts between 2005 and 2014,96
2,I. Introduction,96
2,II. The Question Stated,99
3,1. Directors’ General Duties Under Chinese Law,99
3,2. The Anglo-American Root of Directors’ General Duties in PRC Company Law,101
3,3. Why Case Review?,102
3,4. Sources of Cases,103
2,III. Position of Beijing Courts Regarding Directors’ General Duties,104
2,I. Introductory Remarks,119
2,II. Basic Legal Structure of Directors’ Liability,121
3,1. Non-Contractual and Mandatory Liability under § 93 AktG,121
4,"a) Specifications of Directors’ Duties — Care, Loyalty and Legality",121
3,2. Basis of Liability: Breach of Directors’ Duties,121
4,b) The So-called Mortal Sins,122
4,c) Individual Culpability,122
3,3. Recognition of Directors’ Discretion (Safe Harbor),123
4,a) Entrepreneurial Decision,124
4,b) Acting for the Benefit of the Company,125
4,c) No Evident Violation of Corporate Interests,125
4,d) Adequate Information,125
3,4. Burden of Proof: Breach of Duty and Causation,125
3,"6. Limits to Liability through Disclaimers, Waivers (etc.) on the Part of the Corporation",127
4,a) Ex Ante Disclaimer: Provisions in the Corporate Charter or in the Employment Contract,127
4,c) Ex Post Measures: Waiver and Settlement,128
4,d) Coverage of a Director’s (Personally Incurred) Penalties by the Corporation,129
3,7. D&O Insurance,129
4,a) Enforcement by the Supervisory Board — Mandatory Enforcement Under the ARAG/Garmenbeck Doctrine,130
4,(2) Minority Initiative,131
4,(3) Relevance of Derivative Suits,132
3,9. Statute of Limitations,133
2,I. Fundamental Issues Under Current Discussion — Key Arguments,133
3,1. Duty of Legality,133
4,a) Legal Source: Protection of the Infringed Law in Question (not Protection of the Corporation),133
4,b) Adjustment for Profits,134
4,c) Organizational Safeguards — Compliance Requirements,135
3,2. Business Judgments — Protection of Directors’ Discretion,136
4,a) Defining a “Safe Harbor” for Business Judgments — Limits to Legal Certainty,137
4,b) Ex Ante Perspective and the Standard of Evidence,137
4,c) The Function of Reasonable Information,138
4,d) Discretion in Questions of Law — “Legal Judgments”,138
3,3. Collective and Individual Responsibility,139
4,a) Division of Functions and Individual Responsibility,140
4,b) Responsibility for Participation in a Board Decision,140
3,4. Privileges for Directors Resulting from General Principles and Judge-Made Law,141
4,a) Application of the Doctrine of Employee Privilege,141
4,b) Privilege Based on the Corporation's Duty of Loyalty,143
4,c) Privilege with Regard to Fines Imposed Upon the Corporation,143
4,d) The Unambiguous Denial of Any Privilege by the Positive Order of § 93 AktG,145
3,5. Enforcement by the Supervisory Board,146
4,a) Duty to Enforce Claims Against Directors (ARAG/Garmenbeck Case),146
4,b) Duties and Discretion with Respect to Negotiating Settlements Concerning Director’s Liability,148
2,IV. Conclusions,149
2,I. Introduction,154
2,II. Legal Capital under Japanese Law,156
3,1. Differences from German Law a) No Minimum Capital Requirement,156
4,b) No Duty of Directors upon Loss of One Half of Legal Capital or Insolvency,156
4,c) Calculation of the Amount of Legal Capital,157
3,2. Commonalities with German Law a) Restrictions on Distributions to Shareholders,158
4,b) Regulation of Contribution to Shares,159
2,Ill. Paradigm Shift of 2005,159
3,1. Traditional View,159
3,2. Functional Approach of the Companies Act 2005,160
3,3. Deregulation of Contributions to Shares a) Contributions in Cash,161
4,b) Contributions in Kind,162
4,c) Liability for Unpaid Shares,162
3,4. Abolishing the Minimum Capital Requirement,163
3,5. Any Effect on New Businesses?,165
2,IV. Shareholder’s Liability for Undercapitalization,167
3,1. Ex Post Liability for Lack of Adequate “Cushion”?,167
3,2. Limited Liability and Incentive of Shareholders,168
2,V. Conclusion: Future of Legal Capital in Japan,169
1,Capital Maintenance,172
2,II. The Scope of the Capital Maintenance Rules,176
3,1. Open Distributions Through Dividends or Share Repurchases,177
3,2. Disguised Distributions,178
4,a) The Concept of Disguised Distributions,178
4,"b) Book Values, Market Values and Business Interests of the Company",178
4,c) Examples,180
5,(1) Company Loans to Shareholders,180
5,(2) Collateral for Shareholder Loans,181
5,(3) Assumption of Prospectus Liability in a Secondary Placement of Shares,181
4,d) Disguised Distributions and Transactions with Shareholders in Their Capacity as a Third Party Distinguished,183
5,(1) Nexus between Transaction and Shareholder Status,183
5,(2) Claims of Investors Because of Fraud or Misrepresentation,184
4,e) Disguised Distributions Involving Third Parties,186
2,Il. Legal Consequences of Violations of the Capital Maintenance Provisions,187
3,1. The Issue of Intra-Group Transfers,188
4,a) The Bifurcated Statutory Groups of Companies Law Regime of the Aktiengesetz,189
