1,"Jurisdiction, Applicable Law, and the Recognition of Judgments in Europe, Japan and the US",4
2,Preface,6
2,Table of Contents,8
2,Contributors,10
2,II. Intellectual Property: An Oscillating Concept,16
2,III. Territoriality,18
2,IV. Globalization and Intellectual Property,21
2,V. Intellectual Property and Neighboring Categories of Law,22
2,VI. A Survey of Choice-of-Law Principles,23
3,1. Lex loci protectionis,23
3,2. Lex originis,25
3,3. Lex contractus,25
3,4. Lex fori,28
2,VII. Initial Ownership,29
3,1. Positive Law,29
3,2. Inconvenience of the lex loci protectionis,30
3,3. The Solution: The lex contractus or Party Autonomy,32
2,VIII. Multi-State Infringements,35
3,1. Basic Principle: lex loci protectionis,35
3,2. Unitary IP Rights,36
3,3. Ubiquitous Infringements,38
2,IX. Conclusion,39
2,I. Introduction,42
2,II. History and ambitions,43
2,III. Jurisdiction,46
2,IV. Applicable Law,51
3,1. Territoriality,51
3,2. Title to IP rights,53
3,3. Transfers and licenses,54
2,V. Recognition and enforcement of foreign judgments,57
3,1. Mandatory grounds to refuse recognition and enforcement,58
2,VI. Conclusion,59
2,Summary of Discussion on Foundations by Paulius Juréys and Simon Vande Walle,60
2,I. Introduction,64
2,II. The past: Strict territoriality of intellectual property litigation,65
2,III. The present: Rise and fall of cross-border enforcement under the Brussels regime,65
2,IV. A (possible) future: The CLIP Principles,68
3,1. General jurisdiction,69
3,2. Exclusive jurisdiction,70
3,3. Special jurisdiction,73
4,a) Infringement,73
4,b) Contractual claims,80
4,b) Actions Concerning the Ownership of IP Rights,101
2,II. International Jurisdiction over Actions Concerning Intellectual Property Contracts,102
3,1. General Remarks,102
3,2. The Current State of Japanese Law,102
3,3. International Situation,103
3,4. International Jurisdiction over Actions Concerning Contracts Relating to IP Rights in the Transparency Proposal,103
2,IV. International Jurisdiction and IP Infringement Claims,105
3,1. Status Quo,105
3,2. The Transparency Proposal,109
2,V. Choice-of-Court Agreements,111
3,1. General Remarks,111
3,2. Choice-of-Court Agreements in Japan,111
3,3. Foreign Law,114
4,a) The 2005 Hague Choice of Court Convention,114
4,c) The ALI Principles,117
3,4. The Transparency Proposal,117
2,VI. Exceptions Based on Public Interest Policy Considerations,118
3,1. Status Quo,118
3,2. The Transparency Proposal,119
2,VII. Joinder of Claims in Intellectual Property Cases,120
4,a) Circumstances Where Objective Joinder Becomes an Issue in International Disputes on Intellectual Property,120
5,b) Objective Joinder under the Current Law (1) Japan,121
5,(2) Other countries,122
4,c) Proposals for Conventions and Legislation,124
4,d) Comments on the Transparency Proposal,126
4,a) Circumstances Where a Subjective Joinder Becomes an Issue in International Disputes on Intellectual Property,129
5,b) Subjective Joinder under the Current Law (1) Japan,130
5,(2) Other Countries,132
4,c) Proposals for Conventions and Legislation,135
4,d) Comments on the Transparency Proposal (1) Subjective Joinder (Paragraph 2),137
5,(2) “Spider in the Web” (Paragraph 3),137
2,VIII. International Jurisdiction and Provisional Measures,139
3,1. Circumstances Where Provisional Measures Become an Issue in International Disputes over Intellectual Property,139
3,2. Jurisdiction to Order Provisional Measures under the Current Law a) Japan,139
4,b) Other Countries,142
3,3. Proposals for Conventions and Legislation,143
3,4. Comments on the Transparency Proposal,145
2,IX. Parallel Proceedings,147
3,1. Circumstances Where International Parallel Litigation Becomes an Issue in International Disputes on Intellectual Property,147
3,2. International Parallel Litigation under the Current Law a) Japan,147
4,b) Other Countries,149
3,3. Proposals for Conventions and Legislation,150
4,Article 7(2) Rules relating to International Parallel Litigation,150
5,2. (First drafting proposal),151
2,X. Concluding Remarks,156
2,I. Introduction,168
2,II. Initial Ownership and Transferability,170
3,1. Initial Ownership,170
4,a) Copyright,171
4,b) Registered rights,173
3,2. Transferability,174
3,3. Co-ownership,175
2,III. Contracts and Related Questions,177
3,1. Characterization,177
3,2. Applicable Law in the Absence of Choice,178
3,3. Employment Relationships,180
3,4. Questions Not Dealt with in the Principles Regarding Contract Law,181
2,IV. Infringement and Remedies,182
3,1. Territoriality as the Basic Principle,182
4,a) De minimis rule,183
4,b) Ubiquitous infringement,184
4,c) Freedom of choice,187
5,Article 8. No Governing Law Chosen by the Parties,228
4,b) The ALI Principles,233
4,c) CLIP Principles,233
4,d) Waseda Project Proposal,233
5,Article 19 (Parties’ Choice of Governing Law Relating to Transfer or License of Intellectual Property Rights),234
5,Article 20 (Governing Law in the Absence of Parties’ Choice),234
2,VIII. Security Interests to Intellectual Property Rights,236
2,IX. Concluding Remarks,237
2,Appendix,238
3,Copyright Act,238
3,Unfair Competition Prevention Act,238
4,Article 2 (Definitions),238
2,Summary of Comments and Discussion on Applicable Law,240
2,Recognition and Enforcement of Judgments in Intellectual Property Litigation: The CLIP Principles,250
3,Significance of recognition and enforcement in IP Litigation,250
3,II. Application of part 4 of the CLIP Principles,256
3,III. Effects of judgments,262
3,IV. Recognition and enforcement: procedural aspects,274
3,V. Finality of the judgment and provisional measures,278
3,VI. Verification of the jurisdiction of the rendering court,282
3,VII. Substantive public policy,291
3,VIII. Procedural public policy,296
3,IX. Other grounds for non-recognition,300
2,Judgments and Provisional Measures of Foreign Courts,304
3,Recognition and Enforcement under the Transparency Proposal,306
4,I. Introduction,306
4,II. Judgments and Provisional Measures of Foreign Courts,307
5,b) Provisional Measures,314
5,c) Judgments not “final and binding”,317
4,III. Recognition and Enforcement of Final and Binding Judgments of Foreign Courts,318
6,(1) Standards for Indirect Jurisdiction,321
6,(2) Purposes of the System of Recognition and Enforcement of Foreign Judgments,322
5,b) Comment,325
6,(1) Structure of the Proposal,329
6,(2) Non-application of International Mandatory Rules of the Country that Granted the Right,331
6,(3) Discrepancy with the Status of a Right in the Granting Country,333
6,(4) A Proper Opportunity to Produce Allegations Concerning the Validity and Scope of a Right,334
6,(6) Territoriality Principle,335
6,(7) Other factors,336
5,b) Comments,337
6,(1) Foreign Judgment Resulting from International Parallel Litigation,337
6,(2) Foreign Judgment Incompatible with Japanese Judgment,338
5,b) Comment,341
6,(1) Purpose,341
6,(2) Standards for Reciprocity,341
4,IV. Enforcement of Foreign Provisional Measures and Foreign Not “Final and Binding” Judgments,342
5,b) Comments,343
6,(1) Purpose,343
6,(2) Opportunity for a Hearing,343
6,(3) Opportunity to State Opinion on the Validity of Rights,344
6,(4) Provision of Security,345
6,(5) Stay of Proceedings,345
5,b) Comments,346
6,(1) Purpose,346
6,(2) Provision of Security,347
6,(3) Stay of Proceedings,347
4,V. Effects of Foreign Judgments and Provisional Measures,348
5,a) Effect of Judgments or Provisional Measures in Partial Recognition and Enforcement,349
5,b) Effect of Foreign Judgments Confirming Invalidity of Rights,350
5,c) Provision of Adequate Compensation where a Compulsory License is Granted,350
4,VI. Concluding Remarks,350
4,Summary of Comments and Discussion on Recognition and Enforcement,352
5,Discussion,354
2,Annex I,358
3,American Law Institute (ALI),358
4,Part I Definitions and Scope of the Principles,358
5,Chapter 1 In General,369
6,§ 302. Agreements Pertaining to Choice of Law,369
5,Chapter 2 Title to and Transfer of Rights,370
6,§ 311. Initial Title to Registered Rights,370
6,§ 312. Initial Title to Unregistered Trademark and Trade-Dress Rights,370
6,§ 313. Initial Title to Other Rights That Do Not Arise Out of Registration,370
6,§ 314. Transferability,371
6,§ 315. Transfers of Title and Grants of Licenses,371
6,§ 316. Transfers by Operation of Law (Involuntary Transfers),371
6,§ 317. Security Interests,372
5,Chapter 3 Residual Principles Regarding Choice of Law,372
6,§ 321. Law or Laws to Be Applied in Cases of Ubiquitous Infringement,372
6,§ 322. Public Policy (ordre public),372
6,§ 323. Mandatory Rules,373
5,Preamble,381
5,Part 1: Scope,383
6,Article 2:201: Matters relating to a contract,384
6,Article 2:202: Infringement,384
6,Article 2:203: Extent of jurisdiction over infringement claims,385
6,Article 2:204: Civil claims arising out of criminal proceedings,385
6,Article 4:203: Findings of fact,402
5,Section 6: Exclusion of substantive review,403
6,Article 4:601: Exclusion of substantive review,403
5,Section 7: Procedure,404
5,Coordination of proceedings,408
6,Article 201. International Parallel Litigation,408
5,Applicable law,409
6,Article 301. Intellectual Property Infringement,409
6,Article 302. “Ubiquitous Infringement”,409
6,Article 303. Unfair Competition,409
6,Article 304. Change of Applicable Law by the Parties,410
6,"Article 305. Existence, primary ownership, transferability and effects of intellectual property rights",410
6,Article 306. Governing Law of Contracts for the Transfer or Licensing of Intellectual Property Right,410
6,Article 307. Formalities of a contract concerning intellectual property rights,411
6,Article 308. Security Interests,411
5,Recognition and Enforcement of Foreign Judgments,411
6,Article 401. Judgments and Provisional Measures of Foreign Courts,411
6,Article 402. Recognition and Enforcement of a Final and Binding Judgment of a Foreign Court,412
