1,Necessity or Nuisance?,1
2,Table of Contents,9
1,Part Three: Perception of the Value of Human Rights Law from the View of Practitioners,14
2,Chapter One: Perceptions of Human Rights Law in a Diverse Professional Environment,14
3,Introduction,17
4,2. Approach and Demand for Research,21
3,II. Scope and Methodology,22
2,Chapter One: Introduction,29
3,I. Ad Hoc Tribunals,35
4,2. What are ‘internationally recognized human rights’?,42
2,Chapter Three: Human Rights Law and Substantive International Criminal Law,46
4,1. Hierarchy vs Horizontal Completion,50
4,2. Structural Differences vs Universality,55
3,II. Legal Basis for the Application of Extra-Statutory Substantive Law,60
4,1. Ad Hoc Tribunals,61
4,2. ICC,62
5,a. Art. 21 (3) Rome Statute,63
5,b. Art. 21 (1) (b) Rome Statute,64
5,c. Guidance and Interpretational Aid,68
4,1. The concept of nullum crimen sine lege?,69
4,2. Nullum Crimen Sine Lege in International Criminal Law,70
4,3. How is this area of conflict solved in international criminal jurisprudence?,76
2,Chapter Four: Concluding Remarks,81
2,Chapter One: Prohibition of Torture and ‘Other Inhumane Acts’,85
3,1. The Specific Elements in the Definition of Torture as a Crime against Humanity,84
4,a. Akayesu,85
4,b. Delalić and others (Čelebići),86
4,c. Furundžija,90
4,d. Kvočka,94
4,e. Krnojelac,97
4,f. Kunarac and others,97
4,g. Brđanin,104
2,Chapter Two: Minority Rights Law,125
3,I. What is a Minority in the Context of Crimes under International Law?,124
3,II. Where Has Minority Rights Law Been Referred to?,127
3,III. Where Could Minority Rights Law Have Been Referred to?,129
4,2. The Definition of Persecution,132
4,3. The Definition of a Stigmatised Group within the Crime of Persecution,134
3,IV. Where is the Link?,135
4,1. State Obligations regarding the Protection of Minorities from Crimes under International Law,135
5,b) International Covenant on Civil and Political Rights,139
5,d) Responsibility to Protect,144
5,e) International Convention on the Elimination of All Forms of Racial Discrimination,145
5,f) Council of Europe Framework Convention for the Protection of National Minorities,146
5,g) Other Instruments Relevant to the Protection of Minorities from Crimes under International Law,147
4,2. Protection of Minorities under International Criminal Law,149
5,a) Genocide (Art. 6 Rome Statute),149
5,b) Crimes against Humanity/Persecution,153
6,(1) Important Developments in Terms of Minority Protection,153
7,(1.1) Crimes against Humanity and Armed Conflict,154
7,(1.2) Crimes Against Humanity and Non-State Actors,156
6,(2) Specific Crimes and Their inherent Minority Element (2.1) Murder/Extermination,157
7,(2.2) Deportation or Forcible Transfer of Population,158
7,(2.4) Persecution as a Crime against Humanity with a Particularly Prominent Minority Element,159
7,(2.5) Enforced Disappearance of Persons,162
7,(2.5) The Crime of Apartheid,162
5,c) ‘Ethnic Cleansing’ in International Criminal Law,163
5,d) War Crimes (Art. 8 Rome Statute),166
6,(1) International Armed Conflicts,168
6,(2) Non- International Armed Conflicts,169
4,V. Concluding Remarks,170
4,I. Where Were Women’s Human Rights Referred to?,175
5,1. Sexual Assault as Persecution,175
5,2. Rape as Torture,177
4,II. Where Could Women’s Human Rights Have Been Referred to?,183
5,1. Genocide,183
5,2. Definition of Rape,185
5,3. Persecution,192
5,1. State Obligations regarding Violence against Women,197
6,a. International Covenant on Civil and Political Rights,199
6,"b. International Covenant on Economic, Social and Cultural Rights",202
6,d. International Convention on the Elimination of all Forms of Racial Discrimination,210
6,e. UNGA Declaration on the Elimination of Violence against Women,210
6,f. African Charter on Human and Peoples Rights (Banjul Charter),211
6,g. Beijing Declaration and Platform for Action,212
5,2. Protection of Women against Gender-Based Violence in International Criminal Law,213
6,a. Genocide,214
7,b. Crimes against Humanity (1) Sexual Violence,216
7,(2) Persecution,216
7,(3) Enslavement/ Sexual Slavery,220
6,c. War Crimes,221
4,IV. Concluding Remarks,226
3,Chapter Four: Conclusions Drawn from Case-Law Analysis,228
2,Part Three: Perception of the Value of Human Rights Law from the View of Practitioners,233
3,Chapter One: Perceptions of Human Rights Law in a Diverse Professional Environment,233
4,I. Safeguarding Professional Diversity on the Bench at the ICC and the ICTY,239
5,1. General attitude of judges towards the importance of HRL in ICL,243
5,2. Specific relevance of the recourse to human rights law in substantive international criminal law,245
4,II. Professional and Personal Factors Contributing to the Attitude towards International Human Rights Law,247
5,1. Public International Law Experts/(National) Criminal Law Experts,247
5,2. Common Law/Civil Law,249
5,3. Academics/Practitioners,250
3,Chapter Two: Concluding Remarks,252
2,Conclusion,255
2,Annex,265
3,Cases,267
3,Literature,284
