1,Reconsidering Constitutional Formation I National Sovereignty,4
2,A Comparative Analysis of the Juridification by Constitution,4
2,Contents,8
2,Contributors,14
2,Juridification by Constitution. National Sovereignty in Eighteenth and Nineteenth Century Europe,15
3,2 Method of Comparative Constitutional History,19
4,2.1 Targeted Sources of ReConFort,19
4,2.2 Methodological Challenges: Finding the Tertia Comparationis,20
4,2.3 Constitutionalisation by Public Sphere,21
5,2.3.1 Press Media as Roadster of Politicisation,21
5,2.3.2 Importance of Cross-Border News: The American Revolution in the Polish Public Discourse,23
4,3.1 In General: The Nation’s Start as Singular State Organisational Legal Point of Reference,27
4,3.2 The Various Interpretations of National Sovereignty in the Works of Sieyés,32
5,3.2.1 Anti-estate Societal Meaning of National Sovereignty,33
5,3.2.2 Anti-monarchical Meaning of National Sovereignty,34
5,3.2.3 The National Sovereignty as Idea or Principle of an “ordre nouveau”,35
4,3.4 The Nation in the Polish May-Constitution 1788,43
5,3.4.1. Old Republicanism as an Integral Part of the Juridification by Constitution,43
5,3.4.2 The Procedural Openness of May Constitution as Reflex onto the Juridification of National Sovereignty,47
5,3.5.3. The Natural Origin of National Sovereignty as a Limitation for the Monarchical Sovereignty,58
5,3.5.4 Primacy of the Cortes in the Constitution of Cadiz,60
5,3.5.6 Struggle of the realistas for the Monarchical Principle,65
5,3.5.7. Contemporary Ambigous Evaluation of the Cadiz Constitution,66
4,3.6 The Constituent Sovereignty in the Norwegian Grunnloven,68
5,"3.6.1 Eidsvoll Debates and the Norwegian Grunnloven of May 17, 1814",69
5,3.6.3 Relationship Between Monarch and Parliament in the Norwegian Grunnloven,72
4,3.7 The Lack of the Notion Sovereignty in the French Charte Constitutionnelle 1814,80
4,4.1 The Constitutional Movement After the French July Revolution 1830,81
4,4.2 Belgian Constitution of 1831,84
4,4.3 Parliamentarism in England,86
3,5 Octroi of the Statuto Albertino 1848,88
4,5.2 Italian costituzione flessibile Under the Statuto Albertino,90
3,6 Improvised Parliamentarism in the Frankfurt National Assembly,93
3,7 Summary and Outlook,95
3,References,97
3,National Sovereignty in the Belgian Constitution of 1831. On the Meaning(s) of Article 25,107
4,1 Introduction,108
4,2 Parliament Versus King,110
5,2.1 Parliament as the Sole Representative of the Nation,110
5,2.4 Nation Versus King,121
5,2.5 The Royal Veto and the National Will,124
5,2.6 Republican Monarchism,127
5,2.8 The Constitutional Powers of the King,135
4,3 National or Popular Sovereignty?,140
5,3.1 A False Opposition,140
5,3.2 The Limitation of Political Participation,145
4,4 Reception,148
5,4.1 The Contested Nature of Popular Sovereignty,148
5,"4.2 Legal Order, Legitimate Representation and Political Participation",153
4,5 Conclusions,160
4,6 Summaries (French & Dutch),162
5,6.2 Nationale soevereiniteit in de Belgische Grondwet van 1831. Over de betekenis(sen) van artikel 25,164
4,References,166
3,of ‘Representative Government’ under the Albertine Statute (1848-1861),172
4,"1 Parliament, Consensus and Public Opinion",173
4,2 Between Lemmas and Culture,176
5,"2.2. Culture, Foreign Models and Coeval Experiences",182
5,"2.3. The Sovereign Power between Dictionaries, Political Catechisms and Newspapers",189
6,2.3.1 Dictionaries,190
6,2.3.2 Political Catechisms,191
6,2.3.3 Newspapers,193
4,4 From Words to Practice. Initial Steps of the ‘Representative Government’,201
5,4.1 Massimo D’Azeglio and the Defence of the Representative Government,209
4,5 Towards National Unification,212
4,6 Conclusion,216
4,7 Summary (Italian),219
4,References,221
3,“Nihil sine nobis de nobis” (nobility parole),228
4,1 Introductory Remarks,229
4,2 Planes of Discussion,231
4,3 Characteristics of Sources,233
4,4 Some Aspects of the Discourse on Sovereignty in the Poland of Enlightenment,237
5,4.1 Sovereignty as a Theoretical Problem,237
6,4.1.1 Introduction,237
6,4.1.2 ‘Sovereignty’ in Media and Free Prints Debate,242
6,4.1.3 ‘Sovereignty’ in Parliamentary Debate,242
6,4.1.4 ‘Sovereignty’ in Legal Acts,244
5,4.2. The Nation,246
6,4.2.1 Introduction,246
6,4.2.2 ‘The Nation’ in the Media and Printed Materials,248
6,4.2.3 ‘The Nation’ in the Parliamentary Debate,254
6,4.2.4 ‘The Nation’ in Constitutional Acts,260
6,4.3.2 The Monarch in the Debate of Public Media,263
6,4.3.3 The Monarch in the Parliamentary Debate,265
6,4.3.4 The Monarch in the Constitutional Acts,269
4,5 Summary,270
4,6 Summary (Polish),272
4,References,274
4,Appendix,278
5,"Our Free Royal Cities in the States of the Rzeczpospolita of April 18, 1791",278
6,Article I,278
7,On the Cities,278
6,Article II,280
7,On the Rights of the Town Citizens,280
6,Article III,283
7,On the Justice for the Citizens,283
4,About the Authors,287
4,Index,289
