2,2. Agenda 21 (1992),22
2,3. Convention on Biological Diversity (1993),22
2,4. UN Framework Convention on Climate Change (1994),23
3,a) Responsibility for Vulnerable Countries,24
3,b) Push Factors,24
3,c) Expert Group on Transfer of Technology,25
3,d) Bali Action Plan and Technology Transfer,25
3,e) Ad Hoc Working Group on Long-term Cooperative Action,25
2,5. UN Convention to Combat Desertification (1996),27
2,6. Kyoto Protocol (1997),27
2,2. Exceptions to Rights under TRIPS Article 30,28
2,3. Compulsory Licensing under TRIPS and Beyond a) For Public Health,30
3,b) For Climate Change?,31
2,A. Role of Patent Law 1. TRIPS Article 27(2) and Ordre Public,34
2,B. Standardization and Patent Pooling 1. Green Technology Standards and Patent Pools,69
3,2. The Unocal Case: Abuse in Law of Environmental Standards,70
3,3. Green Technology Standards and IP Policies,71
2,List of Works Cited,80
