1,UN Human Rights Institutions and the Environment,4
1,Abbreviations,10
1,PART II Charter-Based Mechanisms,11
1,Foreword,16
1,Acknowledgments,18
1,International Cases and Complaints to Human Rights Treaty Bodies,22
1,Table of Treaties and Other Instruments,24
1,Institutions and the Environment,30
2,Framing the Issues,30
3,1.1 Introduction,30
3,1.2 Environmental Issues Covered,33
4,"1.2.1 Environmental Pollution, Environmental Degradation and Environmental Protection",33
4,1.2.2 Climate Change,33
4,1.2.3 Sustainable Development and Sustainable Development Goals,34
4,1.2.4 Other Issues Covered,35
3,1.3 Methodology,35
3,1.4 Outline of the Book and Overview of Chapters,35
3,Notes,38
3,2.1 Introduction,42
3,2.2 An Overview of International Human Rights Law,42
4,2.2.1 International Bill of Rights,44
4,2.2.2 Typology of Rights,44
3,2.3 An Overview of Human Rights Institutions,45
4,2.3.1 Treaty-Based Mechanisms,45
4,2.3.2 Charter-Based Mechanisms,46
4,2.3.3 Office of the High Commissioner for Human Rights,47
3,2.4 Rights Affected by Environmental Degradation,47
4,2.4.1 Right to Life,48
4,2.4.2 Right to Health,48
4,"2.4.3 Rights to Food, Water and Sanitation",49
3,2.5 Specialized Treaties on Vulnerable Groups,50
3,2.6 Emergence of Environmental Rights and the Right to a Healthy Environment,50
4,2.6.1 Articulation of Environmental Rights,51
4,2.6.2 Developments at the UN: The Creation of Special Mandates,53
3,2.7 Other Global Efforts to Recognize Environmental Rights,54
4,2.7.1 Draft International Covenant on the Human Right to the Environment,54
4,2.7.2 Global Pact for the Environment,54
3,2.8 Regional Developments,55
3,2.9 Developments at the National Level,56
3,2.10 Conclusion,57
3,Notes,57
3,References,62
3,3.1 Human Rights Council,68
4,3.1.1 Introduction and Mandate,68
4,3.1.2 Universal Periodic Review and Working Group Recommendations,69
5,3.1.2.1 Environmental Protection,70
5,3.1.2.2 Climate Change,72
5,3.1.2.4 Indigenous Rights,76
5,3.1.2.5 Business Enterprises and Transnational Corporations,78
4,3.1.3 Resolutions of the HRC,78
5,3.1.3.1 Environmental Protection/Degradation,78
5,3.1.3.2 Climate Change,80
5,3.1.3.3 Sustainable Development and SDGs,81
3,3.2 Office of the High Commissioner for Human Rights,82
4,3.2.1 Environmental Protection/Degradation,82
4,3.2.2 Climate Change,83
4,3.2.3 Sustainable Development and SDGs,88
3,3.3 Conclusion,89
3,Notes,90
3,References,97
2,Mandate Holders,102
3,4.1 Introduction,102
3,4.2 Appointment of a Special Rapporteur on Human Rights and the Environment,102
3,4.4 Independent Expert on Human Rights and the Environment,105
3,4.5 Special Rapporteur on Human Rights and Environment,106
4,4.5.1 Framework Principles on Human Rights and Environment,107
3,4.6 Special Rapporteur on Cultural Rights,113
3,4.7 Special Rapporteur on the Right to Food,116
3,4.8 Special Rapporteur on Extreme Poverty and Human Rights,122
3,4.9 The Working Group on Human Rights and Transnational Corporations and Other Business Enterprises,124
3,"4.10 Special Rapporteur on Contemporary Forms of Racism, Racial Discrimination, Xenophobia, and Related Intolerance",125
3,4.11 Special Rapporteur on Indigenous Peoples,127
3,4.12 Special Rapporteur on Climate Change and Human Rights,130
3,4.14 Conclusion,132
3,Notes,132
3,References,140
3,5.1 Introduction and Mandate,146
3,5.2 General Comments,147
4,"5.3.1 Environmental Pollution, Environmental Management and Natural Resource Management",150
4,5.3.2 Climate Change,151
4,5.3.3 Indigenous Peoples,152
3,5.4 Individual Communications,154
3,5.5 Conclusion,164
3,Notes,165
3,References,170
2,"6 Committee on Economic, Social and Cultural Rights",174
3,6.1 Introduction,174
3,6.2 General Comments,175
3,6.3 Concluding Observations,181
4,6.3.1 Climate Change,181
4,"6.3.2 Environmental Pollution, Environmental Degradation, and Environmental Impact of Mining Operations and Extractive Industries",185
4,6.3.3 Sustainable Development and Sustainable Development Goals,194
4,6.3.4 Indigenous Rights,195
4,6.3.5 Human Rights Defenders,199
3,"6.4 Resolutions, Statements, and Press Releases",200
3,Notes,201
3,References,214
3,7.1 Introduction and Mandate,218
3,7.2 General Recommendations,219
4,7.2.1 Sustainable Development and SDGs,220
4,"7.2.2 Environmental Impact Assessments and Free, Prior, and Informed Consent",221
4,7.2.3 Climate Change,222
3,7.3 Concluding Observations,226
4,7.3.1 Climate Change,226
4,7.3.2 Sustainable Development Goals,233
4,7.3.3 Environmental Pollution,234
4,7.3.4 Renewable Energy,237
4,7.3.5 Women Human Rights Defenders,238
3,7.4 Conclusion,238
3,Notes,239
3,References,248
3,8.2 General Comments,254
4,8.4.1 Amici Curiae Brief of Special Rapporteurs,273
3,Notes,280
3,References,290
3,Notes,313
3,References,320
2,"Reflections, Challenges, Trajectories",324
3,Notes,330
3,References,330
2,Index,332
