1,a kind of mending,1
2,Restorative Justice in the Pacific Islands,3
3,re-inventing the cultural wheel: re-conceptualising restorative justice and peace building in ethnically divided fiji,8
1,acknowledgements,9
2,list of abbreviations,10
3,an introduction,15
4,'of MARIANA',12
5,'ROTUMA-',12
1,About the Conference,15
3,Order Without State,21
4,differentiated legal system.,22
5,Colonial Interludes,23
1,civilisation to the exclusion of all else,24
2,Post-independence Law and Order,26
3,peace to communities',35
4,What the Chapters say,36
5,Conclusions,45
1,Acknowledge,46
4,Endnotes,57
2,Introduction,59
3,The history of Pari village,61
4,The construction of Pari’s modern identity,68
5,Negotiating profane modern sociality,72
1,become violent when drunk.,72
2,The age of steam,75
1,Conclusions,81
3,Endnotes,82
4,Braithwaite 1999: p 6,82
1,Taurama—Oral sources for a study of recent Motuan,83
2,tribal warfare and transformative justice in the new guinea highlands,87
3,Introduction,87
4,we marry the people we fight,90
1,Kompiama and wider Enga area is the oft-quoted saying,90
2,warfare take place among contiguous groups,90
3,Warfare and exchange in the Ku Waru area,90
2,*lalibu,91
3,Tambul Range,93
4,bring newspaper reporters and Radio Western,102
1,and fifty five kina,102
2,Conclusion,103
3,Endnotes,105
2,Background,109
1,Introduction,110
2,The fears,110
3,The hopes,111
4,Conclusion,113
5,restorative programs in the formal justice system of vanuatu,119
1,Administrative bodies and adjudication,119
2,Courts and ADR,120
3,Use of ADR in the criminal justice system,121
4,Use of ADR as an alternative to trial in cases involving juveniles,121
5,Consent order,122
1,Conclusion,122
2,Papua New Guinea,123
5,Current Situation,123
1,Impact on and Benefits for the Community,126
2,The future,126
3,A case study in bride price,127
4,Community development and restorative justice,129
1,What then is development?,129
2,Restorative justice: an aspect of community development,131
3,Self determination,132
4,Example 1,134
5,Example 2,135
1,Role of change agents,135
2,Conclusions,136
3,rehabilitation for change in fiji: a women’s initiative,137
4,Background,138
1,Age group 1994 1995 1996 1997 1998 Under 17 years,139
2,Under 17 years,139
2,17-20 years,139
3,21-25 years;26-50 years;Over 50 years,139
2,Source: Fiji Ministry of Justice — Prisons Department,139
1,Ethnicity 1994 1995 1996 1997 1998,140
2,Indigenous Fijian;Rotuman,140
2,Source: Fiji Ministry of Justice — Prisons Department,140
1,What I Like In Prison,142
2,Methodology,142
3,Aims,142
4,Endnotes,152
1,Rationale of the Juvenile Justice Project,153
3,° how will cases defined as criminal or civil be negotiated?,155
2,The project’s objectives,156
1,Research and consultation process,156
2,Training and orientation of project staff in the field of juvenile justice,157
3,Organisation of national summit meeting,157
4,Drafting of a plan of action,157
5,the lakalabulu area council of chiefs in vanuatu,159
1,Paul Vuhu General Secretary of the Lakalakabulu Area Council of Chiefs,159
2,the National Constitution recognises under,160
2,National Constitution recognises under Article,160
3,institutions to resolve land disputes; and the,160
3,and other matters ... therefore the Lakalakabulu,160
1,re-conceptualizing restorative justice and peace building in ethnically divided Fiji,163
2,Introduction,163
3,Inter-ethnic conflict in Fiji,165
4,Claims to legitimacy,165
1,Institutionalised conflict,166
2,the means by which separate identities are formally defined and reproduced.,167
3,Socio-economic distribution,167
4,Inter-cultural discourse,167
5,Ethnic conflict and the syncretic syndrome,168
1,Restorative justice through customary socio-cultural mechanisms,169
2,The Veisorosorovi (VSS) Model,170
3,The Ceremonial setting,171
4,Admission of mistakes,171
5,Reciprocal engagement,172
1,Pre-emptive approach,172
2,Trust and expectations,173
3,Transforming and crystallizing collective relations,173
4,Some shortcomings of VSS,173
5,Re-contextualizing the VSS model for inter-communal peace building in Fiji,174
1,Mobilising aspects of local culture as means of addressing conflict is an important dimension of restorative justice.,175
2,Conclusion,175
2,When Europeans began arriving in large numbers in the,179
1,Fijian Socio-Political Structure,180
2,Village Council (headed by the Turaga ni Koro),181
1,Traditional Leadership Within the Fijian Social System,182
3,Rural/Urban Distribution of Indigenous Fijians in the,183
2,Table 1 ,183
2,Ethnic Origins of Prisoners in Fiji from 1988 to 1991,185
1,Year Fijian (%) Indian(%) Others (%) Total Number,185
2,The Fijian Challenge,186
3,Informal Justice and the Role of the Ministry of Fijian Affairs,188
4,Conclusion,189
5,Endnotes,190
1,Bureau of Statistics 1996. ‘Census of Population and Housing: General Tables’,190
2,A Mixed Bag,191
2,Cultural Relations,192
3,Traditional Worries,194
3,Expectations of Restitution,195
1,The Present Conflict,195
2,Guale Attack,196
2,The Eye of the Storm,197
3,Mala Retaliation,198
2,Present Problems,199
1,Seeking Reconciliation,201
2,Value of Cash,203
2,Complications,204
3,Corporate Compensation,204
3,Biblical Approaches,205
1,Church means the Way,207
2,Casual Presumptions,207
3,Moving On,208
4,Bougainville women's role in conflict resolution in the Bougainville peace process,209
5,Some background to the current situation in Bougainville in the year 2000,210
2,Potential difficulties and conflicts in traditional restorative justice,212
3,The ‘haves’ and the ‘have nots’ in urban areas,212
4,Example 1,212
1,From pockets of Bougainville,213
2,My involvement in the peace process,216
3,Women’s efforts in conflict resolution and restorative justice,216
1,The women’s role in the peace process,217
3,Bougainville Women for Peace and Freedom (BWPF),219
2,A team of four women. Turning a small meeting into a big meeting,221
1,common goal of freedom,226
2,Why did the peace process work in Bougainville?,226
1,Endnotes,227
1,restorative justice in bougainville,229
1,Theodore Miriung’s vision in Bougainville,230
2,We are planning to develop our government on the,230
3,Peace Foundation begins training in Buka,231
4,Target group for training,231
5,Process of training adult education,231
1,Selecting trainers for Buka,232
2,Effects of courses on the participants,232
2,Beginning of mediation in Buka,233
3,Other signs of change in Buka,233
3,Support for work of Peace Foundation,233
1,Value of a neutral mediator,234
2,Case studies from Buka,234
3,Peace Foundation makes its mark on mainland Bougainville,236
2,On using a Facilitator - ‘There is no other way now!’,238
1,Mediation and negotiation skills by magistrates from Steamas strengthen custom justice,239
1,Co-Trainer with the People Skills and Conflict Resolution,240
1,Courses conducted in Buin,243
2,Joint law and order process in Buin,244
3,Mediation work in Buin,244
4,Change of Army policy in Buin,245
5,Talk from the soldier who replaced Enuma,245
1,War breaks out again in Buin,246
2,The Icebreakers,246
1,Ice breakers killed,247
2,Mediation between BRA and Resistance,247
3,Tari requests training in Buin,247
