1,Information Revolution and Global Politics,3
2,The Information Revolution and Developing Countries,4
1,Library of Congress Cataloging-in-Publication Data,5
10,Preface,6
1,Preface,10
2,Acknowledgments,12
3,xii Acknowledgments,13
2,Author Biographies,14
1,Foreword,16
1,Foreword,17
2,Beyond Denial Introducing Next-Generation Information Access Controls,20
3,Introduction,20
4,Ronald Deibert and Rafal Rohozinski,20
5,Beyond Denial 5,22
1,Box 1.1,22
2,Chapter Overview,24
3,Conclusion,27
4,Control and Subversion in Russian Cyberspace,32
5,Introduction,32
1,It has become a truism to link censorship in cyberspace to the practices of authoritar- ian regimes.,32
2,More Authoritarian,33
3,Introduction,32
4,Table 2.2 Population Number of Internet Internet Growth,36
7,Next-Generation Information Controls in the CIS,37
1,ONI Tests for Internet Controls in RUNET,38
2,First-Generation Controls,39
3,Table 2.4,40
3,SPECTRUM OF CYBERSPACE CONTENT CONTROLS IN THE CIS,40
4,Filtering Cybercafés Control! Requests Shutdowns Attack Surveillance Cyberzones Campaigns Action,40
1,Second-Generation Controls,41
2,Third-Generation Controls,44
3,Assessing the Evolution of Next-Generation Controls in the CIS,45
4,Next-Generation Controls Beyond the CIS?,47
5,Figure 2.1,46
1,Notes,49
2,3 The EU Data Retention Directive in an Era of Internet Surveillance,52
3,Introduction,52
4,Hal Roberts and John Palfrey,52
1,Network Surveillance,53
1,Server Surveillance,58
1,Client Surveillance,62
2,Conclusion,66
3,Notes,67
2,Introduction,72
1,Nart Villeneuve,72
3,Barriers to Cooperation,74
4,Competing Perceptions of Cooperation,74
2,The Emergence of Filtering,77
1,The Legitimization of Filtering,79
2,Prospects for Dynamic Cooperation,80
1,Conclusion,83
3,Notes,83
1,Ethan Zuckerman,88
1,Introduction,88
2,Points of Control,89
2,Host-Based Censorship in China,90
3,OSP-Based Censorship in the United States,91
1,An Emerging Trend?,94
2,The Economics of Intermediary Censorship,95
3,Implications for Researchers,97
3,Imbalanced Incentives and Free Speech,98
1,Conclusion,99
1,Notes,100
2,Introduction,104
