2,Access to Justice and Legal Empowerment,4
3,Making the Poor Central in Legal Development Co-operation,4
1,Outline,6
2,Why are Access to Justice and Legal Empowerment Important?,10
3,What Obstacles do the Poor and Marginalized Meet when Seeking Justice?,11
4,Box 2a: Obstacles to Justice and Empowerment through the Legal System,11
5,Widespread corruption and abuse of power,12
1,Box 2b: Obstacles to Justice and Empowerment through the Legal System,12
1,Obstacles on the Demand side,12
2,What Reforms do Access to Justice and Legal Empowerment Propose?,13
3,OF THE Pose,14
1,Legal Empowerment of the Poor: From Concepts to Assessmet. Report for USAID (2007),14
1,collective litigation and public interest law,14
2,share general principles,14
5,Legal empowerment and access to justice are sensitive areas with political limitations,16
1,Conceptual focus on dispute settlement ignores the prevention of grievances,16
2,Reforms need to address both state and non-state justice systems,17
3,Both state and civil society must play a role,20
5,Entry points and sequencing are context-related,22
1,Measuring outcome and impact,23
2,Further Reading,26
3,Obstacles to Access to Justice and Legal Empowerment,27
4,State and non-state justice institutions,27
5,Programming Access to Justice and Legal Empowerment,28
1,Measuring Access to Justice and Legal Empowerment,28
2,Case studies,28
3,References,30
4,About the Authors and Acknowledgements,32
5,9 789087280406 a # Leiden University Press,33
