1,Edited by Gaélle Krikorian and Amy Kapczynski,5
1,EPILOGUE: A2K IN THE FUTURE—VISIONS AND SCENARIOS,10
1,Preface,11
2,Access to Knowledge: A Conceptual Genealogy,19
1,Amy Kapczynski,19
1,HOW KNOWLEDGE MATTERS,20
1,THE RISE OF INTELLECTUAL PROPERTY LAW,25
2,In many ways the most striking aspect of the expansion of intellectual property law is the shift inaugurated by the TRIPS (Trade-Related Aspects of Intellectual Property Rights) Agreement.,27
3,that form an important kind of capital.,28
1,LEGITIMATING INTELLECTUAL PROPERTY IN THE INFORMATION AGE,28
2,property rights in material resources (such as land) popularized in the 1980s and 1990s,31
1,INVENTING A POLITICS FOR THE INFORMATION AGE,32
2,THE PUBLIC DOMAIN,32
3,THE COMMONS,34
1,comedy of the commons,35
1,WHAT IS THE NATURE OF THE FREEDOM THAT A2K DEMANDS?,41
1,IS A2K COMMITTED MORE TO THE MODEL OF THE PUBLIC DOMAIN OR OF THE COMMONS? CAN IT BE COMMITTED TO BOTH?,43
2,OR OF THE COMMONS? CAN IT BE COMMITTED TO BOTH?,43
1,CAN A2K CREATE A POLITICS OF KNOWLEDGE? WHAT ARE THE PROPER LIMITS,47
2,OF THE POLITICS OF A2K?,47
3,CONCLUSION,49
4,NOTES,50
1,Anarchism Triumphant,56
1,The Emergence of the A2K Movement: Reminiscences and Reflections of a Developing-Country Delegate,57
1,Access to Knowledge as a Field of Activism,59
2,Gaélle Krikorian,59
3,THE DIGITAL ERA AND IMMATERIAL WALLS,60
2,POLITICAL CONTEXT AND POLITICAL PRACTICES: FROM INTELLECTUAL PROPERTY TO ACCESS TO KNOWLEDGE,67
3,WHAT IS A2K?,71
1,GOVERNANCE AND RESISTANCE SEEN THROUGH THE PRISM OF ACCESS,76
2,PERSPECTIVES AND REPRESENTATIONS SEEN THROUGH THE A2K PRISM,80
1,CONCLUSION,88
1,NOTES,90
1,PART TWO,99
2,The Emergence of the Politics of A2K,99
3,See Amy Kapczynski’s discussion on the gravitational pull and discursive effects that law,93
9,How do you say A2K?,100
2,The Emergence of the A2K Movement: Reminiscences and Reflections of a Developing-Country Delegate,101
3,Ahmed Abdel Latif,101
5,GLOBAL INTELLECTUAL PROPERTY DEBATES: A2K IN HISTORICAL CONTEXT FROM THE PERSPECTIVE OF DEVELOPING COUNTRIES,101
1,FROM ACCESS TO MEDICINES TO A2K,105
1,THE FORMATION OF THE A2K MOVEMENT,107
1,THE GENESIS OF THE TERM “A2K” AND THE FRAMING OF A2K AS A CONCEPT,112
2,A2K AND THE WIPO DEVELOPMENT AGENDA,117
1,FUTURE DIRECTIONS FOR THE A2K MOVEMENT,120
2,CONCLUSION,123
1,NOTES,123
2,Ellen ‘t Hoen,129
3,Workshop on the WIPO Work Program and How to Involve Consumers,125
1,THE ADOPTION OF THE REVISED DRUG STRATEGY,130
2,THE CONCEPT OF ESSENTIAL MEDICINES,131
3,TRADE CONCERNS EMERGE,133
4,ESSENTIAL MEDICINES AND INTELLECTUAL PROPERTY AT THE WHO: FROM RED BOOK TO BLUE BOOK,134
5,The WHO Executive Board established an ad-hoc group chaired by France to,135
1,UPDATING AND DISSEMINATING THE WHO’S MODEL LIST OF ESSENTIAL DRUGS,137
2,ESSENTIAL MEDICINES AND COMPULSORY LICENSING,139
3,NOTES,140
2,The Doha Declaration on TRIPS and Public Health: An Impetus for Access to Medicines,143
3,Sangeeta Shashikant,143
1,THE DOHA NEGOTIATIONS,145
2,The TRIPS Agreement,145
3,from taking measures to protect public health,150
4,the Agreement shall be interpreted and implemented,150
5,THE ROLE OF NGOS IN THE ACCESS DEBATE,152
6,NOTES,156
1,Quoted in Small,158
2,Brazil Battles for Right of All Nations to Affordable Medicines.,158
4,Fatal Imbalance: The Crisis in Research and Development for Drugs for Neglected Diseases,160
5,Doha Declaration on TRIPS and Public Health,161
6,Implications of the Doha Declaration on the TRIPS Agreement and Public Health,161
1,An Uncertain Victory: The 2005 Rejection of Software Patents by the European Parliament,163
2,BATTLES OVER SOFTWARE PATENTABILITY PRIOR TO 2005,165
4,What Made the 'Victory' Possible?,170
1,WHERE DO THINGS STAND?,172
2,NOTES,173
3,A2K at WIPO: The Development Agenda and the Debate on the Proposed Broadcasting Treaty,177
5,THE WIPO DEVELOPMENT AGENDA: PATHWAY TO A2K,179
