1,Accountability and the Law,2
2,Comparative Constitutional Change,3
2,Illiberal Constitutionalism in Poland and Hungary,3
3,Timea Drinoczi and Agnieszka Bien-Kacala,3
2,PART I Law,6
3,List of contributors,6
2,Fairness and rights,6
1,Transparency and accountability versus secrecy in intelligence operations: an Italian case study,7
2,Presidents’ (mis)use of public accountability: going-public tactics in European semi-presidential regimes,7
3,Contributors,8
4,Introduction,12
1,Introduction,14
2,References,16
3,Kyriaki Topidi,20
4,'2.1 Introduction: a new accountability environment',20
5,14 Kyriaki Topidi,25
1,2.3 Content moderation instruments and accountability,26
2,2.3.1 Automated social media content moderation tools and accountability,28
2,2.3.2 Appeals system,29
2,2.4 Online platforms’ accountability in a European context,30
1,2.5 Concluding remarks,35
1,Constitutional Justice,36
2,References,36
3,Economic crises and transformation to the theoretical model of budget process,39
4,Grzegorz Kuca,39
5,Introduction,39
2,Economic crisis and budget process,44
2,Final remarks,53
3,References,54
1,Financial accountability and transparency of public sector institutions in the Republic of Serbia,57
1,4.1 Introduction,57
3,Introduction,57
5,4.2 The role of internal financial control in the public sector,59
4,Internal financial control is the first level of control over public spending.,59
6,The role of internal financial control in the public sector,59
7,4.4 The role of the State Audit Institution and Budget Inspection,64
1,4.5 Conclusion,67
2,References,69
3,5 Disciplinary liability of judges The Polish case,74
4,Piotr Mikuli and Maciej Pach,74
5,5.1 Introduction,74
1,Models of disciplinary liability of judges and the Polish solutions,76
2,Current jurisdiction of disciplinary courts and of disciplinary commissioners,82
1,Final remarks,88
1,References,88
2,Transparency and accountability versus secrecy in intelligence operations,91
3,Arianna Vedaschi,91
4,Introduction,92
5,6.1 Introduction,91
6,The history of intelligence: a brief overview,92
1,6.2.1 Intelligence from early history to the Restoration: a comparative perspective,93
2,6.2.2 Intelligence from the 19th century onwaras: focus on Italy,94
1,6.3.1 Law no. 124/2007: main features,98
1,6.4 The Italian intelligence system and its interactions with state powers,102
2,6.4.1 Political oversight of secret services’ activities,102
2,6.4.2 Judicial oversight and the use of state secrecy in criminal proceedings,104
3,6.5 Intelligence agencies ‘in action’ in times of international terrorism,105
4,6.5.1 International terrorism and the metamorphosis of security threats,106
3,Concluding remarks,109
1,References,110
2,Non-judicial legal accountability,113
3,Guillermo Jiménez,113
1,7. Introduction,113
2,7.2 Constitutional and legal framework,113
3,7.2 Constitutional regulation,116
4,7.2 Organisational structure,116
5,7.2.1 Constitutional regulation,116
6,7.2.1 Hierarchical arrangements,116
1,7.2.2.2 The office head,118
1,7.3 Mandate and powers,120
2,Multitasking,120
2,Ex-ante legality review,120
3,Basic provisions,120
1,Types of administrative actions under review,121
2,Participants,123
3,Standard of review,124
4,The insistence mechanism—the presidential override,124
1,Insistence decrees ,126
2,7.3.3 The power of dispute resolution ,127
2,7.3.3.1 Basic provisions ,127
3,7.3.3.2 Aims and functions ,128
3,7.3.3.3 Access ,129
1,7.3.3.4 Legal authority and limits,130
2,7.4 Conclusion,131
0,References,132
2,8 Presidents’ (mis)use of public accountability,140
3,8 Presidents’ (mis)use of public accountability Introduction,140
1,Table 8.2 Shugart and Carey’s presidential power scores for European semi-presidential (premier-presidential) regimes,147
2,Country PKV PTV DC EXL BUD REF CF CD CEN DIS Total,147
3,Shugart and Carey’s presidential power scores for European semi-presidential (premier-presidential) regimes,147
1,8.5 Analysis,149
3,A strictly constrained but highly popular presidency in post-2000 Finland,149
2,PRESIDENT’S POWER,153
3,The presidency in Lithuania: popular leadership as a lever for power grabs,154
1,8.6 Conclusions,160
2,References,162
3,9 Ministerial criminal liability in the Greek legal order,167
4,A concise critical review,167
5,Eugenia Kopsidi and Ioannis A. Vlachos,167
1,Introduction,167
2,The scope of ministerial offences under Article 86,169
10,during the discharge of their duties,173
10,main- taining that such approaches which lean towards a sweeping reduction of the offences to which Article 86 of the Constitution applies are ‘suffocatingly nar-,173
1,9.3 Statute of limitations and the extinguishing deadline: a hasty elimination of punishability,175
2,Issues on complicity,176
2,Complicity,177
2,Catharsis,177
1,In defence of amending Article 86,177
2,9.5,177
3,References,183
1,10 Transparency and accountability of the Italian public administration in the context of public procurement,185
2,Francesca Sgro,185
3,10.1 Introduction,185
4,The principles of transparency and accountability have entered the Italian legal system relatively recently.,185
5,10.2 Transparency and accountability as two sides of the same coin,187
6,Italian public administration,188
1,10.3 Transparency and accountability in the context of Italian public procurement,189
2,(Legislative Decree no. 50/2016 art 30),190
3,References,203
4,11.1 Introduction,204
1,The UK’s exit from the EU,205
2,Triggering of Article 50(2) of the TEU without parliamentary authorisation,206
3,Miller I case judgement,208
4,Natalie Fox,194
1,11.3.2 The EU/UK approach to transparency in the Brexit negotiations,213
2,The Brexit negotiations and the UK Government’s accountability,217
3,The role of the UK’s Select Committees in influencing the EU decision-making process,220
4,The process of constitutional change in ‘vegaining’ the UK Parliament’s sovereignty,224
1,11.5 Conclusion,227
2,References,229
3,withdrawal agreement,234
4,bias (algorithmic),232
1,Conclusion,227
1,British Constitution,232
