1,a Difference Worldwide,1
3,How Constitutional Rights Can Make a Difference Worldwide,6
5,Foreword by Dikgang Moseneke,6
1,PART TWO: SOCIAL AND ECONOMIC RIGHTS THAT ARE FUNDAMENTAL TO EQUALITY,12
2,The Right to Education: A Foundation for Equal Opportunities,13
3,The Right to Health: From Treatment and Care to Creating,13
4,LIST OF ILLUSTRATIONS,12
5,FOREWORD BY DIKGANG MOSENEKE,12
1,The Right to Education: A Foundation for Equal Opportunities,13
2,LIST OF ILLUSTRATIONS,14
3,MAPS,14
4,Does the constitution explicitly guarantee equality or nondiscrimination for noncitizens?,15
1,Dikgang Moseneke,22
2,The Urgency of Advancing Equality,24
3,Urgency of Advancing Equality,25
4,Changes in Legal Rights in Our Lifetime,25
5,The Dignity of Every Human Being,25
1,URGENCY OF ADVANCING EQUALITY,26
2,WHY CONSTITUTIONS,26
2,A Statement of Values,27
3,Dismantling Discriminatory Laws,27
3,Domesticating Global Treaty Commitments,27
1,Protecting against Backsliding,27
2,Setting the Terms of the Debate,28
3,A Tool for Civic Engagement,29
2,DO OUR CONSTITUTIONS VALUE EVERY PERSON?,29
3,THE CHAPTERS,30
1,Chapter 3: Why Addressing Gender Is Foundational,30
2,Chapter 4: One in Thirty: Protecting Fundamental Rights for the World’s Migrants and Refugees,31
2,Chapter 5: Negotiating the Balance of Religious Freedom and Equal Rights,31
2,Chapter 7: From Nondiscrimination to Full Inclusion: Guaranteeing the Equal Rights of People with Disabilities,33
3,Ensuring Rights and Full Participation Regardless of Social and Economic Position,34
1,Chapter 9: The Right to Education: A Foundation for Equal Opportunities,35
2,Chapter 11: How Far Has the World Come?,36
3,A FEW WORDS ABOUT THIS BOOK Our Approach to Case Law,37
3,Our Approach to Legal Terminology,38
1,How We Hope You Will Use This Book,38
2,Historic Exclusion and Persisting Inequalities,42
3,Advancing Equal Rights on the Basis of Race and Ethnicity,42
4,THE PERSISTENCE OF RACIAL DISCRIMINATION IN PRACTICE,44
5,CURRENT CONSTITUTIONAL PROTECTIONS,45
1,Equal Rights on the Basis of Race and Ethnicity,45
1,Equal Rights on the Basis of Language,48
2,° ar),49
3,Guaranteed for at least ] some minority groups,49
1,Mexico: Addressing the Impact of Language Discrimination on Indigenous Peoples,50
2,Expansion of Equal Rights over Time,51
3,Beyond Direct Discrimination: Addressing Specific Challenges,51
4,Addressing Segregation,51
5,that segregation was necessary for preventing the Europeans’ exposure to malaria and the plague.”,53
1,United States: The Promise—and Pitfalls—of Brown v. Board of Education,53
3,Addressing Indirect Discrimination,55
4,South Africa: Indirect Discrimination Is Unconstitutional,56
5,United Kingdom: Measures Have to Be Justified,56
1,United States,57
2,Lessons for Protecting against Indirect Discrimination across Contexts,58
2,The Case for Affirmative Measures—and Its Implications for Human Rights,59
3,Questions That Arise in the Design of Affirmative Measures,60
2,South Africa: Targeted and Time-Bound Action to Address Economic Inequalities,61
1,the purpose of diminishing the inequality between privileged and disadvantaged parliamentarians,63
2,United States: Advancing Diversity through Holistic Evaluations,63
1,Rwanda and Brazil: The Rapid Change Associated with Quotas—but Not without Risks,64
2,India: A Commitment to Periodic Evaluation of Progress,65
3,So,66
1,Constitution permits affirmative measures based on race/ethnicity,66
1,WHY ADDRESSING GENDER IS FOUNDATIONAL,69
