1,WHAT EFFECT WTO ACCESSION AND REGIONAL TRADE ARRANGEMENTS?,3
2,CHUNLAI CHEN AND RON DUNCAN (EDS),3
3,THE AUSTRALIAN NATIONAL UNIVERSITY,3
4,E PRESS,3
1,Sector classification in the CERD model,8
2,by commodity,10
4,1992-2005,13
7,Changes in the new ASEAN members in supply prices and,11
6,Percentage of tariff lines at 0-5 per cent in the tentative 2004 CEPT package,13
1,Achieving food security in China Implications of WTO accession,14
2,PREFACE,18
2,Agriculture and Food Security in China,22
3,ABBREVIATIONS,14
4,Chunlai Chen and Ron Duncan,21
1,China’s agricultural development and policies,22
2,Food self-sufficiency and food security,23
4,Table 1.2 Changes in tariffs required for food self-sufficiency by 2010,27
1,Surplus agricultural labour,31
2,Restrictions on migration,32
3,Macroeconomic implications of WTO accession,33
4,Simulations of short-run effects,34
5,Macroeconomic impacts on migration,37
1,China’s agricultural trade after WTO accession,38
2,Implications of the ASEAN-China Free Trade Agreement,38
2,Agricultural trade between China and ASEAN: complementary or competitive?,39
3,Economic effects of the ASEAN-China Free Trade Agreement,40
4,Summary and discussion,41
1,Notes,44
2,References,45
3,Agricultural development and policy before and after China’s WTO accession,47
4,Jikun Huang and Scott Rozelle,47
5,Agricultural performance and policy before China’s WTO accession,48
2,China’s commitments to WTO accession and provisions related to agriculture,59
3,Table 2.3. Import tariff rates on major agricultural products subject to tariff-only protection in China,60
4,Real tariff rates in Effective as of 1 January,60
5,Table 2.4 China’s market access commitments on farm products subject to tariff rate quotas,62
1,Policy shifts since China’s WTO accession,63
2,Legal and legislative changes,64
2,Agricultural trade reforms,66
3,Domestic market reform and infrastructure development,67
3,Land-use policy,68
1,Farm organisations,69
2,Export subsidies and agricultural support policies,69
3,New agricultural and rural development policies,70
4,Conclusions,71
5,References,72
1,China’s WTO accession,75
2,The impact on its agricultural sector and grain policy,75
3,Feng Lu,75
4,China’s WTO entry commitments in the agricultural sector,76
5,Tariff binding and tariff reduction,76
1,China's WTO accession,76
2,Tariff rate quota system,76
3,Reduction of market distortion measures,77
1,JUSWUIaAOD Sf ‘dnoi5 SULyJOM SUOL}e)aYy apes] CULYD :adINOS,79
2,Table 3.2. China’s TRQ system for selected agricultural products (‘000 metric tonnes),80
1,Trade pattern and comparative advantage in China’s agriculture,83
1,Opportunities and benefits of agricultural liberalisation,86
2,Adjustment costs of WTO entry and their income implications,88
3,Food security and WTO accession,89
4,The regional pattern of the agricultural impact of WTO accession,91
