1,A GLOBAL HISTORY OF THE FIRST,1
2,NEW DIRECTIONS IN PALESTINIAN STUDIES,3
1,Lynn Welchman,6
1,Introduction,6
2,A Global History of the First Palestinian Human Rights Organization,6
3,ACKNOWLEDGMENTS,14
4,Acknowledgments,15
1,WRITING AL-HAQ,18
1,INTRODUCTION 3,20
2,SCHOLARSHIP: AL-HAQ AND HUMAN RIGHTS,21
2,FRAMING THE WORK,23
2,AL-HAQ CONTRIBUTIONS,25
2,Context,30
3,West Bank Legal Profession,31
4,14 Context,31
5,Context 15,32
1,CAMP DAVID,35
2,HUMAN RIGHTS ORGANIZATIONS,37
3,INTERNATIONAL LAW,40
4,HUMAN RIGHTS IN THE REGION,42
2,Beginnings,45
1,Founders,64
2,RAJA SHEHADEH,64
3,48 FOUNDERS,65
4,FOUNDERS,66
5,Jonathan Kuttab’s family had left Jerusalem for the United States after he finished,76
1,Jonathan Kuttab,76
1,Charles Shammas,83
1,LSM Steering Committee,89
2,Organization,90
3,WHO ARE WE? IN 1983,91
2,THE POLITICS OF LSM,96
2,to discharge the responsibility of their directorship. This is what has necessitated this review.”,111
3,ORGANIZATION,112
1,Rule of law,114
1,MEMBERS AND STAFFERS,115
1,INTO THE INTIFADA: TWENTY YEARS OF OCCUPATION,118
2,AL-HAQ'S GOALS,122
3,the occupier's use of the law,122
1,RESPONSE TO ISRAELI ARGUMENTS,122
1,ROLE OF AL-HAQ UNDER OCCUPATION,123
2,Interventions and Allies,125
3,collective punishment (including house demolition and sealing and punitive curfews); and,127
2,THE ICRC,148
1,THE ENFORCEMENT PROJECT,152
2,Field and Legal Research,164
1,FIELDWORK METHODOLOGY,164
2,THE RISKS OF FIELDWORK,169
3,INTIFADA EXPANSION,172
1,FROM AFFIDAVITS TO PUBLICATIONS AND CAMPAIGNS,173
2,AFFIDAVITS AND THE PALESTINIAN AUDIENCE,176
3,Palestinians killed by Israeli security forces or settlers in Hebron during the year 1994,177
2,FIELDWORK AND THE DATABASE,177
2,PUBLISHING ON PRISONS,178
1,STRUCTURAL WORK,182
2,LEGAL ADVICE AND KNOW YOUR RIGHTS,187
3,INVOKING THE LAW,195
4,Fallouts,200
4,FALLLOUTS 185,202
1,Fundamental Cause,224
2,Destructive,224
3,Required to Carry out the New Program of the Reconstructed Organization,225
1,Epilogue,228
1,Epilogue,230
1,Conventional profile of professional human rights monitors,233
2,Notes,246
3,Introduction,246
4,Chapter 1. Context,250
1,CHAPTER 2. BEGINNINGS,253
1,CHAPTER 3. FOUNDERS,260
1,CHAPTER 4. ORGANISATION,266
1,CHAPTER 5. INTERVENTIONS AND ALLIES,270
1,CHAPTER 6. FIELD AND LEGAL RESEARCH,278
1,CHAPTER 7. FALLOUTS,286
2,EPILOGUE,291
1,Nature of the State and the Arab Spring” Oregon Review of International Law,297
10,Al-Haq Originated,301
5,Al-Hag Annual Reports and Anniversary Publications,301
2,“Al-Haq’s Comment on the Draft Law by Decree on the Creation of the,302
1,OTHER SOURCES,305
2,The Populist Challenge to Human Rights,305
3,International Criminal Court: Interview with Raji Sourani and Shawan Jabarin”,308
4,Reflections on Three Decades of Human Rights Work in the Arab Region,306
5,The Human Rights Movement in the Arab World,308
1,Introduction—Responsibility to the Story,309
1,ment Concerning the Legality of General Security Services Interrogation Methods”,312
2,International Law and the Israeli Occupation,313
1,When the US Gets to Monitoring Human Rights,313
2,Judicial Independence under Palestinian Rule,313
3,The Arab-Israeli Accords: Legal Perspectives,313
4,International Law and the Administration of Occupied Territories,314
5,Prolonged Military Occupation: The Israeli-Occupied Territories 1967-1988,314
6,Legal Language,315
7,The Arab-Israeli Accords: Legal Perspectives,315
8,When the Bulbul Stopped Singing: A Diary of Ramallah under Siege,315
9,INDEX,318
1,MOUIN RABBANI and LYNN WELCHMAN,331
3,University of California Press,331
