1,Successful Dispute Resolution,4
2,Acknowledgments,9
1,Summary of Contents ,11
2,Table of Abbreviations ,15
3,D. Substantive requirements and the content of submissions ,19
4,E. Submission of evidence ,19
5,Peoples’ Rights ,20
1,H. Conclusion,22
2,Chapter §9 Conclusion,22
3,A. What is it?,22
4,B. Added value of amicus curiae participation in international dispute settlement,22
5,Annex I: Cases with amicus curiae involvement Annex II,22
6,FTC Statement GPI,23
1,A. Structure,29
2,B. Methodology,30
3,C. Scope of the study,34
4,A. Presumed functions of amicus curiae,43
1,II. Representation of ‘the’ public interest,47
2,Il. Legitimacy and democratization,53
3,IV. Contribution to the coherence of international law,59
4,V. Increased transparency,59
5,B. Presumed drawbacks,64
1,I. Practical burdens,65
2,II. Compromising the parties’ rights,65
4,'cy to represent its constituents than unaccountable (and sometimes foreign) NGOs?',70
5,IV. Overwhelming developing countries,70
1,Unmanageable quantities of submissions,71
2,VI. Denaturing of the judicial function,72
3,Conclusion,72
1,I. The origins of amicus curiae,74
2,II. Amicus curiae before the English courts,76
3,III. Amicus curiae before the United States Federal Courts and the Supreme Court,81
4,IV. Internationalization: amicus curiae in civil law systems and in inter- and supranational legal instruments,86
2,V. Comparative analysis ,90
3,B. Emergence and rise of amicus curiae before international courts and tribunals ,91
4,I. International Court of Justice ,91
1,Il. International Tribunal for the Law of the Sea,100
2,The Statute and Rules of the ITLOS have been closely modelled from those of the ICJ.,100
1,IU. European Court of Human Rights,103
3,Participation by interested third parties was chan-,103
1,IV. Inter-American Court of Human Rights,106
2,The structure of human rights enforcement in the American Convention on Human Rights was closely modelled on the structure of human rights enforcement in the European Convention prior to the adoption of the indi-,106
3,- section human rights enforcement in the American Convention on Human Rights was closely modelled on the structure of human rights enforcement in the European Convention prior to the adoption of the indi-,106
1,V. African Court on Human and Peoples’ Rights,108
2,Neither the ACtHPR Protocol nor its Rules explicitly allow for the admis- sion of amici curiae.,108
1,VI. WTO Appellate Body and panels,109
3,The Appellate Body and panels had received — and routinely rejected — submissions by non-state actors by pointing to the-,109
1,found that it also possessed authority to admit unsolicited amicus curiae briefs,110
2,of the political pressure exerted on the Appellate Body at the General Council Meeting,111
3,VIL. Investor-state arbitration,115
4,'C. Conclusion',121
1,A. Characteristics of the international amicus curiae,123
2,I. A procedural instrument,124
3,bunal to achieve its fundamental task of arriving at a correct decision in this case.”,125
4,II. A non-party and a non-party instrument,126
5,Ill. Transmission of information,129
1,IV. An interested participant,130
2,V. An instrument of non-state actors?,132
3,B. Functions of the international amicus curiae,132
4,I. Information-based amicus curiae,133
5,II. Interest-based amicus curiae,138
1,International Court of Justice and International Tribunal for the Law of the Sea,139
2,European Court of Human Rights,140
2,Inter-American Court of Human Rights,144
3,WTO Appellate Body and panels,146
1,5. Investor-state arbitration,148
2,6. Comparative analysis,152
3,IV. Analysis\,154
4,Systemic amicus curiae,152
1,The myth of ‘the’ international amicus curiae,155
2,An evolving concept,156
3,Are there limits to the functions amici curiae may assume?,156
4,Amicus curiae and other forms of non-party participation,157
5,International Court of Justice and International Tribunal for the Law of the Sea,159
1,II. WTO Appellate Body and panels,164
2,III. Investor-state arbitration,168
3,IV. Comparative analysis,171
2,D. Conclusion,172
1,A. Legal bases for amicus curiae participation,177
2,I. International Court of Justice,180
3,Article 105,184
4,II. International Tribunal for the Law of the Sea,191
5,With respect to advisory proceedings,192
1,Rule 44 ECtHR Rules further elaborates amicus curiae participation,196
2,IV. Inter-American Court of Human Rights,197
2,Rules of procedure granted in Article 60 ACHR and Article 25(1) IACtHR,198
3,VI. WTO Appellate Body and panels,202
3,1. Panels,202
1,Appellate Body,207
2,VIL. Investor-state arbitration,213
3,1. Clauses in investment treaties,213
4,2. Appellate Body,207
5,2. Clauses in institutional procedural rules,215
6,Article 4. Submission by a third person,217
1,Set out a precise statement of the third person’s position on issues; and,217
1,3. Implied powers,222
2,4. Ad hoc agreements,224
1,1. Codification and informal doctrine precedent?,226
1,2. Common regulatory approaches,227
2,B. Conditions concerning the person of amicus curiae,228
3,I. International Court of Justice,229
4,II. International Tribunal for the Law of the Sea,231
5,Assembly of the Authority to make written and oral submissions.,232
1,I. European Court of Human Rights,235
2,IV. Inter-American Court of Human Rights,241
3,V. African Court on Human and Peoples’ Rights,246
4,VI. WTO Appellate Body and panels,247
1,VII Investor-state arbitration,250
2,1. Legal standards,250
4,Application,253
5,8. Comparative analysis,261
6,C. Request for leave procedures,266
1,I. Formal requirements,269
2,Form and length,283
1,II. Substantive requirements concerning the application,284
3,1. International Court of Justice,284
3,2. European Court on Human Rights,284
1,African Court on Human and Peoples' Rights,286
2,WTO Appellate Body and panels,286
3,Investor-state arbitration,287
4,Legal standards,287
5,the extent to which,287
1,Application,288
2,aa) Special knowledge or insight,289
3,cc) Significant interest in the arbitration,294
4,dd) Public interest in the subject matter of the arbitration,300
1,Overall investment tribunals apply detailed requirements with regard to the substance of requests for leave.,303
2,Tribunals have aligned the different applicable procedural rules and investment treaties.,303
3,The request for leave procedures reviewed are diverse and emphasize different aspects.,312
4,IV. Comparative analysis,312
5,This Chapter has shown that amicus curiae participation is increasingly codified and regulated across all international courts and tribunals.,314
6,D. Conclusion,314
7,A. Oral and written participation,318
8,I. International Court of Justice,318
1,II. International Tribunal for the Law of the Sea,319
2,I. European Court of Human Rights,320
3,IV. Inter-American Court of Human Rights,323
4,VI. WTO Appellate Body and panels,326
5,the,324
1,VIL. Investor-state arbitration,328
2,VII. Comparative Analysis,330
3,2. Regulatory reasons,332
1,I. Form of written submissions,335
2,1. Length ,335
1,Language,336
2,Authentification,339
3,Failure to comply,342
5,Comparative analysis,343
6,Substantive requirements and the content of submissions,345
1,I. International Court of Justice and International Tribunal for the Law of the Sea,346
2,information relevant to the area of operation of the submitting organization.,348
3,II. European Court of Human Rights,350
4,and law,356
5,Il. Inter-American Court of Human Rights,362
1,IV. African Court on Human and Peoples’ Rights,369
2,V. WTO Appellate Body and panels,370
3,VI. Investor-state arbitration1. Legal standards,381
4,VI. Investor-state arbitration2. Particular knowledge or perspective: human rights and EU law?,382
5,Within the scope of the dispute,388
1,Applicable law and its limits,393
2,VII. Comparative analysis,401
3,Submission of evidence,404
4,Access to documents,408
5,I. International Court of Justice and International Tribunal for the Law of the Sea,409
1,IH. WTO Appellate Body and panels,412
2,Investor-state arbitration,417
3,V. Comparative analysis,425
4,A. An obligation to consider?,433
5,G. Conclusion,425
1,riae submission like regular evidence,438
2,Application of the Convention on the Prevention and Punishment of the Crime of Genocide,439
2,International Tribunal for the Law of the Sea,440
3,European Court of Human Rights,443
3,Inter-American Court of Human Rights,450
1,the amici curiae have provided invaluable contributions to the court’s de- liberations and judgments,451
2,Amicus curiae submissions to the IACtHR appear to have been particu- larly influential in the creation or expansion of rights,451
3,F. African Court on Human and Peoples’ Rights,459
4,Lohé Issa Konaté v. Burkina Faso is the only case with amicus curiae par- ticipation to have been decided on the merits as of writing,459
5,G. WTO Appellate Body and panels,459
1,H. Investor-state arbitration,469
2,I. Comparative analysis,479
3,I. Why the hesitation?,482
4,II. Elements of successful briefs,484
5,J. Conclusion,487
1,I. International Court of Justice,491
2,II. International Tribunal for the Law of the Sea,493
3,I. European Court of Human Rights and African Court on Human and Peoples’ Rights,493
4,V. WTO Appellate Body and panels,494
5,VI. Investor-state arbitration,499
1,VII. Comparative analysis,504
2,B. Public interest: amicus curiae as motor and evidence of an expanding judicial function?,504
4,Il. International Tribunal for the Law of the Sea,510
5,IU. European Court of Human Rights,511
