1,Analogy and Exemplary Reasoning in Legal Discourse,4
2,Edited by Hendrik Kaptein and Bastiaan van der Velden,4
1,Creative Commons License CC BY NC ND (http://creativecommons.org/licenses/by-nc-nd/3.0),5
1,Table of contents,6
3,ANALOGY AND EXEMPLARY REASONING IN LEGAL DISCOURSE,9
4,Imitation and analogy,14
5,Exemplarity and virtue,17
1,4 Models of Exemplarity,20
2,Real and fictional exempla,20
3,Negative and positive exempla,21
5,Partial and complete exempla,23
1,Exempla and other normative ideals,24
2,The role of exemplary judges in law,28
3,Education and imitation,28
4,Theorizing about excellence in adjudication,29
5,The evolution of legal culture,30
1,7 Conclusions,31
2,About the author,32
3,Indefeasible analogical argument,34
4,And Fried maintains that,36
1,Target (‘y’) = event in which a house was donated,45
1,(6) The plaintiffs argumentis invalid [conclusion of the analogical argument],47
2,About the author,49
3,Bartosz Brozek,50
4,Abstract,50
1,About the author,64
2,Damiano Canale and Giovanni Tuzet,66
1,Abstract,66
1,ANALOGICAL REASONING AND EXTENSIVE INTERPRETATION,68
2,emission falls under the notion of ‘throwing’ because there are linguistic,75
3,About the authors,87
4,David Duarte,88
5,Abstract,88
1,Analogous And Balancing,90
2,Normative Conditions and Freedom of Action,96
3,Ability and Three Basic Operations,88
4,This Chapter Was Published Previously,88
5,Everyone Has Freedom Of Action',93
1,rule: cars are not allowed into the park ,98
2,About the author ,100
3,Bartosz Brozek ,102
4,'Abstract' ,102
2,About the author,108
3,David Duarte,110
6,Abstract,110
1,ANALOGY AND BALANCING ONCE AGAIN,112
2,the competing principles,114
3,About the author,123
2,Martin Golding,124
2,Abstract,124
2,ARGUMENT BY ANALOGY IN THE LAW,126
3,'As if (almost) nothing happened',138
1,Abstract,138
3,About the author,165
4,Analogy in the strict liability rules in the Dutch Civil Code,166
1,BIBLIOGRAPHY,180
1,Index,190
