1,MIPLC Studies,1
2,Antitrust Enforcement and Standard Essential Patents,3
2,Moving beyond the FRAND Commitment,3
3,Abstract,7
4,Part I. Introduction,7
1,Part I. Introduction,11
2,the ‘smartphone wars’,12
3,Part II. Standards-Setting and Competition Policy,15
4,Economic Benefits of Formal Standardisation,15
1,ii. Formal Standardisation and its Superior Efficiency,18
2,ili. Anticompetitive Risks Prior-Adoption of a Standard,20
3,B. Theories of Post-Adoption Harm,22
4,Part II. Standards-Setting and Antitrust Enforcement in the US,31
5,A. The Nature of the FRAND Commitment,31
1,Part III. Standards-Setting and Antitrust Enforcement in the US,32
2,B. Injunctive Relief Post-eBay,33
3,Part IV. Standards-Setting and EU Competition Law,41
4,A. Case-Law in Member States — The Orange Book Standard,41
5,B. Enforcement Action by the Commission,44
1,C. Huawei V. ZTE,46
2,Part V. Patent Assertion Entities and Privateers: Moving Beyond the FRAND Commitment,49
3,forcement of their patents in court by means of injunctions and awards of damages,51
4,ii. Implications of PAE Activities for Social Welfare and Efficiency,53
1,B. PAEs and Privateers in the Context of Cooperative Standards-Setting,55
1,C. PAEs and Opportunistic Assertion of SEPs: A Competition Law Problem?,58
2,ii. An Effects-Based Approach to Opportunism with SEPs: Anticompetitive Foreclosure and Article 102 TFEU,65
3,ili. Privateering Arrangements and Article 101 TFEU,68
2,Part VI. Conclusion,71
1,Bibliography,73
1,Books,73
2,Articles,73
2,Articles,75
2,Hovenkamp Herbert,75
3,Antitrust and the Patent System: A Reexamination,75
3,Cases,77
