1,Oxford Monographs in International Law,2
1,Table of Contents,8
2,6. The Primary Applicability of International Law and the Role of National Law,8
3,Primarily Applies 240 4. General Conclusions 269,8
1,Table of Contents,9
2,Concurrent Application of and Reference to National and International Law in Case of Consistency,9
3,Introduction,9
4,Arbitral Practice,9
5,ARBITRAL AWARDS,10
1,x Table of Cases,11
5,pursuant to the UNCITRAL Arbitration Rules on 22 February 2005 ............... 147,12
1,16 September 2003,12
2,xii Table of Cases,13
3,Southern Pacific Properties (Middle East) Limited (SPP) v Arab Republic of Egypt,16
2,xvi Table of Cases,17
2,NATIONAL COURTS,18
1,xviii Table of Cases,19
1,The Scope of and Terminology Used in the Study 11,40
2,Rules and the ICC Rules.,41
2,Table of Cases,21
3,XX Table of Cases,21
1,395 F.3d 978 (9th Cir. 2003),20
1,Territorialized and Internationalized,47
2,Arbitration Tribunals,48
3,Arbitration Tribunals,48
2,Territorialized Tribunals 23,52
1,Arbitration (1961); Inter-American (Panama) Convention on International Commercial Arbitration ,66
2,The Linkage Between Lex Arbitri and Choice-of-Law Methodology ,92
3,General Conclusions ,88
1,the dispute,93
2,Claims and Counterclaims of a National and/or International Nature,134
3,Characterization: The National or International Nature of Claims,136
1,Chapters 5 and 6.4,140
2,Counterclaims by Host States 129,158
5,the BIT.232,165
2,the general principles of international law.°°,195
3,The Role of International Law when National Law Primarily Applies 181,210
5,meaning.374,231
1,The Primary Applicability of International Law and the Role of National Law,242
2,Reasons for the Primary Applicability of International Law,244
3,The Role of National Law when International Law Primarily Applies,270
1,necessary to determine what is the legal significance of the Cooperation Agreement under [Czech law].’,273
1,Concurrent Application of and Reference to National and International Law in Case of Consistency,300
2,as expressed in scholarship>3 and the International Law Commission Draft Articles on State Responsibility.>4,307
2,which must be applied.!0?,311
3,other party had he had knowledge thereof [... ].’143,316
3,personally (Art. 438(2) Czech Civil Code).149,316
1,Concluding Observations,324
3,Index,332
4,Introductory Note,332
5,recognition,333
1,Relief,341
2,Wena doctrine,343
3,Wong,343
4,World Bank,343
