1,LUCIS SERIES ‘DEBATES ON ISLAM AND SOCIETY,3
2,Debates on Islam and Society,3
4,Introduction: Applying Shari‘a in the West,6
5,Contents,6
1,Section 11: Law Versus Culture,7
2,Unregistered Islamic Marriages: Anxieties about Sexuality and Islam in the Netherlands,7
3,Understanding and Use of Islamic Family Law Rules in German Courts: The Example of the Mahr,7
4,Section 111: The Need for Accommodation,7
5,Introduction,8
6, Applying Shari‘a in the West,8
1,APPLYING SHARI‘A IN THE WEST,9
2,What do Western Muslims Mean by Shari'a?,9
3,INTRODUCTION,10
4,SHARI'A: A VIRTUOUS ABSTRACTION,10
1,SHARI'A: FOREIGN NATIONAL LAWS,11
2,SHARI'A: THE PRACTICES AND DESIRES OF WESTERN MUSLIMS,11
1,Shari‘a Practices in a Western Legal Framework,13
3,THREE WESTERN REGIONS,13
2,Western Responses: Law Versus Culture,17
1,Adaptation in Western or Muslim Legal Systems?,19
2,Conclusion,20
3,APPLYING SHARI‘A IN THE WEST,23
4,Notes,21
1,External Reasons for the Formal or Informal Application of Shari'a in the West,27
2,PRIVATE INTERNATIONAL LAW,27
3,INTRODUCTION OF ISLAMIC LEGAL PROVISIONS,28
4,RECOGNITION OF LEGAL FACTS CREATED UNDER FOREIGN SHARI‘A LAWS,29
5,PERSONAL LAW SYSTEMS,30
1,Internal Reasons for the Formal or Informal Application of Shari'a in the West,31
2,TECHNICAL/INSTITUTIONAL REASONS,31
3,Cultural Reasons,32
4,Religious Reasons,33
5,Alternative Dispute Resolution (apr) and Shari‘a,36
1,APPLYING SHARI‘A IN THE WEST,43
1,Preliminary Conclusions,40
2,Notes,42
1,APPLYING SHARI‘A IN THE WEST,47
2,See e.g. the decision in Re S ‘Abduction: Intolerable Situation: Beth Dir’ [2000],47
3,Islam and the Problems of Liberal Democracy,48
4,Introduction,48
5,tion along religious lines is also mostly a thing of the past.,51
1,Istem in America: A Historical Summary,51
2,Several attempts were made early on to improve this situation. In the,53
3,Growing Fears Concerning Islam,53
2,Legal Plurality and the Spread of Shari'a,55
2,American Legal Exceptionalism and Shari'a,57
1,APPLYING SHARI‘A IN THE WEST,63
2,Relevant Research on Muslims,58
3,Conclusion,60
4,Notes,62
1,APPLYING SHARI‘A IN THE WEST,65
2,The Down-Under Approach and Reaction to Shari‘a: An Impasse in Post-Secularism?,66
3,Jamila Hussain and Adam Possamai,66
4,The Socio-Cultural Heterogeneity of Muslims and the Implication for Shari'a,66
5,Shari‘a in Australia,68
1,The Relationship Between Shari'a and Australian Law,69
2,Australian Family Law and Islamic Arbitration,71
3,Recent Attempts to Bring Shari‘a into the Public Sphere: Two Case Studies,72
4,CASE STUDY 1: AUSTRALIAN FEDERATION OF ISLAMIC COUNCILS (IKEBAL PATEL),72
5,CASE STUDY 2: DIVORCE IN AUSTRALIA: FROM AN ISLAMIC LAW PERSPECTIVE”?,73
1,The New Australian Conservative Modernity and Its Obstacles to Post-Secularism,74
2,Notes,77
3,APPLYING SHARI‘A IN THE WEST,79
4,Jorgen S. Nielsen,80
5,Background,80
1,Seeking clarification,83
2,TABLE 1 Grounds for dissolution of marriage England Pakistan,86
3,Irretrievable breakdown of marriage Incompatibility,86
4,Conditions for marriage,86
1,Issues and implications,88
2,The Discussion Continues,92
3,Notes,95
4,Susan Rutten,98
5,FORMAL APPLICATION OF SHARI‘A,98
1,INFORMAL APPLICATION OF SHARI‘A,99
2,Applying Shari'a Under the Dutch Legal System,100
3,Party Autonomy,100
2,The Favour-Principle,101
1,EXPress Provisions and Open Norms,101
2,FREEDOM OF RELIGION,102
3,The Use of Shari‘a in Informal Social Settings and the Role of Human Rights,102
4,THE EXAMPLE OF THE ‘CHAINED WIFE’,103
5,Application of Shari‘a: Politically Sensitive,105
1,Conclusion,107
2,Introduction,112
3,Under the Gaze of Europe,113
4,Islamic Marriage and Divorce in Secular Albania,116
5,The Reflection of Europe,121
2,The legal status provided by the Convention of Athens lasted until,128
3,Notes,122
4,Angeliki Ziaka,126
1,The Mufti and So-Called Neo-Milletism,130
2,Immigration and New Challenges,133
3,Notes,134
5,Annelies Moors,142
5,Muslim Majority Countries: Towards the Registration of Marriages,143
1,UNREGISTERED MARRIAGES: NEW VARIATIONS,145
2,Islamic Marriages” in the Netherlands: Gender and Securitization,149
3,DUTCH ISLAMIC MARRIAGES IN PRACTICE: MULTIPLE MOTIVATIONS AND MEANINGS,152
4,OBSTACLES TO CONCLUDING A CIVIL MARRIAGE,154
5,OPTING FOR AN ISLAMIC MARRIAGE,155
1,ACTIVELY DESIRING AN ISLAMIC MARRIAGE,157
2,TEMPORARY SHIA MARRIAGES,158
3,Conclusion,159
5,Nadjma Yassari,166
6,Function of the Mahr,167
1,IMMaterial Functions,167
2,MATERIAL FUNCTIONS,168
3,The Mahr in the Classical Works of the Fugaha’,168
4,Evaluation of the Mahr,168
1,THE MAHR AS A COUNTER VALUE FOR MARITAL COHABITATION?,169
2,THE MAHR AS AN ECONOMIC FACTOR,170
3,German Case Law,172
4,DECISION OF THE SUPREME COURT OF 28 JANUARY 1987,172
5,DECISION OF THE SUPREME COURT OF 14 OCTOBER 1998,173
1,DECISION OF THE SUPREME COURT OF 9 DECEMBER 2009,174
2,Evaluation of the Cases,176
3,THE ARGUMENTS OF THE PARTIES,176
4,THE ARGUMENTS OF THE SUPREME COURT,178
1,CAN THE MAHR BE INTERPRETED AS AN AGREEMENT ON MAINTENANCE?,179
2,CAN THE MAHR BE INTERPRETED AS AN AGREEMENT ON THE MATRIMONIAL PROPERTY REGIME?,179
1,Evaluation and Conclusion,180
3,Notes,182
1,APPLYING SHARI‘A IN THE WEST,187
