1,AUSTRALIAN CLINICAL LEGAL EDUCATION,1
2,DESIGNING AND OPERATING A BEST PRACTICE CLINICAL PROGRAM IN AN AUSTRALIAN LAW SCHOOL,3
1,ANU PRESS,4
10,o,5
10,a4 a4,5
1,List of authors,7
2,Acknowledgements,11
1,The reason for this book,13
2,Why address Australian clinical legal education now?,13
3,1. THE REASON FOR THIS BOOK,15
1,Coverage of chapters,17
1,Conclusion,21
1,Dramatic growth in the number of law schools,26
2,Regulation of law schools,28
3,developing understandings and abilities related to ethics and professional responsibility;,30
4,being able to communicate and collaborate; and,30
1,Practical legal training and preparation for reflective practice?,31
2,Playing ‘pass the parcel’: Confusion in Australia’s legal education framework,32
3,Broader university agendas,36
4,Work-integrated learning (WIL),37
5,Capstone experiences,38
1,being regularly evaluated.,38
2,Learning and service,39
3,Service learning,39
3,Pro bono,40
3,Wellness and depression in legal education and legal practice,41
1,Ethical infrastructure,44
2,Identifying and strengthening personal values among clinicians and students.”®,46
3,Clinical scholarship,47
4,Conclusion,48
5,Australian clinical legal education: Models and definitions,51
1,Introduction,51
2,What is clinical legal education?,52
3,The role of simulations,56
4,Distinguishing features of clinical legal education in Australia,58
5,Terminology,59
1,What is ‘clinic’?,59
1,What is a ‘client’?,59
2,Models,60
3,the general beneficiaries of law reform or impact litigation.*!,60
4,externships (including internships and placements); and,60
1,clinical components in other courses.,60
2,In-house live client,62
3,Analysis,64
4,External live client clinic (agency clinics),66
5,Analysis,66
1,Externships (including internships and placements),68
2,Analysis,69
3,Clinical components in other courses,72
4,Analysis,73
5,Factors in choice of model,74
1,types of legal work,74
2,Learning objectives,74
3,Extent of control and supervision,74
1,Available resources,75
2,Potential partnerships/placements,75
1,Types of legal work,76
1,Students’ location and numbers,77
2,Conclusion,77
1,Course design for clinical teaching,79
2,Introduction,79
1,Coverage,79
2,Naming a ‘course’,80
3,Course aims and learning outcomes,80
4,The fundamental importance of course aims,80
5,Distinguishing learning outcomes,82
1,Learning outcomes,82
2,Clinical course aims,82
2,Legal doctrine as a course aim?,84
3,Legal theory as a course aim?,84
3,Legal and professional skills as a course aim?,85
1,Social justice as a course aim?,87
2,Public service as a course aim?,88
2,Legal policy and law reform as a course aim?,89
3,Student wellbeing and engagement as a course aim?,89
2,Student aims?,90
1,Clinical learning outcomes,90
2,Terminology for learning outcomes,92
3,In Best Practices we proposed the following possible learning outcomes for clinical legal education:,93
4,Choosing the type of clinic,94
5,Selecting students,96
1,Processes for selection,96
2,Common criteria for selection,97
2,Valid criteria for selection,98
3,Actively promoting the opportunity to enrol,101
4,Teaching in the classroom,102
1,Conduct of the class,103
2,personal experiences in front of a larger group,104
3,Literature,105
1,Length and scheduling of a clinical course,106
2,Course credit value,107
3,Conclusion,108
4,Teaching social justice in clinics,109
5,Introduction,109
1,The idea of ‘social justice’ in law,110
2,Access to justice,111
3,Clinical legal education and social justice,112
2,Clinical legal education and community legal centres,114
3,Working with other professions,116
1,Multidisciplinary clinics,117
1,Growth in clinical externship courses,119
2,International externships,120
2,The practice of social justice in clinics,120
2,Skills development,121
1,Class content and readings,122
2,Legal ethics,123
2,Justice issues in individual client clinics,128
3,Justice issues in dispute resolution Clinical courses,129
1,Justice issues in community engagement clinics,130
2,Community legal education,131
3,Community development,132
5,Law reform,133
1,Conclusion,133
2,Introduction to The importance of effective Supervision,135
3,Introduction,135
4,Supporting and challenging students through supervision,139
5,Supervision in legal workplaces,141
1,How supervision underpins learning in the clinic,144
2,Supervision arrangements in Australian clinics,146
2,Key issues in clinical supervision,149
3,Supervision ratios,149
2,Containing the service imperative,151
1,Developing student autonomy,154
2,Supervision issues generated disagreement in the United States in the,155
3,Particular supervision issues generated by externships,157
3,How law schools can promote effective supervision,158
4,Particular issues generated by online supervision,159
1,Principles to inform law school structures in support of clinical supervision,160
2,The Australian Best Practices includes the following principles relating to clinical supervision,160
3,Guidance for supervisors,161
4,Understand the program,161
5,Communicate clearly,161
1,Be sensitive,161
2,Be collaborative,162
3,Be accountable,162
4,Preparing students to make the most of supervision,162
5,'Effective law student supervision project',164
1,Effective supervision,164
2,Conclusion,164
1,Reflective practice: The essence of clinical legal education,165
2,Introduction,165
3,What our research discovered about reflection,167
2,What is reflection?,168
2,Reflection as an antidote to the technical/positivist nature of legal education,174
3,Why do we want to teach reflective practice?,172
4,is the magic ingredient which converts legal experience into education.,168
1,A review of Australian law schools undertaken by the Pearce Committee in,175
2,Reflection to educate for lifelong learners and resilient practitioners,177
3,Reflection to expose students to law in context,178
2,How should we teach reflective practice?,180
3,Value it,180
1,Explain it,181
2,Concrete Experience Active Reflective Experimentation Observation Abstract,182
3,Conceptualisation,182
4,Figure 1: Kolb cycle of learning*,182
5,What sense can you make of the situation?,183
1,Figure 2: Gibbs’ learning cycle,183
1,Conclusion,189
2,Should we assess reflective practice?,186
3,How do we assess reflective practice?,188
3,Support it,185
1,Clinical assessment of students’ work,191
2,Introduction,191
3,Australian clinicians’ views on assessment: The contributions of our survey to best practices,193
4,Approaches to assessment criteria in different types of clinical experience,194
5,Edited responses from all regions,194
1,Preliminary statement,196
2,Establish relationship with students and through this assess against standards of the supervisor,195
3,Conduct grid and case conferences.,195
1,Literature on assessment purposes and techniques,197
1,Best practices in United States legal education: Grading beyond pass/fail,198
2,Formative and summative assessment in clinics,204
3,After grading,207
4,Pressure to standardise clinical assessment,207
5,Strengthening formation—recognising metacognition,209
1,Conclusion,210
2,Resourcing live client clinics,213
3,Introduction,213
4,Clinic supervisors,215
5,Clinic program directors,218
1,What is involved in clinical leadership?,219
2,Clinical supervisors (‘clinicians’),220
2,Rationales behind clinical supervisor—student ratios,224
2,Funding,225
1,Major funding needs,227
2,Introduction and the United States,231
2,Introduction,231
3,Why best practices?,233
3,Process,236
1,Australia,237
2,Clinical Legal Education Organisation (CLEO),239
3,United Kingdom,239
4,United States,240
5,Best Practices Project,240
6,Conclusion,242
1,General scope of best practices,243
2,Live client clinics,243
3,United States,244
4,Course Design,244
5,Conclusion,253
6,Clinical legal education,253
7,Growth in Juris Doctor degrees,255
1,Globalisation of legal practice and legal education,257
2,Changes in legal service provision to the disadvantaged,259
3,Impact of funding crisis: Victoria Legal Aid example,260
4,New models: Multidisciplinary clinics,261
