2,PRACTICAL FINANCE AND BANKING GUIDES,3
3,Consumer Credit: Law and Practice Second edition Alexander Hill-Smith,3
2,CONTENTS,8
1,Conclusion,11
2,COMPLIANCE IN MICRO-PRUDENTIAL OVERSIGHT Introductory overview General overview of Pillar II bank supervision,11
3,IN MACRO-PRUDENTIAL REGULATION OF SYSTEMIC RISK,12
4,CHAPTER9 THE ROLE OF RISK MANAGEMENT AND COMPLIANCE IN CONSUMER PROTECTION REGULATION,13
5,Conclusion,14
1,Originate-and-distribute model: MBS securitization,16
2,Growth in commercial banking assets over time,16
3,Pyramid of regulatory expectations,16
1,Principal-agent relationship,16
2,Evolution of bank capital ratio in the US,16
5,LIST OF TABLES,18
1,INTERNATIONAL,26
1,DOOK? (2009) ceceeccesecsesescsseecseseessescscsessssesesecscsesesssesscessceesesasseecsesecessesesaeesaegs,26
2,Principles of Corporate Governance (2004),27
5,ACDD79CTSDGA> eee eseceseeeeseeeeeeesescssesesseseesceaeseeecseesceecseeecsecaeeecsesaseesaeeeceesaseeenees,28
1,UNITED STATES,28
1,NOTE ABOUT THE AUTHOR,34
1,Acknowledgments,36
2,Introduction,40
3,A transformation of governing assumptions,40
4,Themes in bank regulation and banks’ internal governance,41
5,Cooptation of corporate governance,41
1,2 Tensions between banks’ business models and regulatory mandates,42
2,Flexibility and broad variety of means in conveying regulatory expectations,43
3,Contribution to the literature and intended readership,45
4,Book overview,46
5,Part II,48
1,CHAPTER 1,54
1,The banking business model and rise of the financial conglomerate,54
2,FOUNDATIONS,55
1,Table of Contents,63
2,Adverse selection and moral hazard risks faced by banks and bank regulators,63
3,Adverse selection,63
4,Measures against adverse selection,63
5,Definition,63
6,Origination parties,69
1,Figure 2. Growth in commercial banking assets over time,74
2,The bank regulatory framework and formation and conveyance of regulatory expectations,76
1,BANK REGULATORY FRAMEWORK AND EXPECTATIONS,78
3,Table 2. The four supervisory structures of financial regulation: efficiency/effectiveness,82
3,Supervisory Structural features Efficiency/effectiveness structure,82
1,Objectives most effectively and efficiently,85
1,CLARITY IN SUPERVISORS’ OWN REGULATORY OBJECTIVES,86
2,EFFECTIVENESS IN OVERSEEING FINANCIAL CONGLOMERATES,86
3,SUPERVISORY RESOURCES,86
4,INDEPENDENCE AND ACCOUNTABILITY,87
1,5 ENFORCEMENT POWERS AND THEIR USE,87
2,Macro-prudential,101
3,A CORPORATE GOVERNANCE FRAMEWORK,108
4,Agency Control,111
1,the FRB’s effort to hold business lines accountable for risk management,121
2,Second line of defense: risk management and compliance,121
3,Monitoring and testing compliance by employees with the P&Ps; and,123
5,ensuring directors were not in violation of their fiduciary duties. In In re Caremark,127
6,Risk measurement: an introduction to value at risk,137
7,The role of risk management and compliance in micro-prudential capital regulation,150
1,BANK REGULATION AND INTERNAL GOVERNANCE,151
2,Table 4.1 Regulatory capital ratios of JPMorgan Chase & Co. and Apple Inc.*,152
3,Evolution of bank capital ratio in the US,154
5,RWA sample calculation,160
1,CRC of sovereign Risk weight (in %),164
2,67 12 CFR § 217.41(a)(1)-(4). Separate conditions apply to synthetic securitizations. 12 CFR §,166
1,Banks are required to use the advanced measurement approach’ using the,170
3,The role of risk management and compliance in micro-prudential oversight,180
2,Capital: focus of supervisory review for all banks,181
3,Modern bank regulation views capital as the cornerstone of bank safety and,181
5,Standards for safety and soundness,187
6,12 U.S. Code § 1831p-1 — Standards for safety and soundness,187
8,PCA levels for all insured depository institutions,196
9,Table 5.1,196
1,Well capitalized,196
2,The role of corporate governance in macro-prudential regulation of systemic risk,198
3,Best-practice risk management area,211
4,in large financial conglomerates in which the principal-agent conflict plays an,207
5,be consistent with the firm’s financial and non-financial resources; and,224
1,Processes and systems,227
2,Risk management and compliance implications,232
3,The capital solution to systemic risk,232
4,Advanced approaches,233
5,THE CAPITAL SOLUTION TO SYSTEMIC RISK,234
1,The structural solution to systemic risk,250
2,Risk management and compliance implications,250
2,THE STRUCTURAL SOLUTION TO SYSTEMIC RISK,252
3,to insure compliance with this section’ .*!,262
4,Table 8.1 Compliance programs for Volcker banking entities,263
1,CONSUMER PROTECTION REGULATION,270
2,the agency has relied upon its authority to prosecute UDAAPs more than any other authority.°”,277
3,Homeowners Protection Act of 1998 (HPA),279
1,The role of risk management and compliance in the payments system,288
2,AML/CFT regulation,288
3,Introduction overview,288
4,Reasonably identify and verify customer identity; and,296
1,REFERENCES,312
1,INDEX,322
2,CDD (customer due diligence) see AML/ CFT compliance program,325
1,cooptation of corporation governance,326
2,counterparty credit risk,326
3,CRM (comprehensive risk measure) see market risk capital rule,327
4,customer identification program (CIP) see AML/CFT compliance program,327
5,discount window: as part of safety net,328
2,Morgan Stanley: converted to BHCs,334
3,SAR (Suspicious Activity Report) see AML/CFT law and regulation,338
4,VaR (Value-at-Risk): advantages and disadvantages,340
5,Vickers ringfencing reform: compliance implications,340
