1,Asia-Pacific Environment Monograph 2,1
1,BOATS T0 BURN: BAJO FISHING ACTIVITY IN THE AUSTRALIAN FISHING ZONE,1
2,E PRESS,4
3,List of Maps,8
2,Map 2-1: Area in which Sama-Bajau speakers are found in Southeast Asia.,8
3,List of Figures,8
1,List of Plates,9
2,of Plates,9
1,Foreword,11
2,Boats to Burn,12
3,xii,12
1,Boats to Burn,12
1,James J. Fox Research School of Pacific and Asian Studies The Australian National University,13
2,Acknowledgments,15
4,Abbreviations,19
5,Chapter 2: Bajo Settlement History,27
1,Origin and Dispersion of the Sama-Bajau,29
2,The Tukang Besi Islands,32
3,Bajo Settlements in the Tukang Besi Islands,35
4,Kecamatan Wangi Wangi Kaledupa Tomia Binongko,34
1,The Villages of Mola Utara and Mola Selatan,36
2,Other Bajo Settlements,41
3,The History of Bajo Settlement in the Tukang Besi Islands,42
4,The Kahar Muzakkar Rebellion and Bajo Migration,44
1,Bajo Settlement at Pepela,48
2,Chapter 3: The Maritime World of the Bajo,51
2,Bajo World Views,51
3,Supernatural Beings,51
2,Magic and Ritual,53
1,Concepts of the Soul,54
2,‘Custom’ (Adat),56
2,Maritime Livelihoods,57
3,The Monsoon Regime,57
3,The Local Fishing Economy,58
1,Maritime Technology,65
2,Distant Shore Fishing Activities,61
3,Ngambai Net Fishing,63
5,Perahu lambo are generally between 10 and 40 tonnes in weight (Horridge 1985: 66),66
1,It is possible to determine when the Bajo living at Mantigola in the 1930s and,68
2,Rituals of Boat Construction,70
4,The Drilling of the Navel and Ritual Launching,72
5,Chapter 4: Bajo Voyages to the Timor Sea,77
3,The Bajo Encounter with Tuan Robin,81
4,The Bajo Encounter with British Airmen in 1936,86
5,Bajo Fishing in the Timor Sea Before World War Il,92
1,In Dutch times,92
2,The Bajo Encounter with Australian Scientists in 1949,94
3,The cost of the voyage was not much,96
5,Chapter 5: Australian Maritime Expansion,103
1,Australian Government Perspectives in the Post-War Period,105
2,New Bilateral Arrangements with Indonesia,108
3,The 1974 Memorandum of Understanding,109
1,INDONESIA,110
2,Australian Enforcement of the MOU,111
4,Extension of the Australian Fishing Zone,114
1,The Ashmore Reef National Nature Reserve,115
2,Amendments to the 1974 MOU,118
2,The Institutional Regime,120
1,Type!,121
2,Types,121
3,Apprehensions in Darwin and Broome 1985-93,123
4,Q31. Do you have any knowledge of such a thing called the Australian Fishing Zone?,123
5,Q42. Do you have anything else you wish to say?,124
1,On 12 March the Pacific Adventurer towed all four vessels to the outer limit of,125
2,Twenty of these industrial shark boats were apprehended in 1989 and 11 in,126
3,Policy Reviews in the Mid-1990s,130
4,Chapter 6: Bajo Responses to Australian Policy,134
1,The Growing Focus on Sharks,138
2,With the increase in Australian surveillance and enforcement measures from,142
2,Bajo Perceptions of Australian Policy,144
3,Shark Fins and Longlines,146
1,The dramatic rise in the value of shark fin during the late 1980s and early,149
2,Black fin cut potong biasa potong semi potong full,150
3,Price per kilogram (Rp) 40 000 105 000 150 00,150
5,Preparations for Departure,155
1,Owners,156
2,Captains and Crew,156
3,The Day of Departure,161
4,The Bajo Fleet in Pepela,163
5,Mola Pepela in Pepela Bajo crew Mantigola,164
1,No. of trips,164
2,No. of perahu,164
3,The Fishing Grounds,169
4,Navigation Techniques,169
5,Utara,170
1,Fishing Rituals,172
2,The Economics of Shark Fishing,174
3,The Trader-Bosses of Pepela,175
4,Grading and Marketing Shark Fin,176
5,Credit and Profits,180
1,Financial Independence and Indebtedness,182
3,Karya Satu 1 200 000 6 000 000,185
4,Sumber Bahagia 10 000 000 3 000 000,185
5,Tunas Muda [captain sick] 600 000 900 000,185
1,What is 'Traditional' Activity?,192
2,In an overview of developments in the ‘invention of tradition’ literature since,193
1,The Risk and Cost of Apprehension,187
3,Mekar Indah 7 940 200 3 000 000 4 000 000,185
3,Mola Bajo,185
2,Chapter 8: An Evaluation of Australian Policy,191
1,Traditional Activities in the MOU,194
2,The idea that Indonesians were engaged in subsistence fishing influenced the,194
3,The Case of the Karya Abadi,196
4,Commerce and Tradition,198
5,How Effective is Australian Policy?,201
1,The Australian Aid Program,203
2,The Record of Apprehensions,205
3,Lh Year,206
4,Year Total Type 2 Bajo Type 2,207
5,New Policy Approaches,208
1,A Licensing System,208
2,Reasons for Inaction,209
3,Appendix A: Sources on Indonesian Fishing in Australian Waters,215
4,Memorandum of Understanding of 1974,219
5,North West Coast of Australia,220
1,Arafura Sea,221
2,Fishing in waters between Christmas Island and Java and other waters,221
3,Wildlife Cooperation,221
4,Consultations,221
1,Recent Research on Southeast Asian Nomads,231
2,Malays as Indentured Labour: Western Australia,231
3,Religious Beliefs of the Tawi-Tawi Bajau,232
4,Constructions of Aboriginal Tradition for Public Purpose,233
1,Tracking Sasi,236
2,Index,237
3,wind compass,242
