1,A Century of the Canadian-American Water Relationship,5
1,UNIVERSITY OF CALGARY Press,1
2,Canadian History and Environment Series,4
3,Edited by LYNNE HEASLEY and DANIEL MACFARLANE,5
10,© 2016 Lynne Heasley and Daniel Macfarlane,6
1,Canada-U.S. border watersheds,11
2,Negotiating Abundance and Scarcity: Introduction to a Fluid Border,21
3,LYNNE HEASLEY AND DANIEL MACFARLANE,21
4,Mean Annual Precipitation (mm) 1981-2010,27
1,So why the good outcome Our explanation begins at the U.S.-Canada border,28
2,The Boundary Waters Treaty of 1909 and the IJC figure prominently in,30
3,Notes,38
4,'Sporhase v. Nebraska ex rel. Doug-',38
5,The foundational work of North American water history on which historians and theorists continue,38
6,'Lynne Heasley and Daniel Macfarlane',38
7,a pattern that was familiar in the American West the role played by water law in creating shortages,39
2,Pandora’s Locks: The Opening of the Great Lakes-St. Lawrence Seaway (East Negotiating Abundance and Scarcity),45
1,PART ONE Finding the Border: Political Ecologies of Water Governance and Tenure,45
1,Openings,47
2,Political Ecologies on the Border,47
3,Pollution doesn’t respect political boundaries.,47
4,DAVE DEMPSEY,47
6,Originally viewed as a temporary information service in the late,54
2,Noau D. HALL AND PETER STARR,57
3,Introduction: The Origins of United States- Canada Water Management,57
1,Illinois,60
2,ll. U.S. Context: Approaches to Transboundary (Interstate) Water Management,60
2,Interstate Water Allocation through Equitable Apportionment,61
3,Interstate Water Allocation through Interstate Compacts,61
2,Historical Interstate Nuisance: Example of the Chicago Diversion Litigation,63
1,Contemporary Interstate Nuisance: Asian Carp and the Chicago Diversion Today,65
2,Ill. Binational Context: International Agreements on Water Management,67
3,THE GREAT LAKES WATER QUALITY AGREEMENT,67
4,THE GREAT LAKES CHARTER OF 1985,69
5,ANNEX 2001 TO THE GREAT LAKES CHARTER,71
1,e animprovement to the Waters and Water-Dependent Natural Resources of the Great Lakes Basin; and,71
2,STATE-PROVINCIAL COOPERATION UNDER THE GREAT LAKES AGREEMENT,76
2,INTERSTATE MANAGEMENT UNDER THE GREAT LAKES COMPACT,78
4,pass a reasonable-use balancing test”,77
1,IV. CONCLUSION,79
1,Dellapenna Interstate Struggles,81
3,Il. Defining The Border: A Process of Social Construction,84
4,lV. Sharing a Continent: Indigenous Space and Governing Water,87
2,Pinpointing the historical moment when territorial boundaries became conflated with citizenship and nationhood is a challenge.,87
