1,European Constitutional Law Network-Series Vol. 10,1
2,Brexit and the Future of EU Politics,1
3,A Constitutional Law Perspective,4
1,Introduction,4
2,Abstract,17
3,Inhalt,13
1,Sovereignty must be seen not as an immutable idea or notion,18
2,Tom Exjsbouts,18
3,Brexit: a miscarriage of democracy,19
4,Sovereignty In The European Way,19
5,Sovereignty in general and in the context of EU,19
6,Sovereignty as a notion: more than legal,23
1,Creation of the Euro-summit,24
2,Conclusion: suggestions for reading sovereignty and the EU constitution,25
3,Ana Maria Guerra Martins,29
4,Abstract,29
1,Brexit From The Perspective Of Eu Sovereignty,31
2,Ana Maria Guerra Martins,32
3,The EU’s challenges to the idea of sovereignty,32
4,The EU Sovereignty Idea May Cause More Damages than Gains,34
5,Other difficulties Raised by the Extension of the Concept of Sovereignty,35
1,3 Denial of EU Sovereignty,37
2,The evolution of EMU Governance denies the EU Sovereignty,37
1,The reversibility of the UK decision of leaving the EU,38
2,Reversibility of the UK decision of leaving the EU,38
1,4 The Role of Sovereignty within the Negotiations of Brexit,41
2,Role of Sovereignty within the Negotiations of Brexit,41
1,May EU Sovereignty emerge after Brexit?,42
2,EU Sovereignty emerge after Brexit?,42
10,Giacinto della Cananea ,45
1,Ever Closer Union,45
2,Introduction,45
2,Abstract,45
2,Two Visions of Europe (I),47
3,Union of Peoples,47
4,Community of Destiny,47
1,A Unitary Institutional Framework,51
2,A ‘Community of Interests’,59
3,The Shift from Principles to ‘Values’,61
4,C. A Unitary Institutional Framework,51
5,D. Flexibility Within Unity,55
6,E. The Difficulties of this Vision of Europe,56
1,D. From Transitional to Permanent Differences,63
2,E. The Difficulties of this Vision of Europe,64
3,IV. The Institutional Mechanisms of Differentiated Integration within the EU A. Clarity and Coherence,66
5,D. ‘Internal’ International Agreements: the Fiscal Compact,74
1,Two-speed Europe: Concept and Issues,77
2,A Synthesis,80
3,Legal Mechanisms of Integration Beyond the EU,81
4,A. A Single Market Beyond the Union: the European Economic Area,81
5,B. Schengen’s Mixed Membership,82
1,A Europe of Concentric Circles: a ‘Misleading Simple Idea’,85
2,Implications for the post-Brexit Scenario,87
3,Conclusion,89
4,'Union fundamental rights' can become a medium of a real — two direction — dialog,91
5,Abstract,91
1,I. Introduction,91
2,II. The position of the EU charter in United Kingdom,94
3,IV. Recent developments,97
4,V. Conclusions,98
1,The Brexit Process as an Exercise of Democracy,101
2,A. The Cameron Strategy was democratic,104
3,Abstract,105
4,B. Advisory Referendum and Democracy,106
5,C. The Terms of Article 50 TEU as an Expression of Democracy,107
1,D. Stimulating democratic Processes in the EU,109
2,II. The Brexit Process as a Challenge to Democracy,110
3,A. Union Citizens who have made use of their fundamental Freedoms,110
4,1. Decisions with no Voice for those affected,111
5,2. The Principle of loyal Cooperation as a negotiation Guideline,112
1,Exclusion of Nationals in other Member States from the Vote,113
2,The European Parliament and the Union Citizens’ Rights,114
3,Protection of acquired Rights by the Countries of Residence?,115
4,Parliamentary Democracy and Systemic Lying: Trust and Distrust,117
9,Lies and Democracy,115
1,Direct Democracy: the Risks of irreversible Decisions,118
2,Advisory' Referendum?,119
3,Courts and Democracy,122
4,Lessons learned: Democracy in the EU,123
1,B. Dynamics of Democracy: What if Brexit loses Support?,124
2,C. Growing Awareness of the Externalities of national Politics,127
3,D. People and Citizens of Member States acting as Citizens of the EU,129
4,Conclusion,129
5,Paula Vaz Freire,133
1,The economic effects of Brexit in the UK and in the EU are still uncertain. ,133
2,I. Internal Market and the UK ,133
1,Economic Impacts of Brexit ,134
2,Legal Framework for UK'S 'Access to the EU Single Market' ,139
3,Financial Contribution ,142
1,Conclusive Remarks,143
2,Rut Lanceiro,145
2,Abstract,145
3,Introduction: the current debate on non-national EU citizens social rights in a host State,145
4,The evolution of the case-law: the UK child benefit or child tax credit case,160
1,V. Critical Analysis,172
3,Immigration after Brexit: Ironies and Challenges,185
4,I. Introduction,185
1,Reversed Dynamics,186
1,Status Quo: Extended Opt-out,186
1,Brexit: Loss of the Opt-in Option,187
1,The Future: Reversed Dynamics,189
2,Immigration of Third Country Nationals,186
3,British-Irish Border: The Search For Pragmatic Solutions,190
1,A. Immigration and Border Controls,191
2,B. Customs Controls and the so-called “Backstop”,192
3,IV. EU Citizenship and Free Movement Of Persons,193
4,A. Securing Citizens’ Rights,193
5,B. Intra-European Mobility and Immigration After Brexit,196
1,V. Conclusion,197
2,I. Introduction,201
3,Introduction to Jean-Victor Louis,201
4,Abstract,201
5,Jean-Victor Louis,201
1,The declaration mentions in its introduction the determination of the Union and the United Kingdom,208
2,The UK would also have to leave the European Investment Bank (EIB).!8,212
3,IV. The economic and social consequences for the UK,214
2,V. The impact on the continental financial markets*”,216
1,VI. Some short conclusive remarks,225
2,Stefan Griller,227
3,Abstract,227
4,Introductory Remarks,227
1,I. On the Dynamics of EMU-partictipation and EMU-reform,228
2,II. On the Importance of Commercial Presence on 31 October 2019,230
3,III. On the Systemic Importance of Clearing Houses,233
1,Common Foreign and Security Policy After Brexit,235
1,II. Initiatives addressing CFSP and CSDP after Brexit: the EU and the UK perspectives,247
2,A. The EU Perspective,247
3,clusion of such agreement*,255
4,A. The Agreement on the Withdrawal and the Common Foreign and Security Policy,264
5,75 Art 127 (7) (a) of the Withdrawal Agreement,265
3,A. Common grounds as a basis of the future EU-UK relationship,269
4,B. Possible issues and forms of cooperation to be addressed,272
2,University of Bielefeld,278
3,Constitutional Court of Czech Republic,278
4,Charles University in Prague,278
