1,Series Editor,2
1,David Freestone,2
1,VOLUME 23,2
2,Climate Change and International Shipping,3
2,The Regulatory Framework for the Reduction of Greenhouse Gas Emissions,3
1,Classification,4
2,Lc record available at https://lccn.loc.gov/2016036874,4
4,ISSN 1875-0923 ISBN 978-90-04-32930-0 (hardback) ISBN 978-90-04-32931-7 (e-book),4
1,Contents,5
1,Introduction,7
2,Foreword,9
3,Series Editor Preface,10
4,Acknowledgements,11
5,8.4,7
6,Findings on Main Stakeholders in GHG Emissions from International Shipping,7
1,6.1,12
1,Introduction,19
2,INTRODUCTION,21
2,11 Greenhouse Gas Emissions as a Regulatory Challenge,22
3,11.1. Greenhouse Gas Emissions and Climate Change,23
1,L111 An Overview of Climate Change,23
2,FIGURE 1.1 Global anthropogenic GHG emissions,27
3,1.1.2 Transboundary Nature of Greenhouse Gas Emissions,27
4,1.2 Contribution of International Shipping to Greenhouse Gas Emissions,32
5,1.2.1 Introduction to International Shipping,32
1,Ship Type Sub-type of Ships and their Definitions,35
3,Seaborne trade and World Merchant fleet > 100 GT,37
5,1.2.2 Greenhouse Gas Emissions from International Shipping,38
1,General Emissions Statistics from International Shipping,40
2,Summary of GHG emissions from shipping during 2007,41
2,Statement of the Problem,44
3,Scope of the Book and Chapter Outline,47
4,Identifying gaps existing in the current regulatory framework; and,47
1,Table of Book Chapters and Main Line of Argument,48
2,Book Chapters and Main Line of Argument,48
1,GHG Emissions from International Shipping,51
2,The Concept of 'Pollution',51
2,Marine Pollution Definition for the Purpose of this Book,51
2,Greenhouse Gas Emissions from International Shipping and 'Pollution',55
3,Legal Analysis of Treaty Definition of Pollution in Context of GHG Emissions from International Shipping,55
1,National Legislation on the Legal Nature of GHG Emissions,58
2,Jurisdiction over Greenhouse Gas Emissions from International Shipping,62
3,The Concept of Jurisdiction”,62
4,Coastal State Jurisdiction,67
5,Port State Jurisdiction,71
1,Environmental Liability for Transboundary Harm Caused by Greenhouse Gas Emissions from International Shipping,74
2,An Overview of Transboundary Harm,75
3,previous treaties,80
4,When applying this provision to the adoption of amended Annex vi to MARPOL,86
5,Apply precautionary measures pursuant to the doctrine of “no regrets”,95
1,Civil Aviation Organization and the International Maritime Organization,113
2,Marine bunker fuel,113
2,TABLE 2.1 Different categories of polluters,125
3,Category Criteria of Polluters Types of Persons as Polluters,125
5,Nature and effects of conduct or Any activity that contributes to the,125
7,TABLE 2.1 Different categories of polluters (cont.),126
1,Category Criteria of Polluters Types of Persons as Polluters,126
2,TABLE 2.2 Different cost bearing arrangements by regional or international instruments?,126
1,Regional or International,127
2,Instruments Types of Cost Bearing,127
2,Category Sub-category Examples,128
2,Category Sub-category Examples,129
1,Global mean temperature likely to increase by about,161
2,TABLE 3.1 Evolution of the International Climate Change Regime (cont.),162
3,Stage of Development Major Outcomes Meeting Date,164
1,cop/cMpP or Organiser Key Elements/Contributions,165
2,COP 12 Accepted Belarus as an Annex B Party under the KP. /CMP 2,165
3,TABLE 3.1 Evolution of the International Climate Change Regime (cont.),166
4,COP 15 /CMP5,167
5,COP 16,167
1,COP 6,167
2,CMP 7 / COP 17,167
1,Lima Call for Climate Action,168
2,Paris Agreement,168
2,COP 20 / CMP 10,169
1,COP 21/CMP 11,169
2,framework”9,169
5,The IMO Response to the Issue of Greenhouse Gas Emissions from International Shipping,195
2,TABLE 4.1 Main events of 1Mo’s work on GHG emissions from international shipping,203
3,Meetings Meeting Major Outcomes Base Documents Date,203
5,MEPC 45  Jun2000_ First Mo Study on GHG Emissions from MEPC 45/8,203
1,THE IMO RESPONSE TO THE ISSUE OF GHG EMISSIONS,205
2,MEPC 59,204
3,Jul 2009,204
4,Meetings Meeting Major Outcomes Base Documents Date,205
2,Implementation of energy efficiency; MEPC.224(64),205
1,MEPC 64 Oct2012,205
3,Main events of IMo’s work on GHG emissions from international shipping (cont.),206
2,Meetings Meeting Major Outcomes Base Documents Date,206
4,Meeting Date,207
3,alternative sources of energy.”,216
1,TABLE 4.2,217
2,Remark,217
3,dimensions and form,217
2,Ship design for efficiency via choice of main dimensions,217
2,SEEMP related measures?,221
1,Engine tuning and Engine operational performance and condition monitoring optimisation.,221
2,No. Energy Efficiency Measure Remark,221
3,Hull condition Hull operational fouling and damage avoidance.,221
4,Propeller condition Propeller operational fouling and damage avoidance.,221
10,Annual emission reduction by 2050 and new emissions levels (scenario A1B-4).,227
2,FIGURE 4.2 Annual emission reduction by 2050 and new emissions levels (scenario A1B-4).,227
10,Seven types of MBM troposals submitted to the 1Mo (as of May 2013),234
2,TABLE 4.4 Seven types of MBM troposals submitted to the 1Mo (as of May 2013),234
5,Focus on In-Sector and ‘In-Sector & Out-of-Sector’,235
1,In-Sector),235
2,emission reduction,236
3,(Grouping: In-Sector & Out-of-Sector),236
2,emission reduction,237
3,shipping integrated with the International,237
1,The origin of the modern shipping industry can be traced back to the year,245
2,views and practice on proposed market-based measures (MBMs); and views and practice on other issues in relation to the reduction of GHG emissions from ships,246
3,Shipbuilding Deliveries (GT),252
4,As polluters who should be held responsible for employing the services of sub-standard vessels.34,253
5,(8) accommodating to leading technologies in the field of energy efficiency; and,255
1,Complexity in defining responsible bodies about emission rights and obligations,299
2,Uncertainty in ETS market,299
3,India is peninsular in nature having a long coastline of about 7517 km and,301
4,RESPONSE FROM FLAG & PORT STATES TO THE ISSUE OF GHG EMISSIONS,307
5,to the calculation process of that study,316
1,Improvement submitted by Greece MEPC 62nd Session Agenda Item 5,317
2,Efficiency Incentive Scheme EIS proposed by Japan and World Shipping Council wsc,319
2,Penalty on Trade and Development proposed by Bahamas,319
1,Report of the Marine Environment Protection Committee on its 58th Session IMO Doc MEPC,323
1,Resolution A.963(23),336
2,Or,339
2,of phasing in,340
3,Sources of funding and financing; and,350
3,Evaluation and reporting.?2,350
1,SCOPE,360
2,Port Direct SCOPE 3 SCOPE 2 Port Tenants,360
1,FIGURE 6.1 GHG emissions scopes relating to port operations.?8°,360
3,LEGAL & INSTITUTIONAL FRAMEWORKS FOR REGULATING GHG EMISSIONS,375
4,7-2 Influence and Interaction of Various Stakeholders in Regulating and Implementing GHG Emissions from International Shipping,375
1,The EED! is the main technical measure that the Mo has adopted in tackling,387
5,needs to be improved so as to reduce GHG emissions more effectively and,387
4,more collaboration between industry stakeholders and a solution to the issue of split-incentives; and,391
5,effective monitoring of SEEMP implementation via rigorous audits and reviews.,391
1,Ship Efficiency and Credit Trading,404
2,Penalty on Trade and Development,405
3,TABLE 7.1. Grouping of the MBM proposals,407
10,(2) the incentive to technological change,410
10,(2) the incentive to technological change,411
1,technical and operational! improvements,423
2,it has also been described as reflecting an ‘unprecedented normative and,428
3,Conclusion,441
4,The harm is caused between the flag State and a third State; or or The harm is caused between two flag States.,442
1,Bibliography,451
2,Reforming Australia’s Shipping: Stakeholder Discussion Paper,451
3,A Global Cap-and-Trade System to Reduce Carbon Emissions from International Shipping,451
5,Flags of Convenience: An International Legal Study,452
6,The Emerging Climate Change Regime,452
1,Bibliography,453
3,Protecting the Marine Environment from Land Based Sources of Pollution,457
4,Global Climate Change: Australian Law and Policy,457
5,Cetaceans and Other Marine Biodiversity of the Eastern Tropical Pacific: Options for Adapting to Climate Change,458
1,Legality of the Threat or Use of Nuclear Weapons (Advisory Opinion) (1996) 1cJ Reports,460
2,Interpreting the Precautionary Principle,462
1,Report of the Marine Environment Protection Committee,465
2,Report of the Marine Environment Protection Committee on Its Sixtieth Session,465
3,Report of the Marine Environment Protection Committee on Its Sixty—Fifth Session,465
4,Report of the Marine Environment Protection Committee on Its Sixty—First Session,465
5,Report of the United Nations Conference on Environment and Development,466
6,Report of the Working Group on Energy Efficiency Measures for Ships,466
1,Clean Air Act of the United States of America,471
2,Charter of the United Nations and Statute of the International Court of Justice,471
3,Convention for the Protection of the Mediterranean Sea against Pollution,472
4,International Convention on Load Lines,473
5,Midwest Greenhouse Gas Reduction Accord,473
1,Montreal Protocol on Substances that Deplete the Ozone Layer,473
2,United Nations Convention on the Law of the Sea,474
3,United Nations Framework Convention on Climate Change,474
4,Vienna Convention for the Protection of the Ozone Layer,474
5,Agenda 21,475
1,Amendments to the Procedures for Port State Control,475
2,imo Doc Res A.882(21),475
3,Application of EEDI to Ships other than Those Operating with Conventional Machinery and Power Distribution Arrangements,475
4,Charter of Economic Rights and Duties of States,476
5,Bergen Ministerial Declaration on Sustainable Development,476
7,Comments on the Guidelines on the Method of Calculation of the Energy Efficiency Design Index for New Ships,476
8,Decision 1/CP.21 Aoption of the Paris Agreement,478
1,II Yearbook International Law Commission (1980) Pt,481
2,Doc MEPC 63/5/8,482
1,Partnerships in Environmental Management for the Seas of East Asia,483
2,Procedures for Port State Control,483
3,Proposal Submitted on behalf of the Group 77,484
4,Protection of Global Climate for Present and Future Generations of Mankind,484
5,Rio Declaration on Environment and Development,485
1,Scientific Study on International Shipping and Market-Based Instruments,485
2,Stockholm Declaration on the Human Environment,485
3,EU ETS and Aviation,486
1,World Ports Climate Initiative,493
2,World Ports Climate Declaration (July 2008),493
3,Chronological List of Disputes Cases,493
4,Index,494
5,HCS (Hellenic Chamber of Shipping) 263 Hybrid market-based measure 223,495
7,IsF (International Shipping Federation),496
1,Iso (International Organization for Standardization),496
2,ITLOS (International Tribunal for the Law of the Seas),496
3,NDC (Nationally Determined Contribution),497
4,'based measure',498
5,'UNCD (United Nations Conference on Environment and Development)',498
