1,German Federal Ministry of Justice and Consumer Protection,1
2,Germany A Comparative Study,5
3,Table of Contents,7
4,'XV. Enforcement',8
6,Set and layout: Franziska Pannach Cover design: Jutta Pabst Cover picture: Maksim Kabakou/shutterstock.com,6
1,Study Structure,13
2,Chapter 1 Study Structure,13
3,Current Judicial and Administrative Issues of Consumer Data Protection in Brazil (Prof Dr. Danilo Doneda),11
5,Comparative Thematic Issues of Consumer Data Protection,12
2,A. Consumer Data Protection in Brazil,19
3,Consumer Data Protection in Brazil,19
4,Introduction,19
5,Research Activities,15
6,General Overview of the Study,16
1,I. Introduction,19
2,II. Overview and scope of legislation addressing consumer data protection,20
3,Character of legislation,20
4,General legal framework for consumer data protection,23
1,Banks,24
2,Media-related acts,24
2,Specific acts for e-commerce,24
3,Applicability of data protection acts,25
2,Definitions of consumer and data,26
1,General guiding principles,28
3,Approaches to consent,30
2,Publicity and transparency,31
4,Data security,32
2,Roles and responsibilities of intermediaries,33
3,Access to user data by third parties,34
4,Provisions on data retention,34
5,See Resolution 614 of Anatel: <http://www.anatel.gov.br/legislacao/resolucoes/2013/465- resolucao-614L (last accessed 7 August 2015),34
1,XV. Enforcement ,36
2,Civil law ,38
3,Criminal law ,39
4,Administrative law ,39
5,A. Consumer Data Protection in Brazil ,40
1,XVI. Role of self-regulation and co-regulation,40
3,Consumer Data Protection in China (Prot. Dr. Zhou Hanhua),41
4,Introduction,41
5,B. Consumer Data Protection in China,41
6,II. Overview and scope of legislation addressing consumer data protection,42
2,Applicability of data protection acts,55
3,Definition of consumer and data,56
4,Tort Liability Law,44
5,Law on Mediation and Arbitration of Labor Disputes,44
6,Anti-Money Laundering Law,44
7,Law on the Organization of the People’s Courts,44
8,Law on Banking Regulation and Supervision,44
9,Notarization Law,44
1,V. General guiding principles,57
3,VU. Approaches to consent,60
4,'The Several Provisions on Regulating the Market Order of Internet Information Services of',61
5,VIL. Publicity and transparency,62
1,Data security,63
2,Roles and responsibilities of intermediaries,65
3,In the Telecommunications Business Classification Catalogue issued by the MIIT in 2003,65
2,XII. Access to user data by third parties,68
1,XIV. Provisions on data retention,69
2,Provisions on data retention,69
1,XV. Enforcement,70
2,Enforcement,70
3,Role of self-regulation and co-regulation,76
2,Self-regulation and co-regulation,76
1,C. Consumer Data Protection in Germany (Prof. Dr. Gerald Spindler),77
2,Introduction,77
1,II. Overview and scope of legislation addressing consumer data protection,78
2,III. Applicability of data protection acts,83
2,IV. Definitions of consumer and data,87
3,Definition of personal data,88
2,Absolute and relative approach to the identifiablity of persons,89
3,The definition of personal data under the GDPR would extend from the Directive,94
4,V. Basic concepts,97
1,VU. Approaches to consent,101
2,VI. Publicity and transparency,105
3,IX. Data security,108
5,XI. Roles and responsibilities of intermediaries,110
1,a. The controller,111
2,Rules for the controller,118
3,Joint controllers,119
1,c. Processing on behalf of the controller,113
2,b. Joint controlling,111
1,Data Protection Directive,122
2,Rules regarding the processor,119
3,a. Data Protection Directive,122
4,b. General Data Protection Regulation,126
5,XII. Access to user data by third parties,121
6,XIII. Provisions on data retention,121
1,Place of jurisdiction,129
2,Third-country actions against data controllers,129
3,XV. Enforcement,131
4,The position of the Data Protection Officer,135
5,Rights and powers of the Data Protection Officer,136
1,XVI. Role of self-regulation and co-regulation,139
2,The Data Protection Officer and the proposal for a General Data Protec- tion Regulation,138
3,Independence of the Data Protection Officer and the special dismissal protection,136
4,L UN Guidelines for Consumer Protection,140
5,Il. OECD Guidelines,141
1,The Memorandum states that the,143
2,avoidance of practices involving unfair discrimination between individuals; and,144
3,Ill. The Global Privacy Enforcement Network (GPEN),147
3,The GPEN Action Plan highlights that,148
2,IV. Convention 108,151
4,A total of 41 European states have ratified the Convention so far.””' (removed quotes),152
5,V. Regional Initiatives,153
1,D. Review of International Initiatives on Consumer Data Protection,154
2,countability.495,154
3,A. Current Judicial and Administrative Issues of Consumer Data Protection in Brazil (Prot. Dr. Danilo Doneda),159
4,I. Credit scoring,159
1,(V1) request the review of the decision taken solely by automated means; and,164
2,age II. Consumer rights violations databases,166
2,a. Wal-Mart,167
3,b. Internet connection services,168
2,B. Current Consumer Data Protection Issues Before Chinese Tribunals (Prof Dr. Zhou Hanhua),169
1,L Civil claims,169
1,Sun Weiguo v. China United Network Communications Limited Shanghai Branch Airline Ltd. and Zhejiang Taobao Ltd. are both related to the issue of providing personal information to a third party; Wang Jinlong v. Hanting Hotel Management Co. Ltd. concerns the leakage of personal information; and Yan v. Sina.com and Baidu is related to violations of the right to reputation and operators’ failure to,170
2,Yan v. Sina and Baidu,173
1,The Case of Zhang Wegally Acquiring Mobile Phone Position Information,177
2,The Case of Xu Zeru Iegally Providing Citizens’ Personal Information,177
3,The Case of Tan Haodong Illegally Acquiring Citizens’ Personal Information,178
4,The Case of Zhong Donghang Iegally Acquiring Citizens’ Personal Information,180
1,Analysis and Conclusion of Cases,178
1,The Case of Wang Selling Citizens’ Personal Information,180
2,Case of Chen Selling Citizens’ Personal Information,180
3,Analysis and Conclusion of Cases,181
