1,Beitrage zum auslandischen und internationalen Privatrecht,2
2,Herausgegeben vom,2
3,Max-Planck-Institut fiir auslandisches und internationales Privatrecht,2
4,Edited by,4
1,Jiirgen Basedow ,8
2,Contents ,10
3,Preface ,6
4,UAW ,15
1,Collective Labour Law in the Nordic Countries,20
2,I. Introduction,20
3,1. The collective dimension,21
4,The liberal era — the beginning of a new Order,20
5,EU law and some other international legal instruments,22
1,II. Basic features in the development of Nordic labour law,23
2,I. The liberal era — the beginning of a new order,23
3,3. Legislation confirming self-regulation,25
2,4. Collective labour law today,26
1,5. Labour market organizations and trends,28
2,III. The trade union representative,30
3,IV. Industrial action,31
4,V. Codetermination — information and consultation,32
5,VI. The individual contract and labour law,34
1,I. Self-regulation within the framework of law,35
2,Employment protection,36
3,VII. Challenges and impact from EU law,38
4,VIII. Collective regulation of working life together with state intervention?,41
1,Self-regulation and the development of a reflexive law,41
2,Regulations on the individual employment contract,43
3,International influences and enforced individual rights,43
1,Final conclusions,44
10,Collective Bargaining in Germany and its Interaction with State Legislation and Individual Employment Contracts,46
1,I. Legal sources regulating the terms of employment and the two mechanisms of collective bargaining,48
2,a) Tarifvertrag,48
3,b) Betriebsvereinbarung,50
4,2. Hierarchy of legal sources,51
5,III. Current trends and developments,53
1,Flexibilisation,53
2,Advantages of flexibilisation: the case of working time regulation,54
3,Risks of flexibilisation: the case of temporary agency work,55
2,Decentralisation,57
1,b) Impact on system of collective bargaining,59
2,c) Legislative responses,60
3,Decentralisation of collective bargaining within companies,61
4,Europeanisation,63
5,IV. Summary,64
1,Collective Bargaining in the UK and its Interaction with State Legislation and Individual Employment Contracts,66
2,II. Overview of collective bargaining in the UK,68
3,Il. Sources of UK labour law: The contract of employment,70
4,I. The contract of employment,70
5,2. Employment legislation,72
1,A sex equality clause is a provision that has the following effect—,73
2,Contract of employment,74
3,Terms which override  or supplement Statutory rights,74
1,Collective agreements,74
1,IV. The voluntary role of collective agreements in UK labour law,76
2,I. Voluntary incorporation of collective agreements into the contract of employment: the contractual model,77
3,Employer Employee rights,76
4,collective contract of agreement employment,76
5,IV. The voluntary role of collective agreements in UK labour law,1
6,2. Limited role of statutory recognition procedure,80
1,3. Modification of EU imposed standards,81
2,Contract of employment,83
3,V. Conclusions,84
4,The Collective Contract System in China,86
5,I. Introduction,86
1,II. The significance of the collective contract system in China,87
2,I. Types of collective contracts,91
3,III. Main content of the collective contract system in China,91
4,2. Main provisions in a collective contract,91
5,3. Parties to a collective contract,92
1,IV. Improving the collective contract system in China,92
1,I. The legal nature of a collective contract,93
2,Dispute resolution under a collective contract,93
2,Concluding a collective contract,92
3,Effects of a collective contract,92
1,Collective Agreements in Europe: European Social Dialogue and Contractual Autonomy,100
2,Specific Issues of Collective Labour Law,98
3,Mechanism for forming a collective contract,94
4,Improving the collective contract system,96
2,European Social Dialogue and Contractual Autonomy ,102
3,I. European social partners as legislators? ,102
4,Collective agreements at European level ,103
5,The difficulty of implementing agreements at European level ,104
1,II. Contractual autonomy of the national social partners: a factor in drafting transnational social law,110
1,Legitimacy of the social partners,104
1,Legal nature of agreements,107
1,International company agreements,112
2,Collective Contracts and Trade Unions in China,120
3,Introduction,120
4,The legislature and trade unions: the example of the European Works Council,114
1,II. Relevant definitions,122
2,Collective contract,122
3,Collective consultation,124
4,Trade union a) General remarks,126
5,aa) Details of the case,129
1,Trial and decision ,130
2,III. The connection between collective consultations and collective contracts ,132
3,IV. The principles of collective consultations ,134
4,V. The effectiveness of collective contracts ,135
5,1. General remarks ,135
1,A typical case: Normative priority of collective contracts,135
2,Settlement of disputes related to collective consultations and collective contracts,136
3,The trade union and collective contracts,137
4,Rights protection for the trade union chairman,139
2,Restrictions on demotion,139
1,a) General remarks,139
2,b) A typical case: The first case on firing a union president in Beijing,140
3,Removal of protection,141
4,“Ip [Measures for the Election of the Trade Union Chairman of an Enterprise] and”,141
1,Atypical case: Trade union chairmen fired during their terms of office,142
2,Conclusion,142
4,Introduction,146
5,Ulla Liukkunen,146
1,European Council regulation,154
2,II. International regulation and the right to strike,147
3,III. European regulatory framework,152
1,Collective Labour Conflicts in Europe,164
2,IV. Concluding remarks,162
3,Observations on imbalances in the EU regulatory approach,160
4,economic freedoms,159
5,I. Introduction,164
1,II. Legal definitions,165
2,III. Legal basis of the right to strike,165
1,I. European Union and Council of Europe,165
3,entered into”’,166
3,Constitutional guarantees a) Explicit and implicit guarantees,166
1,Bearer of the right to strike,167
2,Content of the right,167
3,Limitations of the right to strike,168
4,IV. The right to call a strike,169
5,V. The right to participate in a strike,169
1,VI. Lawful strikes according to their purpose,169
2,Procedural requirements,170
3,I. Exhaustion of all means of negotiation,170
3,2. Balloting,170
4,3. Obligation to notify the other party,171
1,4 Cooling off periods,171
2,VII Peace obligations,171
3,IX Other limitations to strikes,173
3,X Public sector and “essential services”,174
2,2 Warning strikes,176
1,3. Rotating strikes,177
2,I. Legal consequences of lawful strikes,178
2,II. Legal consequences of unlawful strikes,179
1,XV. Conclusion,180
1,Workplace Representation in the EU,184
3,I. Introduction,185
4,II. Workplace representation is embedded in national systems and traditions,185
1,Connected to the former,187
2,Robbert H. van het Kaar,187
2,An ideal type of works council,187
3,Goal and function of I&C,188
4,Excursion: workplace representation and corporate governance,190
1,VI. The actors: who act as employee representatives?,190
1,VII. The establishment of works councils,192
3,Il. Thresholds,192
2,VII. Election and composition of works councils,193
1,I. Election systems,193
2,b) The debate in the Netherlands,195
3,IX. The scope of I&C issues,196
4,X. Classification of I&C rights: from weak to strong,198
5,I. Positive and negative rights,198
1,b) Consultation in the Netherlands,201
2,I. General characteristics of internationalization and I&C,204
3,I. Introduction,208
4,II. The evolution of the employees’ congress system,209
5,I. The employees’ congress system under the planned economy,209
1,III. The role and significance of the employees’ congress,213
2,IV. Characteristics of the employees’ congress system,215
3,V. The powers and organizational structure of employees’ congresses,217
4,VI. Major problems in the current employees’ congress system,218
1,I. Dispersed and unsystematic legislation,218
2,VII. Issues that need to be solved in the employees’ congress system,219
3,I. The relationship between the employees’ congress and trade unions,219
4,VII. Conclusions,224
5,I. Introduction,226
1,II. Board-level employee participation in the EU Member States,228
2,Il. The European (Economic) Community as “transmission belt”,228
4,a) Employee representation on boards: the German example,230
