1,Beitrage zum auslandischen und internationalen Privatrecht,2
1,Law and Policy Perspectives,4
2,Max-Planck-Institut fiir auslandisches und internationales Privatrecht,2
3,Edited by,4
1,e-ISBN,5
2,© 2016 Mohr Siebeck Tiibingen. www.mohr.de,5
1,Preface,6
1,Contents,8
1,I. Introduction,16
1,Organization Forms,16
2,Number of Companies as of the end of November 2014!,17
3,Company Law,17
3,Securities Regulation,18
4,Stock Exchange Rules,19
1,Il Board Structure,20
2,III. Groups of Companies,22
3,IV. Recent Issues and Empirical Studies,23
4,Defensive Measures against Hostile Takeovers,23
5,2. Outside Directors,26
1,A Guide to German Company Law for International Lawyers,32
2,Listing of Subsidiaries,28
3,Shareholder Activism,30
2,I. Legal Sources and Types of Business Organisations in Germany,33
1,Multitude of Company Law Acts,35
1,No Single Dominant Organisational Form,36
2,Statistical Data,36
3,Entrepreneurial Company,36
1,Stock Corporation,37
2,Main Players in Company Law,41
3,The Legislator a) Stock Corporation Act,41
4,Limited Liability Companies Act,43
5,Specialised Courts,44
1,Unternehmensinteresse,45
2,Interest of the Enterprise (“Unternehmensinteresse”’),48
1,Company Law Scholarship,45
3,Two-tier Board (“duale Fiihrungsstruktur”) and Codetermination (“Mitbestimmung”’),49
3,Mandatory Nature of the Stock Corporation Act (“aktienrechtliche Satzungsstrenge”’),50
2,Distinctive Features of German Stock Corporation Law,48
1,IV. Gradual Erosion of German Particularities in Company Law,51
2,Fiduciary Duties of Shareholders”,55
3,Rescission Suits (“Beschlussmdngelklagen”’),54
4,Codified Law of Corporate Groups (“Konzernrecht”’),53
5,Directors’ Liability and Enforcement Mechanisms in Japan,60
1,Kenichi Osugi,60
2,II. Brief Introduction to Japanese Laws and Practices,61
3,III. How Derivative Suits Operate: A Rough Comparison between the US and Japan,62
4,'Table 2: Liability suits in Japan from 1991 through 2011',63
1,3. Rough Comparison between the US and Japan,63
2,Table 3: Frequency of shareholder lawsuit filings in the US and Japan,64
2,Table 4: Case outcomes — numbers of cases (ratio),64
3,not terminated,64
1,Why Shareholders Sue,68
2,Shareholders Sue,69
