1,Herausgegeben vom,2
2,Max-Planck-Institut fiir auslandisches und internationales Privatrecht,2
5,Preface,6
2,Table of Contents,8
3,Part 4: Recognition and Enforcement... eeeceeeeeeeseeeeeeteeeees 237,9
4,Paulius Juréys/Simon Vande Walle Summary of Comments and Discussion on Applicable Law.................. 229,9
1,Paulius Juréys/Simon Vande Walle Summary of Comments and Discussion on Recognition and Enforcement,9
2,Contributors,10
5,VII. Multi-State Infringements,14
1,II. Intellectual Property: An Oscillating Concept,16
2,IU. Territoriality,18
3,IV. Globalization and Intellectual Property,21
4,V. Intellectual Property and Neighboring Categories of Law,22
5,VI. A Survey of Choice-of-Law Principles,23
1,Lex loci protectionis,23
2,Lex originis,25
2,Lex contractus,25
3,Lex fori,28
1,Positive Law ,29
1,Inconvenience of the lex loci protectionis ,30
2,The Solution: The lex contractus or Party Autonomy ,32
3,VIL. Multi-State Infringements ,35
2,Basic Principle: lex loci protectionis ,35
1,Unitary IP Rights,36
2,Ubiquitous Infringements,38
3,Conclusion,39
4,Introduction,42
1,From the inception of intellectual property,43
2,II. History and ambitions,43
2,Il. Jurisdiction,46
3,IV. Applicable Law,51
2,1. Territoriality,51
1,Title to IP rights,53
2,Transfers and licenses,54
3,Recognition and enforcement of foreign judgments,57
4,Mandatory grounds to refuse recognition and enforcement,58
5,Conclusion,59
1,Summary of Discussion on Foundations,60
2,Summary of Discussion on Foundations by Paulius Juréys and Simon Vande Walle,60
3,Paulius Juréys/Simon Vande Walle,61
4,CHRISTIAN HEINZE,64
5,Conclusion,64
1,I. Introduction,64
2,II. The past: Strict territoriality of intellectual property litigation,65
3,Il. The present: Rise and fall of cross-border enforcement under the Brussels regime,65
4,The CLIP Principles on Jurisdiction 55,66
5,IV. A (possible) future: The CLIP Principles,68
1,General jurisdiction ,69
2,Exclusive jurisdiction ,70
1,Special jurisdiction ,73
2,Infringement ,73
3,Contractual claims ,80
1,c) Multiple defendants,82
2,4. Prorogation of jurisdiction,84
3,5. Provisional measures,84
1,V. Conclusion,87
1,Jurisdiction in Intellectual Property Cases: The Transparency Proposal,88
3,The Transparency Proposal,89
4,General Remarks,90
5,Actions Concerning Validity of IP Rights,91
1,Actions Concerning Registration of IP Rights,93
2,International Situation,94
1,Actions Concerning the Validity of IP Rights,97
3,a) Actions Concerning the Validity of IP Rights,97
3,b) Actions Concerning the Existence of IP Rights,99
3,a) Actions Concerning the Registration of IP Rights,100
1,International Jurisdiction over Actions Concerning Contracts Relating to IP Rights in the Transparency Proposal,103
2,IV. International Jurisdiction and IP Infringement Claims,105
3,Status Quo,105
4,Diversity of citizenship; amount in controversy; costs,106
5,Article 22,107
1,The Transparency Proposal,109
2,V. Choice-of-Court Agreements,111
3,1. General Remarks,111
4,Choice-of-court agreements are becoming increasingly used in international commercial transactions.,111
5,2. Choice-of-Court Agreements in Japan,111
6,Article 11 of the Code of Civil Procedure deals with domestic choice-of- court agreements.,111
7,3. Foreign Law a) The 2005 Hague Choice of Court Convention,114
1,The ALI Principles,117
2,4. The Transparency Proposal,117
3,VI. Exceptions Based on Public Interest Policy Considerations,118
4,1. Status Quo,118
5,2. The Transparency Proposal,119
1,Article 6 (General Rule on International Jurisdiction),119
2,VII. Joinder of Claims in Intellectual Property Cases,120
3,a) Circumstances Where Objective Joinder Becomes an Issue in International Disputes on Intellectual Property,120
4,b) Objective Joinder under the Current Law (1) Japan,121
5,(2) Other countries,122
2,Proposals for Conventions and Legislation,124
1,Article 5. Jurisdiction with respect to Claims for Joinder,125
2,Comments on the Transparency Proposal,126
1,a) Circumstances Where a Subjective Joinder Becomes an Issue in International Disputes on Intellectual Property,129
2,b) Subjective Joinder under the Current Law (1) Japan,130
3,(2) Other Countries,132
4,c) Proposals for Conventions and Legislation,135
5,“Article 6(2) Subjective Joinder”,135
1,Comments on the Transparency Proposal (1) Subjective Joinder,137
2,“Spider in the Web”,137
3,VIII. International Jurisdiction and Provisional Measures,139
4,1. Circumstances Where Provisional Measures Become an Issue in International Disputes over Intellectual Property,139
5,2. Jurisdiction to Order Provisional Measures under the Current Law a) Japan,139
1,b) Other Countries,142
2,3. Proposals for Conventions and Legislation,143
2,Article 13 Provisional and protective measures],143
3,Article 9. Rule with regard to provisional measure cases],144
3,4. Comments on the Transparency Proposal,145
1,Parallel Proceedings,147
2,Circumstances Where International Parallel Litigation Becomes an Issue in International Disputes on Intellectual Property,147
3,International Parallel Litigation under the Current Law a) Japan,147
5,Proposals for Conventions and Legislation,150
1,Article 7(2) Rules relating to International Parallel Litigation,150
2,First drafting proposal,151
3,Concluding Remarks,156
4,Summary of Comments and Discussion on Jurisdiction by Paulius Jurcys/Yuko Nishitani/Simon Vande Walle,157
5,Discussion,161
1,Introduction to Initial Ownership and Transferability,168
2,I. Introduction,168
5,1. Initial Ownership,170
1,Copyright,171
1,Registered rights,173
1,Transferability,174
1,Co-ownership,175
1,III. Contracts and Related Questions,177
1,One critical issue when drafting the CLIP Principle on contracts was to draw the line between contractual and proprietary aspects of contracts in the fields of intellectual property.,177
2,Article 4 Rome I Regulation on the applicable law in the absence of choice does not provide a specific rule on agreements concerning intellectual property rights.” The European Commission’s Proposal for the Rome I,178
4, IV. Infringement and Remedies,182
2, 1. Territoriality as the Basic Principle,182
3, a) De minimis rule,183
3, b) Ubiquitous infringement,184
3, c) Freedom of choice,187
1,V. Conclusion,188
2,Applicable Law to Exploitation of Intellectual Property Rights in the Transparency Proposal,190
3,I. Introduction,192
5,Other Countries,191
1,II. Applicable Law to Infringement of Intellectual Property Rights,192
2,(1) Japanese Law,193
3,(a) Patent Infringement,193
4,Patent Infringement,193
5,(b) Copyright Infringement,195
6,Other Countries (a) Patent Infringement,195
1,The representative case is Judgment of the Intellectual Property High Court on,195
2,Copyright Infringement,196
3,Comments on the Transparency Proposal,196
4,Introduction,200
5,What Is a “Result of Exploitation”?,200
1,Extraterritorial Application and Applicable Law,202
2,How should Japanese courts resolve this issue?,202
3,Some Considerations,203
4,Place Where the Results Occur or Are to Occur in Copyright Infringement,204
5,Treatment of Moral Rights,205
1,Provisional Conclusion,206
2,Other Issues in Intellectual Property Infringement,206
3,(a) Infringement between Parties Having a Contractual Relationship,206
4,Liability of the “Intermediaries”,207
5,Ill. Applicable Law in Ubiquitous Infringement,209
6,a) Characteristics of “Ubiquitous Infringement”,209
1,Considerations,210
2,IV. Applicable Law in Unfair Competition,212
3,Other Countries,212
4,Introduction,213
5,Considerations,213
2,Change of Applicable Law by the Parties,214
3,Introduction,215
3,b) Other Countries,215
4,Scope of Changes by the Parties,216
1,Supreme Court Precedents in Japan,217
2,Supreme Court Judgment in the Card Reader Case,218
3,Supreme Court Decision in the Hitachi Case,219
2,Other Countries (1) The ALI Principles,220
3,The Waseda Project Proposal,221
1,This text was changed.,222
2,The protection period,223
3,N,224
4,VII. Applicable Law to Contracts for the Transfer or Licensing of Intellectual Property Rights,226
5,® Article 7. Choice of Governing Law by the Parties,227
1,Article 8. No Governing Law Chosen by the Parties,228
2,The ALI Principles,233
3,CLIP Principles,233
4,Waseda Project Proposal,233
5,choose the applicable law to their contracts for intellectual property rights,233
1,Article 19 (Parties’ Choice of Governing Law Relating to Transfer or License of Content: Intellectual Property Rights),234
2,This text was changed. See www.globalcoe-waseda-law-commerce.org/activity/pdf/19/21.pdf (Last visited on 28 March 2010).,234
3,Article 20 (Governing Law in the Absence of Parties’ Choice),234
4,'8 Security Interests to Intellectual Property Rights',236
1,Concluding Remarks,237
2,Appendix,238
3,Copyright Act!!°,238
4,Authorship of a work made by an employee in the course of his duties,238
5,Unfair Competition Prevention Act!!!,238
6,Article 2 (Definitions),238
1,Summary of Comments and Discussion on Applicable Law,240
2,Recognition and Enforcement of Judgments in Intellectual Property Litigation: The CLIP Principles,250
3,Significance of recognition and enforcement in IP Litigation,250
4,Application of part 4 of the CLIP Principles,250
5,Scope of application,250
6,The issue of reciprocity,250
7,Favor recognitionis,250
2,II. Application of part 4 of the CLIP Principles,256
2,Ill. Effects of judgments,262
1,Recognition and enforcement: procedural aspects,274
2,IV. Recognition and enforcement: procedural aspects,274
3,V. Finality of the judgment and provisional measures,278
1,Specific safeguards have been introduced,280
