1,Introduction to Swiss Law,4
2,How to Use This Book,8
3,Index of Authors,10
5,Martina Becker,10
4,Criminal Law,11
1,Criminal Procedure,11
2,Table of Contents,12
2,Private Law,12
3,'Table of Contents (Detailed)',14
1,Table of Contents,14
2,Publication Online,14
3,Public Pronouncement,14
4,Selected Bibliography,14
1,ETH,24
1,Swiss Legal System,26
2,Marc Thommen: Swiss Legal System,27
3,Facts and Figures,28
4,Language Regions Figure 1,28
2,You can find these and more interesting facts about Switzerland ,30
1,Il. History ,31
2,Federal Charter of 1291“ ,31
3,Oath on the Riitli-Wiese“ ,31
2,III. Confederation ,33
1,Swiss Federal Assembly,34
2,Swiss Population,35
3,FEDERAL SUPREME COURT,37
2,Conciliation,40
3,Decisions of Federal Cantonal Suits cisions Oo!,40
1,IV. Cantons,43
2,Figure 8: The 26 Cantons of Switzerland,43
1,V. Communes,46
2,VI. Direct Democracy,47
1,VII. Legislative Process,52
1,I. Constitutional law,55
2,Sex Couples,55
3,VIII. Publication of Federal Laws,56
4,II. Administrative and public international law,59
2,Andreas Thier Legal History,66
2,Rechtsprechung Bundesgericht — Presse/Aktuelles LI,61
1,II. The Old Confederacy (13'/14' Century —1798),66
2,III. The Rise of Modern Swiss Statehood since 1798,66
3,The Rise of Codifications in Swiss Legal Culture,66
2,I. Plurality and the Traditions of Swiss Legal Culture,68
1,Il. The Old Confederacy (13'/14' Century — 1798),70
1,III. The Rise of Modern Swiss Statehood since 1798,75
2,a) Focusing on Individual Rights: The “Biirgerliche Rechtsstaat”,77
3,b) The (Slow) Rise of the Interventionist State,80
4,c) Towards the Prevention State,81
5,Selected Bibliography,85
1,Elisabetta Fiocchi Malaspina History of International Law,85
1,I. Introduction,89
2,The Swiss Confederation,86
1,III. The Era of International Humanitarian Law,94
2,Relief to the wounded without any distinction as to nationality,96
3,Neutrality (inviolability) of medical personnel and medical establish- ments and units,96
4,The distinctive symbol of the organisation: the red cross on a white ground.,96
1,Gustave Moynier (1826-1910),99
2,Figure 2: Gustave Moynier (1826—1910),99
3,JOHANN CASPAR BLUNTSCHLI (1808-1881),101
4,Figure 3: Johann Caspar Bluntschli (1808-1881),101
5,IV. Conclusion,104
1,The political and legal culture and environment in Switzerland from the,104
4,Matthias Mahlmann,106
5,Legal Philosophy and Legal Theory,106
6,I. The Problems of the Philosophy of Law and Legal Theory .. .. .. .. 83 II. A Map of Philosophy of Law and Legal Theory... .............. 85,106
1,I. The Problems of the Philosophy of Law and Legal Theory,108
2,II. A Map of Philosophy of Law and Legal Theory,110
1,The Point of Philosophy of Law and Legal Theory,122
3,IV. Theory of Justice,123
3,V. A Concept of Justice,125
1,What is Legal Sociology?,126
3,The Birth of the Human Rights Idea,126
4,Contemporary Human Rights Theory,128
2,a) Media Consumption and the Internet,150
3,b) Personalisation Technologies,152
1,III. Summary,156
1,The Swiss Constitution,162
2,Citizenship,165
3,Foreign Nationals,167
2,Principles,176
3,Popular Initiative,176
1,Referendum,178
2,Landsgemeinde as Cantonal Particularity,179
3,of deficiencies inherent in the system”.*®,180
5,III. Landmark Cases,184
1,Relationship Between International Law and Swiss Law Lee,188
2,I. Treaties,190
3,a) General Framework,194
4,b) Bilateral Agreements,194
5,Landmark Cases: Supremacy of the Agreement o on 1 the Free Movement of Persons,188
1,Autonomous Adaptation of Swiss Law to EU Law,197
2,II. Constitution,198
3,a) Federation and Cantons,199
5,c) Direct Democracy,201
1,III. Landmark Cases,206
1,Administrative Law,212
2,I. Codes,212
3,II. Principles of Administrative Action,212
4,1. Constitutional Principles in Administrative Law,212
5,Principle of Legality,212
6,III. Forms of Administrative Action,212
7,1. Administrative Decisions,212
8,Administrative Rulemaking,213
1,Administrative Rulemaking,213
2,I. Codes,214
3,II. Principles of Administrative Action,215
4,a) Legal Basis for Administrative Action,215
5,b) Legality of the Law,216
1,Delegated Legislation ,217
2,Judicial Review ,218
3,Basis ,219
5,Legitimacy of Expectations ,220
4,Stronger basis than information provided by the authorities about an administrative issue. ,221
1,c) Private Arrangements,221
2,d) Causality,222
3,e) Balancing Test,222
4,f) Special Doctrines: Administrative Practice and Retroactivity,223
5,III. Forms of Administrative Action,227
1,Omnipresence of Administrative Decisions,227
2,Definition of Administrative Decisions,228
3,Administrative Decisions Determining Rights and Obligations,229
4,Administrative Decisions as Individual Acts,230
4,Administrative Decisions as Unilateral Acts,231
1,Administrative Decisions as Acts Under Public Law,232
2,Form,233
3,IV. Landmark Cases,237
5,exclusion orders (Rayonverbot) must last at least one year under any given circumstances; and,240
1,II. Procedural Rights and Principles,250
2,III. Institutional Framework,257
3,a,259
4,' Federal Administrative Court',259
5,Lower Admin. Authority,259
1,DECISION,263
1,Fiscal Sovereignty and Constitutional Principles,270
2,Tax Law,270
1,I. Fiscal Sovereignty and Constitutional Principles,272
3,a) Distribution of Fiscal Sovereignty,272
1,Federal direct tax,272
2,Value added tax (Article 130 Constitution),272
3,Taxes on gambling houses (Article 106 III Constitution),273
4,b) Federal Tax Harmonisation Act,273
5,Madeleine Simonek / Martina Becker: Tax Law,274
1,Principle of Legality,274
2,Principle of Universality,274
3,Principle of Uniformity and Ability-To-Pay Principle,275
4,Prohibition of Inter-Cantonal Double Taxation,275
5,Principle of Good Faith,276
1,II. Most Important Taxes and Tax Codes,278
2,aa) Introduction,278
3,bb) Federal Individual Income Tax,279
4,dd) Source Tax Levied on Income of Certain Individuals and,282
5,Legal Entities,282
1,Withholding (Anticipatory) Tax,282
2,Federal Value Added Tax,283
2,Value Added Tax Act,283
3,The Federal Value Added Tax (VAT) was introduced in Switzerland on,283
1,Other Taxes,284
2,Individual Income Tax,285
1,Double Taxation Treaties,289
2,Bilateral Agreements with the European Union,289
3,Taxable Income Tax (in CHF) Tax Rate,291
4,Figure 1: Tax Income Scale,291
5,the law has not changed; and,292
1,System des Steuerrechts,294
2,Die Schweizerische Bundesverfassung,294
3,the Land Register,302
1,Official Measures — Organisation,302
2,Figure 3: Structure of the Civil Code,302
1,Swiss family law establishes three marital property regimes to govern the,303
2,II. Principles,308
1,according to which rights in rem must be made public through suitable means,314
2,usufruct,317
1,PETER TUOR/BERNHARD SCHNYDER/JORG SCHMID/ALEXANDRA JUNGO,328
2,Tina Huber-Purtschert,330
3,Law of Obligations,330
4,Division Three: Commercial Enterprises and the Cooperative (Articles 552-926),332
1,Division Five: Negotiable Securities (Articles 965-1186),332
2,I. Contract and Tort Law,334
3,Extinction of Obligations (Articles 114-142),334
4,Assignment of Claims and Assumption of Debt (Articles 164-183),334
1,Gift (Articles 239-252),335
2,Lease (Articles 253-2748) and usufructuary lease” (Articles 275-304),335
3,Loan for use (Articles 305-311) and fixed-term loan (Articles 312-318),335
5,b) Interpretation of a Contract,339
1,Defects in the Conclusion of a Contract,340
2,Defects in Consent,340
3,Unfair Advantage,341
4,Claims According to the General Provisions of the Code of Obligations,342
5,Quasi-Contractual Claims,344
1,Time Limits,345
2,Types of Contractual Relationship,346
3,Innominate Contracts,347
1,Swissair-Case°,348
1,Liability after inspired confidence based on trust,348
1,Market Value Estimate-Case,348
3,Revocability of Simple Agency Contracts-Case,349
5,II.,350
1,Company Forms,350
1,Types of Business Associations,351
2,Sole Proprietorship,351
3,Employment,352
