1,MIPLC Studies Andrew Law,1
1,Patents and Public Health,1
2,Legalising the Policy Thoughts in the Doha TRIPS Declaration of 14 November 2001,1
3,Edited by,3
4,Patents and Public Health,4
1,Legalising the Policy Thoughts in the Doha TRIPS Declaration of 14 November 2001,4
3,Acknowledgements,8
2,Munich Augsburg N @] m Os MIPLC Intellectual Miinchen,4
1,Doha TRIPS Declaration of 14 November 2001,4
1,ISBN 978-3-8329-4078-2,5
1,Table of Contents,10
2,Introduction,17
3,Patents and society,19
4,The legalising policy thoughts in the Public Health Declaration,26
5,'II. Rights conferred to the patent holder',11
6,'Chapter 2 Patents and society',20
1,the Public Health Declaration,26
2,Chapter 3 The legalising policy thoughts in the Public Health Declaration,27
2,Chapter 4 The circumstances leading up to the Public Health Declaration,30
3,A. Introduction,30
1,II. The implementation of the TRIPS Agreement,35
2,Act,37
3,Chapter 5 An analysis of the TRIPS Agreement,43
4,A. Nature and scope of the TRIPS Agreement,43
1,B. The object and purpose of the TRIPS Agreement,48
2,I. An analysis of the preamble,49
1,If. An analysis of Article 8.1 TRIPS,54
2,Principles,54
2,IV. An analysis of Article 8.2 TRIPS Agreement,57
3,VI. The role of ‘flexibility’ in the object and purposes of the TRIPS Agreement,61
4,The flexibilities found in the object and purposes provisions,62
1,VIL. The role of health in the object and purpose of the TRIPS Agreement,66
2,VUI. Other influences on the object and purpose of the TRIPS Agreement,69
3,The material provisions of the TRIPS Agreement I. The subject matter of patents,70
4,Article 27.1 of the TRIPS Agreement,71
5,Patentable Subject Matter,71
1,Article 27.2 of the TRIPS Agreement,72
2,Commercial exploitation,73
3,Necessity,76
3,the respective trade impact of these Acts.,76
4,Discrimination and differentiation,82
1,Revocation,85
2,The withdrawal and limitation of rights conferred,87
3,Conclusion,85
4,Rights conferred to the patent holder,86
5,Limited exceptions,91
6,I. The withdrawal and limitation of rights conferred,87
1,e private non-commercial use*™* e research and experimentation,94
2,regulated pricing structures for medicine : 342 compulsory licenses,96
3,Exceptions to Rights Conferred,96
4,'aa) The compulsory license system',102
5,'bb) Grounds for compulsory licenses',103
