1,Populist Challenges to Constitutional Interpretation in Europe and Beyond,2
1,Comparative Constitutional Change,3
2,Review of the constitutionality of legislation,7
2,Activism of the Constitutional Court in relation to the general judiciary (constitutional complaints),7
2,Constitutional identity as a populist notion?,8
3,Constitutional interpretation under the new Fundamental Law of Hungary,8
10,vill Contents,9
1,Constitutional interpretation: What can Europeans learn from US debates?,10
2,PART IV Summary,11
3,List of Authors,12
5,Introduction and Acknowledgements,14
1,Introduction and Acknowledgements,17
2,Populism and populist constitutionalism,22
4,Fruzsina Gardos-Orosz and Zoltan Szente,46
1,Pragmatic Interpretation,55
2,Common Law Interpretation,55
2,Instrument of Courts?,60
3,The Impact of Political Systems on Constitutional Interpretation and the Case of Populism,60
4,Anna Gamper,60
5,Introduction,60
6,Cantonal Voters Directly Elect Their Representatives,60
1,An 'Instrument of Government' or Instrument of Courts'? 45,62
1,Can there be autochthonous methods of constitutional interpretation?,71
2,Formalism and judicial self-restraint,79
3,Mark Tushnet,80
4,Konrad Lachmayer,92
2,From judicial activism to judicial self-restraint,112
1,Before the Ibiza Scandal changed the Austrian political situation in ,98
3,Zaenék Kiihn ,112
2,(1) Courts could behave in an activist way to stop further anti-constitutional developments;,104
1,Dyordje Gardasevic,126
2,Introduction,126
4,Transforms discontent into action’!*,129
5,Popular initiative as the means of fostering populist claims ,129
2,Introduction,143
3,Populism and constitutional identity are both two relatively vague notions,143
1,Apostolos Vilachogiannis,143
4,The first two judgments on nationality invalidated sections of law,149
3,notion of constitutional identity turns into a populist notion and shows its inherently explosive content.,157
4,Fruzsina Gardos-Orosz,160
5,Gianmario Demuro and Riccardo Montaldo*,177
2,Wojciech Brzozowskt,191
2,Alexandra Mercescu,211
2,Francisco Balaguer Callejon,234
1,An assessment,330
1,Populist challenges to constitutional interpretation,332
2,Introduction,330
3,Index,343
