1,Formation | National Sovereignty,1
2,Series editors,2
2,Reconsidering Constitutional Formation I National Sovereignty,4
3,A Comparative Analysis of the Juridification by Constitution,4
3,Editor,5
1,Juridification by Constitution. National Sovereignty in Eighteenth and Nineteenth Century Europe,8
2,National Sovereignty in the Cadiz Constitution 1812,9
3,the Albertine Statute (1848-1861),10
2,Contents,8
1,Juridification by Constitution. National Sovereignty in Eighteenth and Nineteenth Century Europe,15
2,Contributors,14
1,German and European Legal History,15
1,Reconsidering Constitutional Formation I National Sovereignty,15
2,Faculty of Law 1880 on the King’s veto with regard to constitutional amendments relies on the differentiation between constituent and constituted sovereignty by explaining why constitutional amendments cannot be left to either of the constituted,16
2,U. MiiBig,16
1,Method of Comparative Constitutional History,19
2,Targeted Sources of ReConFort,19
1,Targeted Sources of ReConFort,19
2,The Judiciary as Constituted Power,19
1,2.2 Methodological Challenges: Finding the Tertia Comparationis,20
2,Constitutionalisation by Public Sphere,21
3,Press Media as Roadster of Politicisation,21
4,Importance of Cross-Border News: The American Revolution in the Polish Public Discourse,23
5,In General: The Nation’s Start as Singular State Organisational Legal Point of Reference,27
1,The Various Interpretations of National Sovereignty in the Works of Sieyés,32
2,Anti-estate Societal Meaning of National Sovereignty,33
3,Anti-monarchical Meaning of National Sovereignty,34
4,The National Sovereignty as Idea or Principle of an “ordre nouveau”,35
1,3.4 The Nation in the Polish May-Constitution 1788,43
2,Old Republicanism as an Integral Part of the Juridification by Constitution,43
1,The Procedural Openness of May Constitution as Reflex onto the Juridification of National Sovereignty,47
2,210“al pueblo deben du autoridad” or rather ““vuestro cuerpo soberano os prepara la constitucion”,53
3, (empty quote),58
1,The Natural Origin of National Sovereignty as a Limitation for the Monarchical Sovereignty,58
1,The Constituent Sovereignty in the Norwegian Grunnloven,68
3,Primacy of the Cortes in the Constitution of Cadiz,60
4,Struggle of the realistas for the Monarchical Principle,65
5,Contemporary Ambigous Evaluation of the Cadiz Constitution,66
1,law in Sweden,72
2,3.6.3 Relationship Between Monarch and Parliament in the Norwegian Grunnloven,72
2,3.7 The Lack of the Notion Sovereignty in the French Charte Constitutionnelle 1814,80
1,The Constitutional Movement After the French July Revolution 1830,81
2,4.1 The Constitutional Movement After the French July Revolution 1830,81
2,4.2 Belgian Constitution of 1831,84
1,4.3 Parliamentarism in England,86
2,5 Octroi of the Statuto Albertino 1848,88
2,5.1 The Octroi of the Piedmontese Statuto Albertino and the Lack of an Italian Parliamentary Assembly,88
2,Italian costituzione flessibile Under the Statuto Albertino,90
3,6 Improvised Parliamentarism in the Frankfurt National Assembly,93
1,7 Summary and Outlook,95
1,References,97
2,National Sovereignty in the Belgian Constitution of 1831. On the Meaning(s) of Article 25,107
3,Brecht Deseure,107
4,94 B. Deseure 1 Introduction,108
5,Parliament Versus King,110
1,Parliament as the Sole Representative of the Nation,110
2,Nation Versus King,121
3,The Royal Veto and the National Will,124
4,Republican Monarchism,127
1,King consequently disposes as little of our lives as he disposes of our pennies''',133
2,The Constitutional Powers of the King,135
1,National or Popular Sovereignty?,140
1,Que le congrés lui éléve?'*,134
1,3.1 A False Opposition,140
3,Aient jamais pu jeter aux masses”.,144
1,3.2 The Limitation of Political Participation,145
1,4 Reception,148
1,4.1 The Contested Nature of Popular Sovereignty,148
2,sa volonté.”!!,149
2,The question of who was entitled to represent the nation was a cause for controversy from the very beginning.,153
3,It directly concerned the legitimacy of the Revolution and the source of sovereignty.,153
1,5 Conclusions,160
1,6 Summaries (French & Dutch),162
2,Lasouveraineté de la Nation dans la Constitution belge de 1831. Sur les significations de l’article 25,162
3,Nationale soevereiniteit in de Belgische Grondwet van 1831. Over de betekenis(sen) van artikel 25,164
5,References,166
7,of ‘Representative Government’ under the Albertine Statute (1848-1861),172
1,Giuseppe Mecca,172
2,Between Lemmas and Culture,176
1,Dictionaries,190
2,their inspiration principles and the enlightenment ideals on which they were based.!°?,209
1,Massimo D’Azeglio and the Defence of the Representative Government,209
3,4.1 Massimo D’Azeglio and the Defence of the Representative Government,209
1,Towards National Unification,212
1,Conclusion,216
1,7 Summary (Italian),219
2,References,221
3,Prelezione al corso di diritto internazionale e marittimo pronunciata nella Regia universita di Torino dal Prof: Stanislao Mancini,225
4,Anna Tarnowska,228
5,Nihil sine nobis de nobis (nobility parole),228
2,Introductory Remarks,229
1,Tarnowska,216
1,Planes of Discussion,231
2,Characteristics of Sources,233
3,Some Aspects of the Discourse on Sovereignty in the Poland of Enlightenment,237
1,Sovereignty as a Theoretical Problem,237
2,Introduction,237
3,of the provinces or a quasi-federal system of the Republic (for instance by Stanistaw Ptaza),241
4,'Sovereignty' in Media and Free Prints Debate,242
5,'Sovereignty' in Parliamentary Debate,242
1,“Sovereignty’ in Legal Acts,244
3,The Nation 4.2.1 Introduction,246
4,‘The Nation’ in the Media and Printed Materials,248
1,The Nation in Constitutional Acts,254
2,demanded to supplement it to state: “The Republic made up by lesser nobles” .''°,255
1,The Nation in Constitutional Acts,260
2,The Monarch in the Debate of Public Media,263
2,The Monarch in the Parliamentary Debate,265
2,The Monarch in the Constitutional Acts,269
1,Summary,270
1,6 Summary (Polish),272
2,References,274
2,Appendix,278
2,Article I,278
1,On the Cities,278
2,On the Rights of the Town Citizens,280
3,On the Justice for the Citizens,283
1,About the Authors,287
2,Index,289
5,School of Salamanca,295
1,Storting,296
2,Struggle for freedom,296
3,Jean Stengers,296
