1,Reconsidering Constitutional Formation II Decisive Constitutional Normativity,1
2,Formation II Decisive Constitutional Normativity,1
3,Series editors,2
4,From Old Liberties to New Precedence,4
5,'ReConFort This project has received funding from the European Union’s Seventh Framework Programme for',4
1,Editor,5
1,Contents,10
1,ERC Advanced Grantee (ReConFort),12
5,2 U. Miibig,13
6,Novus Ordo Seclorum,15
1,Definitions of Normativity and Precedence ,16
2,Normativity in modern constitutional dogma” ,16
3,The British-American Discursive Common Law Community ,22
4,Customary Old Liberties Against Parliamentary Absoluteness ,23
5,American Sympathies for the Supremacy of Common Law ,25
1,synthetically man-made.,28
2,Liberty Defending Common Law Versus Discretion Granting Executive from an American Perspective,30
3,No Westminster Legislation on the Internal Colonial Polities,32
4,wy 9125 are purely provincial.,33
1,The Virginian Richard Bland was the mastermind for the systematic distinction,33
2,between ‘colonies’ “internal” and “external” spheres of government.’'”,33
3,Specific Matters of the Colonies’ Own Nature Versus General Matters of the Empire,35
4,Self-reliance of the British Imperial ‘Constitution’,36
5,3.3.2 Specific Matters of the Colonies’ Own Nature Versus General Matters of the Empire,35
6,3.4 Self-reliance of the British Imperial ‘Constitution’,36
7,Legal Force of Custom in the Unsettled Connexion of the Colonies to Britain,41
1,Establishing Constitution as Law,44
2,4 Emergence of the Constituent American People,44
3,4.1 Emergence of the Constituent American People,44
5,Natural Law ‘Basis and Foundation of Government’,44
1,Independence from Being Subjects of the ‘Same’ King,46
2,4.1.2 Independence from Being Subjects of the ‘Same’ King,46
3,Constitution as Supreme Legal Codex for Central State Issues,51
5,Focus on the Division of Sovereignty Between Union and Single States,51
1,The Constitution as Guarantee for the Existence of the Union,52
2,Constitutional Silence on Precedence,53
1,Farewell to the Lockean ‘Inter legislatorem et populum nullus in terris est judex’,56
2,argued that ‘in voiding unconstitutional acts the courts serve as the people’s champion.,59
1,and ‘the general spirit of the people and of the government as,60
2,5 Summary of Sections 3 and 4,60
1,6 Legal Transition of Philosophical Truths,61
2,Constitutional Debates of 2 and 18 Thermidor III (20 July and 5 August 1795),67
3,‘Jury de Cassation’,69
1,Jury de Proposition ,70
1,Jury of Natural Equity ,73
2,Revision competence ,75
1,After rejecting the idea of the appeal to the people,78
1,Defeat of Sieyés’ Jury Proposal and Its Consequences on the French Constitutional Jurisdiction,79
3,Juridification Matters in the Public Sphere Around the Constituent St. Paul’s Church Assembly,84
3,written text’.*°>,84
2,Supremacy Matters in the Public Sphere Around the Constituent St. Paul’s Church Assembly,87
1,7.3 Revision Matters in the Public Sphere Around the Constituent St. Paul’s Church Assembly,92
2,Genugtuung wegen Verletzung konstitutioneller Rechte durch Amtshandlungen der Staatsbediensteten (§138).’,92
1,8 Conclusion,96
1,Now the last age by Cumae’s Sibyl sung,97
4,References,98
5,Virgil (2005) Eclogues and Georgics. transl. by James Rhoades.,108
1,Inventing America,108
2,Wills G (1978),108
3,Fundamental Laws and Fundamental Rights in the 17th and 18th Centuries,109
4,Constitutionalisation of Individual Rights,109
6,Reconsidering Constitutional Formation II Decisive Constitutional Normativity,109
7,References,121
1,Cooke JE (ed) (1961(1788)) The federalist.,122
2,Introduction,124
2,A Note on Terminology,129
1,the Form of the Government”,129
2,Principles for Improving the Form of Government”,129
3,December 1789 bore the title “Principles for Improving the Form of Government”,129
4,3 Characteristic of the Sources,132
5,French Inspirations of Polish Republicans: Drafts of Mably and Rousseau,134
6,the Polish government”,135
1,First Constitutional Works,141
2,Enactment of the Government Statute,144
3,An Oath on the Constitution,147
2,The Problem of the Supreme Law in the Time of the 3 May Debate,152
3,Henrician Articles and Pacta Conventa,152
1,Cardinal Laws in Polish Tradition and Legal System,155
4,207aby zaden projekt nie dazyt do naruszenia i odmiany prawa fundamentalnego pod nazwa Ustawa Rzadowa i praw niewzruszonych’',166
1,of the Third of May,167
2,8 The Procedure of Constitutional Revision,170
3,9 Summary,173
4,10 Summary (Polish),176
5,References,178
1,Dembinski B (ed) (1904) Stanislaw August i Ksiaze Jozef Poniatowski w Swietle wlasnej korespondencji,178
2,Przygotowanie Konstytucji 3-go Maja waznym etapem w urzeczywistnieniu idei niepodlegtosci,178
2,Konstytucja 3 Maja w relacjach posta saskiego Franciszka Essena,179
2,Czy szlachecka Rzeczpospolita miala konstytucje? Przyczynek do rozwazan nad wykorzystywaniem ustalen nauki prawa konstytucyjnego do badan historii ustroju,179
1,Laszewski R (1973) Sejm polski w latach 1764-1793. Studium historyczno-prawne,180
2,Dzielo Sejmu Czteroletniego (1788-1792). Studium historyczno-prawne,180
1,The Codification of the Polish Substantial Criminal Law in the Sejm Debates 1818,183
2,Introduction,184
3,The Origins of the 1815 Constitution of the Kingdom of Poland,185
4,Marcin Byczyk,183
2,3 General Characteristics of the Constitution of 1815,194
3,4 Regulations in the 1815 Constitution Concerning the Criminal Law,201
3,5 The Enactment of the Polish Criminal Code of 1818,203
1,corporal punishments with “the nature of the constitutional government”,210
1,7 Conclusions,215
2,8 Summary (Polish),216
3,Brecht Deseure,220
2,4 Epilogue: Constitutional Discourse After 1831... ,220
1,Introduction,221
2,Constitutional Precedence in Belgium,222
3,References,220
1,From Fundamental Law to Belgian Constitution,223
2,The Fundamental Law and the Question of Royal Sovereignty,223
3,Constitutionals Versus Ministerials: Belgian Constitutional Opposition,229
4,Towards a New Legal Order,239
1,covered with a varnish of legality,242
2,Constituent Power,245
2,The Question of Constitutionality,247
3,power.,249
2,Precedence in the Belgian Constitution,251
1,Art. 130: The Constitution cannot be wholly or partially suspended.,252
2,so as to better express its intention to prevent the constituted powers from,252
3,Art. 84: No constitutional revision is admitted during a regency.,253
