1,Introduction to Child Pornography Crimes,4
2,Carissa Byrne Hessick,5
4,Child Pornography Definitions at Work,10
5,Challenges in Investigations and Prosecutions of Child Pornography Crimes,10
1,Introduction,11
1,Carissa Byrne Hessick,11
2,NOTES,24
3,The Context and Content of New York v. Ferber,29
1,James Weinstein,29
2,Doctrinal Context,29
3,The Child Pornography Problem,34
4,The Ferber Decision,35
5,Osborne v. Ohio and Possession of Child Pornography,43
1,The Limits of the Child Pornography Exception,46
2,Definitional Limits,47
4,Justificatory Limits: The Uncertain Status of the “Harm-in-the-Circulation” Rationale,53
2,Conclusion,55
1,NOTES,56
2,Setting Definitional Limits for the Child Pornography Exception,67
2,Carissa Byrne Hessick,67
3,Setting Definitional Limits for the Child Pornography Exception | 59,69
1,Osborne v. Ohio,70
2,Ashcroft v. Free Speech Coalition,71
3,Paroline v. United States,72
4,Proposing a New Definition of Child Pornography,73
5,My Proposed Definition,74
1,Comparing the Harm of Creation to the Harm of Circulation,76
2,The Practical Effect of a Limited Definition,80
3,NOTES,83
4,Part 1 (B) | Defining Child Pornography Crimes,89
1,The “Dost Test” in Child Pornography Law “Trial by Rorschach Test”!,91
2,Amy Adler,91
2,I. Child Pornography Law and the First Amendment: An Overview,92
3,A. Rationale for Categorical Exclusion: Production Harm,93
1,B. Defining Child Pornography: An Overview,95
2,II. The Dost Test,97
2,A. The Test’s Fundamental Malleability,98
3,Refining Child Pornography Law B. The Pedophile’s Perspective and The Dost Factors,100
3,1. Is the Test Objective or Subjective?,100
1,Subjective,101
2,Objective,101
3,Four Corners or Extrinsic Evidence?,102
4,III. The Damage Done by Dost,103
5,A. First Amendment Harms 1. Vagueness and Overbreadth,104
1,Conclusion,109
2,The Final Cost of Dost Is Cultural Not Constitutional,106
3,B. Practical Concerns: Dilution of the Category of Child Pornography,105
4,2. Dost May Be Unconstitutional Under the First Amendment as Interpreted by Ferber and Ashcroft,104
1,The Language of Child Sexual Abuse and Exploitation,119
2,I. The Value of Precise Language,120
3,A. Labels Provide Insight,122
4,Mary Graw Leary,119
1,B. Legal Insight,123
2,II. Labels in Criminal Victimization Discourse,124
3,A. Criminal Victimization Has a Particular Need for Sufficiently Descriptive Language,124
4,B. The Fair Labeling Principle,126
5,III. The Language of Child Abuse and Exploitation,127
1,A. Causes of Mislabeling,129
1,Social Silences,129
3,Social Forces,133
1,B. Effects of Mislabeling,134
2,Alarmism or Underreaction,135
1,Legal Implications,136
2,IV. Fair Labeling in Child Sexual Abuse and Exploitation,138
3,A. “Child”,139
4,“acceptable”!,141
5,B. “Sexually Abusive Images of Children”,141
1,Child Sex Trafficking ,143
3,Sexting”–“Child-Produced Child Pornography’— “Sexualized Images of Children ,146
1,Conclusion ,148
1,NOTES ,148
1,Part II (A) | Refining Child Pornography Law,155
2,Questioning the Modern Criminal Justice Focus on Child Pornography Possession,157
3,Carissa Byrne Hessick,157
4,The High Number of Prosecutions and Penalties for Possession,158
5,The Market Theory,162
1,Possessors Have Molested or Will Molest Children,162
2,Possession Is as Bad As or Worse Than Abuse,164
3,Unintended Consequences of Targeting Possessors,166
3,Ease of Enforcement and Prosecution,166
3,The Role of Public Opinion,167
1,D. Conclusion,168
2,NOTES,169
3,6 | The Dignitary Harm of Child Pornography—From Producers to Possessors,175
4,Audrey Rogers,175
1,The Dignitary Harm of Child Pornography,177
2,B. The Harm of Child Pornography 1. Producers,180
3,2. Nonproduction Offenders,184
3,3. Harm Inherent in the Images,187
1,Conclusion,189
2,NOTES,190
3,4. 18 U.S.C. § 2252A,190
2,The Significant Harms from Child Pornography Possession,197
1,The Harms Victims of Child Pornography Possession Endure,198
2,A. The Harms Suffered By “Amy”*,201
2,B. The Harms Suffered By “Vicky”*°,202
3,Allocating the Harms Caused by Child Pornography Crimes,205
1,A. The Problems from Disaggregation,206
2,B. Child Pornography Possessors Contribute to All of a Victim’s Losses,208
1,Conclusion,213
1,Not Just “Kiddie Porn”,215
3,Part II (B) | Refining Child Pornography Law,223
1,Challenges in Investigations and Prosecutions of Child Pornography Crimes,225
2,The prosecution of child pornography possession and production has increased in recent years...,225
3,National Juvenile Online Victimization (N-JOV) Study,226
4,Growth and Complexity of Child Pornography Crimes,227
5,Law Enforcement Response,228
1,Definitions of Child Pornography,229
2,Dual Offenders,230
3,Assets for Law Enforcement Investigations,231
4,Prosecution Response,232
5,Computer Forensics,233
1,Trial Cases,235
2,Still images that were passed to the jury or described by experts,236
3,P2P investigations,234
4,Timeliness of the forensic exam,234
1,Deciding to Refer for Federal Investigation for Prosecution,237
2,Prosecuting Sexting Cases,239
3,Conclusion,240
4,A Critical Evaluation of the Federal Sentencing Guidelines for Child Pornography Offenses,245
5,Troy Stabenow,245
1,The Facts of Mr. Smith’s Case,245
2,The Guideline in Theory,248
3,Guideline 2G2.2 in Practice,250
3,Applying Enhancements,254
4,a. The “Use of a Computer” Enhancement,254
1,Number of Images Enhancement,256
2,Enhancements for Sadistic or Masochistic Conduct and Depiction of a Prepubescent Child,260
2,Intermediate Tally,261
2,Enhancements for Intended Distribution,262
1,Adding a Term of Supervised Release,264
2,Can Variances from the Guidelines Correct for Empirical Failures?,264
3,A Final Word on Failures in the System,266
4,A Way Forward,268
5,NOTES,269
1,Political and Empirical Controversies Threaten the Federal Child Pornography Guidelines,271
2,Melissa Hamilton,272
3,Federal Sentencing Basics,272
4,Challenges to the Child Pornography Guideline,276
5,Institutional Conflicts,282
1,Comparative Perspectives,284
2,Ideological Perspectives,287
3,Conclusions,289
4,Contributors,295
5,NOTES,290
1,Index,301
