1,MIPLC Studies,1
2,Hyewon Ahn,1
3,Second Generation Patents in Pharmaceutical Innovation,1
4,Pharmaceutical Innovation,1
5,Pharmaceutical Innovation,1
6,Second Generation Patents in,4
2,ISBN 978-3-8487-0874-1,5
1,Acknowledgements,6
2,INTRODUCTION,8
1,Basic and second generation inventions a) Improvement inventions b) Selection inventions,8
2,Pharmaceutical products in the market,9
3,Proposals on the breadth of patents,13
4,Conclusion,14
5,'me-too products',9
1,A. Overview,22
2,B. Outline of the dissertation,26
4,A. Cumulative nature of inventions,29
1,Basic and second generation inventions ,30
2,a) Improvement inventions ,31
3,b) Selection inventions ,31
2,Inventions and patents in pharmaceutical field ,33
3,a) Product invention and the absolute character of its protection ,34
1,b) Hierarchy of pharmaceutical patents,35
2,Innovations in pharmaceutical field,37
1,Invention v. innovation,37
2,NMEs as the core of pharmaceutical innovation,38
3,Second generation inventions and patents in pharmaceuticals,39
1,Product inventions and patents,40
2,Markush type claim,41
2,A species claim,43
3,N s Ay,43
2,b) Optical isomers,44
1,c) Crystalline forms,47
2,d) Metabolites and prodrugs,48
3,A simplified representative illustration of the prodrug concept,49
4,Barrier a| The drug—promoiety is the prodrug that is typically pharmacologically inactive. In,9
5,e) Esters and salts,50
1,Dosage forms,50
2,Combinations of active ingredients,51
2,Dosage regime,53
3,Process inventions a) Process,53
4,Intermediates,54
2,Similar or equivalent “me-too” products,55
3,Second generation products,57
4,Generic drugs,58
1,Summary,59
1,IH. SPECIFICITIES IN PHARMACEUTICALS AND RECENT DEVELOPMENTS,60
2,A. Innovating and inventing in pharmaceutical industry,60
3,1. Specificities in the drug development process a) Highly regulated industry,60
4,b) R&D —a costly and lengthy road to a medicine,61
1,Uncertainties in post-invention development,65
2,Scientific uncertainty: Unpredictability of substances,65
3,Prescription based purchase: A disconnection between choosers and payers,69
4,Information rich chemicals,67
5,Unpredictability of substances,65
1,Information asymmetry and high loyalty to a medicine,70
2,Pricing,71
3,B. Challenges and overcoming efforts,77
4,Challenges and overcoming efforts,78
5,Growth for the leading pharmaceutical companies from 2013-2014 is not promising either,79
1,Decreased R&D productivity,79
2,Dearth of new medical entities a) Significance of NMEs,81
2,b) Decreased number of NMEs,81
3,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 Year,83
3,Sales —* R&D Expenditure -—*—- Developmenttimes --e-- NME Output,83
1,Potential reasons for the decrease,84
2,Decrease in solvable scientific problems,84
3,Stringent safety regulations,85
4,Problem of over-disclosure,85
5,Early and numerous abandonments of potential candidates,86
1,Patent cliffs of blockbuster medications,87
2,Drastic increase of second generation inventions,89
2,Life cycle management or evergreening,90
3,b) Drastic increase of this activity supported by the number of second generation patents,92
2,A. Novelty and anticipation,97
1,Introduction,97
2,Examination of novelty,99
3,The scope of disclosure of “0.1-50 ppm” according to both theories,102
4,Inherent anticipation and enablement,104
5,Novelty of selection inventions,107
1,a) Species selection inventions,107
2,Figure 7: Genus v. species invention?,108
3,Species selection inventions have been patentable for many decades,114
1,description does not seem to be necessary to destroy the novelty of a species invention.>,117
2,In Korea,117
2,the disclosure thereof and on common knowledge at the time of applicati- on,118
3,b) Optical isomers,118
2,In the EPO,118
1,In Germany,120
1,In the United Kingdom,122
2,Ry R (I) N— — R3 I Rg,123
1,In the United States,124
1,In Korea,126
1,c) Crystalline forms,128
2,In the EPO,128
2,In Germany,129
3,In the United Kingdom,129
3,In the United States,130
1,In the United Kingdom,131
2,Metabolite,131
3,Transaction recognized that the product possessed the claimed characteris-tics,131
4,In Germany,132
5,In the United States,132
1,Analysis and conclusion,134
2,B. Inventive step / Non-obviousness,135
2,Inventive step in patentability requirements,136
3,1. Inventive step in patentability requirements,136
2,Examination of inventive step,137
1,about the validity of patents,138
2,In the EPO,138
3,Determining the ‘closest prior art’,138
4,Establishing the ‘objective technical problem’ to be solved; and,138
1,In the United Kingdom,139
1,obvious.7!7,140
2,In Germany,140
3,In the United States,141
4,In Korea,144
5,3. Inventive step requirement for selection inventions a) Species selection invention,145
1,In the EPO,145
2,In Germany,146
2,In the United Kingdom,146
2,In Korea,150
1,In the United States,148
1,compared with corresponding racemates does not involve an inventive step.” 7°,152
2,[Emphasis added],152
3,In Germany,152
2,In the EPO,151
3,Optical isomers,151
1,In the United Kingdom,153
1,In the United Kingdom,160
2,In Germany,162
3,In Korea,163
3,d) Metabolites,165
3,4. Analysis and conclusion,165
1,C. Disclosure requirement,168
2,Written description requirement,169
2,Enablement requirement a) Enablement requirement,172
3,but rather a conclusion reached by weighing many factual considera- tions,175
4,b) Enablement requirements in the patent law,176
1,Enablement as a requirement for anticipation,176
2,Basic similarity of the two enablement requirements,177
2,Differences between the two enablement requirements,178
3,Disclosure requirement of selection inventions,179
1,Species selection invention,179
2,Optical isomers,180
3,Crystalline forms,181
4,D. Conclusion,181
5,done? This would be tantamount to exposing the public to drugs containing risky components.,183
1,V. IMPLICATIONS OF THE PATENTABILITY REQUIREMENTS ON INNOVATION AND COMPETITION IN THE PHARMACEUTICAL INDUSTRY,185
2,A. Concerns about lowered patentability,186
3,1. General concerns about lowered patentability a) Superfluous second generation patents,186
4,b) Increased patent exclusivities and amplified uncertainties thereof,188
1,a) Language dependent prior art disclosure problem,191
2,b) Rendering inventive step requirement meaningless,197
3,c) Encouraged waste of resources,191
4,d) Hindrance of pharmaceutical innovation,193
5,novelty was identical or closely similar to that used to determine obviousness as follows:!950,198
1,c) Potential concerns of “direct and unambiguous” disclosure requirement,199
2,B. Implications considering the breadth of selection patents,199
3,1. Scope of the protection,200
4,2. Scope of selection patents a) Species selection patents,204
5,b) Optical isomers,204
1,In Europe,204
2,In the United States,206
