1,Patrick Simon  Victor Piché Amélie A. Gagnon Editors,4
2,Social Statistics and Ethnic Diversity,4
3,Conclusion,18
4,References,19
5,Introduction,23
3,Enumeration for political control (compter pour dominer),24
4,Discourse of national hybridity (compter ou ne pas compter au nom de la mixité),24
1,2 Ethnic Classification in Global Perspective: A Cross-National Survey...,25
2,Data and Methodology,25
1,OOT el 9¢ 97 el 8 el UL oreYS % UOISOY,26
2,Findings,27
3,Frequency of Ethnic Enumeration,27
4,Table 2.2,28
6,region,28
7,Census Ethnicity Questions,28
8,Terminology and Geographic Distribution,28
1,Table 2.3 Terminology of census ethnicity questions,29
1,Number of countries using term as: Total frequency,29
2,Terminology of census ethnicity questions,29
2,The Language of Census Ethnicity Questions: The Subjectivity of Identity,31
3,Answering the Ethnicity Question 2.4.3.1 Response Formats,32
1,Table 2.6 Census ethnicity response formats by question type,35
2,2.4.3.2 Response Options,35
2,2.5 Conclusions,37
3,Summary of Findings,37
3,Evaluating Ethnic Enumeration,37
1,Appendix: Countries Included in Regional Groupings,40
2,Cote d'Ivoire,40
3,Democratic People’s Republic of Korea,40
4,Netherlands Antilles,41
5,Réunion,41
6,Saint Kitts and Nevis,41
1,North South America,41
3,Ethnic classification in global perspective: A cross-national survey of the,43
4,From sword to plowshare: Using race for discrimination and,43
5,Tahu Kukutai and Victor Thompson,44
6,Introduction,44
7,Russian Federation San Marino Slovakia Slovenia Spain,41
8,Republic of Korea Saudi Arabia Singapore Sri Lanka,41
2,T. Kukutai and V. Thompson,55
3,Compared to Europe,61
4,References,65
2,Ethnic classification in global perspective: A cross-national survey of the,66
3,Introduction,68
4,Patrick Simon (4),68
5,e-mail: simon @ined.fr,68
2,References,88
3,Victor Piché,91
2,References,99
2,E pluribus unum: Diversity and community in the twenty-first century. The,103
3,Who is Québécois ?: synthése du débat sur la redéfinition de la nation [Who,101
1,and Affirmative Action Policies: Where Are We and Where Do We Go?,103
1,José Luis Petruccelli,103
2,Introduction,103
3,References,111
4,The tradition of censuses of the population in Great Britain dates back over,115
5,Though Blacks and Asians have a long history in Britain (Fryer 1984; Ramdin 1999),115
2,The testing of an ethnic question did not guarantee its implementation on the,120
3,Appendices,135
1,Appendix 7.1: 1991 Census,135
1,Appendix 7.2: 2001 Census,136
1,Reinforcing the divide: The influence of the U.S. census on American identity,138
2,Ethnic classification in global perspective: A cross-national survey of the 2000 census round,138
3,New OPCS area classifications,139
4,OPCS to merge with Central Statistical Office,139
5,Introduction Malaysia has long been concerned with the ethnic dimension in its society,142
6,Non-Malaysian citizens,144
1,Table 8.3 Ethnic classifications,146
2,Pakistani,146
2,Other European,146
2,Others (not European or Asian),146
1,Table 8.4 Proportion of population by nationality,147
3,% of total,154
4,Region EFI population Sabah 0.889 11.2 Sarawak 0.874 8.9 Peninsular Malaysia 0.655 79.9,154
1,All Malaysia,154
2,classifications for employment,156
3,Sarawak: ‘If both of the parent are indigenous native of Sarawak as stated in Article”,157
10,sSuidnois-qns Z|,165
1,Article 160,165
2,Article 161,169
3,sdnois-qns,166
1,Appendix 8.3: Areas in Which Special Privileges May be Provided,170
2,Article 153 of the Constitution,170
3,References,170
4,Wanda Cabella and Rafael Porzecanski,173
1,Of what races do you think you have blood?,177
2,Table 9.2 Ethnic — racial identification of Uruguayan Mestizos (1996-1997),177
4,classification in Uruguay belong to?,173
1,Table 9.2,177
2,Ethnic — racial identification of Uruguayan Mestizos (1996-1997),177
3,Table 9.3,178
4,Main descent Descent %,178
6,Racial classification in Uruguay (2006),178
7,Table 9.4,178
8,Do you think you are of...?: Yes No Total,178
9,White descent,178
10,Black descent,178
11,Table 9.6,180
12,Racial identification in Uruguay in,180
1,White 94.3 87.4 Black 0.9 2.0 Indigenous 0.2 0.4 Yellow 0.4 0.1 Mestizos,180
1,Table 9.7 Percentage of Uruguayan Non-whites in 1996-1997 and 2006,181
1,The Objective Approaches of Ethnic Origins in Belgium: Methodological Alternatives and Statistical Implications,188
2,Table 9.8 Basic socioeconomic indicators of the Uruguayan population by race (1996 and 2006),185
1,Total population,201
2,Belges par acquisition,203
4,References,204
5,Olivier Barbary,206
1,Households,206
3,Ethno-linguistic type of household,211
1,Total indigenous,212
2,O. Barbary,215
3,Aguascalientes,222
4,Fig. 11.3 Place of residence of zapoteco speakers at municipal (Municipes) level (Source: INEGI),222
1,Maya (Nb of speakers),223
2,from 1986 to 2006,226
3,(63.7%),229
4,S169 OEr'T 0 S6I'8T SbL'p OLE‘bZ O67‘TE UvoLIOWry YON qnuy pur sngyql ‘uerpuy,231
1,Unaffiliated” Unions (Entries),236
2,References,240
1,Statistics Canada. (2009a). 2006 census questionnaires and guides.,241
2,Industry Canada,241
1,2006 census reference materials,241
3,technical report on aboriginal peo- ples,241
2,Table 6,241
